Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,15.0,2024,212
1.0,15:00,,,CLE 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,212
1.0,15:00,1.0,10.0,KAN 30,0.0,0.0,Isiah Pacheco right tackle for -1 yards (tackle by Shelby Harris),0.94,0.26,15.0,2024,212
1.0,14:31,2.0,11.0,KAN 29,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Grant Delpit),0.26,0.63,15.0,2024,212
1.0,13:53,3.0,3.0,KAN 37,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Noah Gray,0.63,-0.91,15.0,2024,212
1.0,13:46,4.0,3.0,KAN 37,0.0,0.0,"Matt Araiza punts 38 yards, returned by James Proche for -2 yards. James Proche fumbles (forced by Christian Roland-Wallace), recovered by Samaje Perine at CLE-21 (tackle by Christian Roland-Wallace)",-0.91,4.17,15.0,2024,212
1.0,13:34,1.0,10.0,CLE 21,0.0,0.0,Isiah Pacheco up the middle for 6 yards (tackle by Grant Delpit and Ronnie Hickman),4.17,4.55,15.0,2024,212
1.0,13:03,2.0,4.0,CLE 15,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Grant Delpit and Martin Emerson),4.55,5.6,15.0,2024,212
1.0,12:18,1.0,7.0,CLE 7,6.0,0.0,"Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 7 yards, touchdown",5.6,7.0,15.0,2024,212
1.0,12:12,,,CLE 15,7.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,15.0,2024,212
1.0,12:12,,,KAN 35,7.0,0.0,"Justin Reid kicks off 62 yards, returned by Jerome Ford for 24 yards (tackle by Cam Jones)",0.0,0.74,15.0,2024,212
1.0,12:04,1.0,10.0,CLE 27,7.0,0.0,Jameis Winston pass complete short left to Jerry Jeudy for 9 yards (tackle by Chamarri Conner),0.74,1.41,15.0,2024,212
1.0,11:27,2.0,1.0,CLE 36,7.0,0.0,Nick Chubb up the middle for 6 yards (tackle by Michael Danna and Drue Tranquill),1.41,1.73,15.0,2024,212
1.0,10:49,1.0,10.0,CLE 42,7.0,0.0,Jerome Ford right guard for -2 yards (tackle by Chris Jones and Michael Danna),1.73,0.92,15.0,2024,212
1.0,10:07,2.0,12.0,CLE 40,7.0,0.0,"Jameis Winston sacked by and Chris Jones for no gain and Nick Bolton for no gain. Penalty on Joshua Williams: Illegal Contact, 5 yards (accepted) (no play)",0.92,1.93,15.0,2024,212
1.0,9:49,1.0,10.0,CLE 45,7.0,0.0,Jameis Winston pass complete short left to Michael Woods for 4 yards (tackle by Chamarri Conner),1.93,1.92,15.0,2024,212
1.0,9:03,2.0,6.0,CLE 49,7.0,0.0,Nick Chubb right tackle for no gain (tackle by Bryan Cook),1.92,1.22,15.0,2024,212
1.0,8:28,3.0,6.0,CLE 49,7.0,0.0,"Jameis Winston sacked by George Karlaftis for -1 yards. Penalty on Germain Ifedi: Illegal Shift, 5 yards (declined)",1.22,-0.19,15.0,2024,212
1.0,7:53,4.0,7.0,CLE 48,7.0,0.0,"Corey Bojorquez punts 36 yards, returned by Nikko Remigio for 3 yards (tackle by Nathaniel Watson). Penalty on Mohamoud Diabate: Illegal Formation, 5 yards (accepted)",-0.19,-0.54,15.0,2024,212
1.0,7:44,1.0,10.0,KAN 24,7.0,0.0,Kareem Hunt right tackle for 12 yards (tackle by Jordan Hicks and Juan Thornhill),0.54,1.33,15.0,2024,212
1.0,7:08,1.0,10.0,KAN 36,7.0,0.0,Kareem Hunt right end for 7 yards (tackle by Mohamoud Diabate),1.33,1.74,15.0,2024,212
1.0,6:36,2.0,3.0,KAN 43,7.0,0.0,Kareem Hunt left tackle for -1 yards (tackle by Myles Garrett),1.74,0.89,15.0,2024,212
1.0,5:57,3.0,4.0,KAN 42,7.0,0.0,"Patrick Mahomes pass incomplete deep middle intended for Justin Watson. Penalty on Justin Watson: Offensive Pass Interference, 10 yards (declined)",0.89,-0.59,15.0,2024,212
1.0,5:50,4.0,4.0,KAN 42,7.0,0.0,"Matt Araiza punts 58 yards, touchback.",-0.59,-0.28,15.0,2024,212
