Unnamed: 0,CHI,MIN,week,year,game_id
First Downs,16,24,15.0,2024,223
Rush-Yds-TDs,29-113-0,29-114-2,15.0,2024,223
Cmp-Att-Yd-TD-INT,19-32-196-1-0,24-40-231-1-1,15.0,2024,223
Sacked-Yards,2-25,2-16,15.0,2024,223
Net Pass Yards,171,215,15.0,2024,223
Total Yards,284,329,15.0,2024,223
Fumbles-Lost,1-1,0-0,15.0,2024,223
Turnovers,1,1,15.0,2024,223
Penalties-Yards,9-93,10-56,15.0,2024,223
Third Down Conv.,1-12,7-14,15.0,2024,223
Fourth Down Conv.,1-3,0-1,15.0,2024,223
Time of Possession,30:06,29:54,15.0,2024,223
