Quarter,Time,Tm,Detail,GNB,SEA,week,year,game_id
1.0,9:19,Packers,Josh Jacobs 1 yard rush (Brandon McManus kick),7,0,15.0,2024,222
,1:54,Packers,Romeo Doubs 13 yard pass from Jordan Love (Brandon McManus kick),14,0,15.0,2024,222
2.0,12:59,Seahawks,Jason Myers 48 yard field goal,14,3,15.0,2024,222
,9:21,Packers,Brandon McManus 39 yard field goal,17,3,15.0,2024,222
,0:00,Packers,Brandon McManus 21 yard field goal,20,3,15.0,2024,222
3.0,6:20,Seahawks,Jason Myers 45 yard field goal,20,6,15.0,2024,222
,1:36,Packers,Brandon McManus 23 yard field goal,23,6,15.0,2024,222
4.0,11:16,Seahawks,Zach Charbonnet 24 yard rush (Jason Myers kick),23,13,15.0,2024,222
,4:59,Packers,Romeo Doubs 22 yard pass from Jordan Love (Brandon McManus kick),30,13,15.0,2024,222
