Unnamed: 0,NWE,ARI,week,year,game_id
First Downs,17,21,15.0,2024,219
Rush-Yds-TDs,24-116-1,32-163-2,15.0,2024,219
Cmp-Att-Yd-TD-INT,19-23-202-1-1,25-32-232-0-0,15.0,2024,219
Sacked-Yards,2-7,0-0,15.0,2024,219
Net Pass Yards,195,232,15.0,2024,219
Total Yards,311,395,15.0,2024,219
Fumbles-Lost,3-0,2-0,15.0,2024,219
Turnovers,1,0,15.0,2024,219
Penalties-Yards,4-45,4-35,15.0,2024,219
Third Down Conv.,0-6,10-15,15.0,2024,219
Fourth Down Conv.,1-2,0-0,15.0,2024,219
Time of Possession,25:52,34:08,15.0,2024,219
