Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Bears to receive the opening kickoff.",,,15.0,2024,223
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,223
1.0,15:00,1.0,10.0,CHI 30,0.0,0.0,D'Andre Swift right guard for 4 yards (tackle by Harrison Phillips and Jonathan Greenard),0.94,0.93,15.0,2024,223
1.0,14:22,2.0,6.0,CHI 34,0.0,0.0,Caleb Williams pass complete short left to Keenan Allen for 4 yards (tackle by Shaquill Griffin),0.93,0.76,15.0,2024,223
1.0,13:46,3.0,2.0,CHI 38,0.0,0.0,Caleb Williams scrambles left tackle for 1 yard (tackle by Blake Cashman),0.76,-0.78,15.0,2024,223
1.0,13:03,4.0,1.0,CHI 39,0.0,0.0,D'Andre Swift left end for no gain (tackle by Jonathan Greenard and Jerry Tillery),-0.78,-2.98,15.0,2024,223
1.0,12:57,1.0,10.0,CHI 39,0.0,0.0,Aaron Jones left end for 5 yards (tackle by Zacch Pickens),2.98,3.12,15.0,2024,223
1.0,12:22,2.0,5.0,CHI 34,0.0,0.0,Sam Darnold pass incomplete deep left intended for Jordan Addison,3.12,2.41,15.0,2024,223
1.0,12:16,3.0,5.0,CHI 34,0.0,0.0,Sam Darnold pass incomplete deep left,2.41,1.07,15.0,2024,223
1.0,12:09,4.0,5.0,CHI 34,0.0,3.0,Will Reichard 52 yard field goal good,1.07,3.0,15.0,2024,223
1.0,12:04,,,MIN 35,0.0,3.0,"Will Reichard kicks off 64 yards, returned by Travis Homer for 29 yards (tackle by Brian Asamoah)",0.0,0.94,15.0,2024,223
1.0,12:00,1.0,10.0,CHI 30,0.0,3.0,D.J. Moore right end for 9 yards (tackle by Camryn Bynum),0.94,1.61,15.0,2024,223
1.0,11:19,2.0,1.0,CHI 39,0.0,3.0,D.J. Moore left end for 9 yards (tackle by Camryn Bynum),1.61,2.13,15.0,2024,223
1.0,10:37,1.0,10.0,CHI 48,0.0,3.0,Caleb Williams pass complete short right to D'Andre Swift for 10 yards (tackle by Blake Cashman),2.13,2.79,15.0,2024,223
1.0,9:54,1.0,10.0,MIN 42,0.0,3.0,D'Andre Swift left tackle for 2 yards (tackle by Blake Cashman),2.79,2.51,15.0,2024,223
1.0,9:17,2.0,8.0,MIN 40,0.0,3.0,Caleb Williams pass complete short left to Rome Odunze for 10 yards (tackle by Patrick Jones and Camryn Bynum),2.51,3.58,15.0,2024,223
1.0,8:34,1.0,10.0,MIN 30,0.0,3.0,Caleb Williams pass incomplete deep right,3.58,3.03,15.0,2024,223
1.0,8:23,2.0,10.0,MIN 30,0.0,3.0,Caleb Williams left end for 1 yard (tackle by Harrison Smith),3.03,2.48,15.0,2024,223
1.0,7:43,3.0,9.0,MIN 29,0.0,3.0,"Caleb Williams sacked by Jonathan Greenard for -16 yards. Caleb Williams fumbles (forced by Jonathan Greenard), recovered by Blake Cashman at MIN-45 and returned for 16 yards (tackle by Travis Homer)",2.48,-2.98,15.0,2024,223
1.0,7:34,1.0,10.0,CHI 39,0.0,3.0,Aaron Jones left guard for 9 yards (tackle by Tremaine Edmunds),2.98,3.66,15.0,2024,223
1.0,6:56,2.0,1.0,CHI 30,0.0,3.0,Aaron Jones left guard for 13 yards (tackle by Jonathan Owens),3.66,4.44,15.0,2024,223
1.0,6:15,1.0,10.0,CHI 17,0.0,3.0,Aaron Jones right tackle for 1 yard (tackle by Byron Cowart),4.44,4.0,15.0,2024,223
1.0,5:54,2.0,9.0,CHI 16,0.0,3.0,Sam Darnold pass complete short right to Jordan Addison for 9 yards (tackle by T.J. Edwards and Kevin Byard),4.0,5.6,15.0,2024,223
1.0,5:09,1.0,7.0,CHI 7,0.0,9.0,"Sam Darnold pass complete short right to Justin Jefferson for 7 yards, touchdown",5.6,7.0,15.0,2024,223
1.0,5:04,,,CHI 15,0.0,10.0,Will Reichard kicks extra point good,0.0,0.0,15.0,2024,223
1.0,5:04,,,MIN 35,0.0,10.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,223
1.0,5:04,1.0,10.0,CHI 30,0.0,10.0,D.J. Moore right tackle for 6 yards (tackle by Jonathan Greenard),0.94,1.2,15.0,2024,223
1.0,4:36,2.0,4.0,CHI 36,0.0,10.0,Travis Homer up the middle for 4 yards (tackle by Josh Metellus and Blake Cashman),1.2,1.6,15.0,2024,223
1.0,3:51,1.0,10.0,CHI 40,0.0,10.0,D'Andre Swift right tackle for 1 yard (tackle by Josh Metellus and Dallas Turner),1.6,1.19,15.0,2024,223
1.0,3:08,2.0,9.0,CHI 41,0.0,10.0,D'Andre Swift up the middle for 2 yards (tackle by Josh Metellus and Jonathan Bullard),1.19,0.76,15.0,2024,223
1.0,2:26,3.0,7.0,CHI 43,0.0,10.0,Caleb Williams pass incomplete short right intended for Rome Odunze (defended by Harrison Smith),0.76,-0.52,15.0,2024,223
1.0,2:20,4.0,7.0,CHI 43,0.0,10.0,"Tory Taylor punts 48 yards, fair catch by Brandon Powell at MIN-9",-0.52,0.38,15.0,2024,223
1.0,2:13,1.0,10.0,MIN 9,0.0,10.0,Cam Akers left tackle for 11 yards (tackle by Elijah Hicks),-0.38,0.28,15.0,2024,223
