#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,11:14,LAC 30,10,4:56,70,Touchdown,1,Chargers,15.0,2024,221
2,2,13:41,LAC 26,8,4:54,51,Field Goal,1,Chargers,15.0,2024,221
3,2,8:39,TAM 27,3,1:27,27,Touchdown,1,Chargers,15.0,2024,221
4,2,5:36,LAC 49,3,1:59,9,Punt,1,Chargers,15.0,2024,221
5,2,0:33,LAC 26,2,0:33,0,End of Half,1,Chargers,15.0,2024,221
6,3,15:00,LAC 30,3,1:43,6,Punt,1,Chargers,15.0,2024,221
7,3,10:23,LAC 29,5,2:30,14,Punt,1,Chargers,15.0,2024,221
8,3,5:06,LAC 10,2,0:32,0,Interception,1,Chargers,15.0,2024,221
9,3,1:36,LAC 33,8,2:58,33,Downs,1,Chargers,15.0,2024,221
10,4,7:37,LAC 30,4,1:26,25,Downs,1,Chargers,15.0,2024,221
11,4,2:51,LAC 32,1,0:14,4,Fumble,1,Chargers,15.0,2024,221
