Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,,15.0,2024,219
1.0,15:00,,,ARI 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,219
1.0,15:00,1.0,10.0,NWE 30,0.0,0.0,Drake Maye pass complete short right to Hunter Henry for 11 yards (tackle by Kyzir White),0.94,1.66,15.0,2024,219
1.0,14:27,1.0,10.0,NWE 41,0.0,0.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Zaven Collins and Kyzir White),1.66,1.8,15.0,2024,219
1.0,13:50,2.0,5.0,NWE 46,0.0,0.0,"Ben Brown aborted snap, recovered by Drake Maye at NE-41 Drake Maye pass complete short right to Rhamondre Stevenson for 16 yards (tackle by Budda Baker)",1.8,3.05,15.0,2024,219
1.0,13:12,1.0,10.0,ARI 38,0.0,0.0,Drake Maye pass complete short middle to Austin Hooper for 5 yards (tackle by Budda Baker),3.05,3.18,15.0,2024,219
1.0,12:50,2.0,5.0,ARI 33,0.0,0.0,Antonio Gibson left tackle for no gain (tackle by Jesse Luketa and Kyzir White),3.18,2.48,15.0,2024,219
1.0,12:28,3.0,5.0,ARI 33,0.0,0.0,"Antonio Gibson left tackle for no gain (tackle by Sean Murphy-Bunting). Penalty on Layden Robinson: Offensive Holding, 10 yards (accepted) (no play)",2.48,1.16,15.0,2024,219
1.0,11:55,3.0,15.0,ARI 43,0.0,0.0,"Drake Maye pass complete short middle to Kendrick Bourne for no gain (tackle by Jalen Thompson). Penalty on Baron Browning: Defensive Offside, 5 yards (accepted) (no play)",1.16,1.82,15.0,2024,219
1.0,11:35,3.0,10.0,ARI 38,0.0,0.0,Drake Maye pass complete short right to Demario Douglas for 4 yards (tackle by Budda Baker and Kyzir White),1.82,1.07,15.0,2024,219
1.0,10:44,4.0,6.0,ARI 34,0.0,0.0,Joey Slye 53 yard field goal no good,1.07,-1.8,15.0,2024,219
1.0,10:39,1.0,10.0,ARI 43,0.0,0.0,"Hjalte Froholdt aborted snap, recovered by James Conner at ARI-38 James Conner up the middle for no gain",1.8,0.58,15.0,2024,219
1.0,10:01,2.0,15.0,ARI 38,0.0,0.0,Kyler Murray pass complete short left to Marvin Harrison for 23 yards (tackle by Marcus Jones),0.58,2.98,15.0,2024,219
1.0,9:21,1.0,10.0,NWE 39,0.0,0.0,Kyler Murray pass complete short right to Michael Wilson for 4 yards (tackle by Kyle Dugger),2.98,2.98,15.0,2024,219
