Unnamed: 0,NYJ,JAX,week,year,game_id
First Downs,22,27,15.0,2024,214
Rush-Yds-TDs,23-125-1,29-136-0,15.0,2024,214
Cmp-Att-Yd-TD-INT,16-30-289-3-0,31-46-294-2-2,15.0,2024,214
Sacked-Yards,1-14,2-9,15.0,2024,214
Net Pass Yards,275,285,15.0,2024,214
Total Yards,400,421,15.0,2024,214
Fumbles-Lost,0-0,1-0,15.0,2024,214
Turnovers,0,2,15.0,2024,214
Penalties-Yards,8-62,8-106,15.0,2024,214
Third Down Conv.,4-10,8-15,15.0,2024,214
Fourth Down Conv.,1-1,0-0,15.0,2024,214
Time of Possession,25:36,34:24,15.0,2024,214
