Unnamed: 0,KAN,CLE,week,year,game_id
First Downs,18,16,15.0,2024,212
Rush-Yds-TDs,35-132-1,21-139-1,15.0,2024,212
Cmp-Att-Yd-TD-INT,21-40-179-2-0,20-34-164-0-4,15.0,2024,212
Sacked-Yards,0-0,5-37,15.0,2024,212
Net Pass Yards,179,127,15.0,2024,212
Total Yards,311,266,15.0,2024,212
Fumbles-Lost,0-0,3-2,15.0,2024,212
Turnovers,0,6,15.0,2024,212
Penalties-Yards,4-30,6-45,15.0,2024,212
Third Down Conv.,7-18,4-12,15.0,2024,212
Fourth Down Conv.,0-1,0-1,15.0,2024,212
Time of Possession,31:37,28:23,15.0,2024,212
