Unnamed: 0,WAS,NOR,week,year,game_id
First Downs,23,17,15.0,2024,215
Rush-Yds-TDs,35-137-0,16-69-0,15.0,2024,215
Cmp-Att-Yd-TD-INT,25-31-226-2-0,15-32-205-2-1,15.0,2024,215
Sacked-Yards,8-37,3-29,15.0,2024,215
Net Pass Yards,189,176,15.0,2024,215
Total Yards,326,245,15.0,2024,215
Fumbles-Lost,1-0,0-0,15.0,2024,215
Turnovers,0,1,15.0,2024,215
Penalties-Yards,9-84,4-36,15.0,2024,215
Third Down Conv.,9-17,3-11,15.0,2024,215
Fourth Down Conv.,1-1,1-1,15.0,2024,215
Time of Possession,40:50,19:10,15.0,2024,215
