Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Ravens to receive the opening kickoff.",,,15.0,2024,216
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 61 yards, returned by Justice Hill for 59 yards (tackle by Graham Gano)",0.0,3.12,15.0,2024,216
1.0,14:52,1.0,10.0,NYG 37,0.0,0.0,Lamar Jackson pass complete short left to Zay Flowers for 10 yards (tackle by Adoree' Jackson),3.12,3.78,15.0,2024,216
1.0,14:13,1.0,10.0,NYG 27,0.0,0.0,"Lamar Jackson right tackle for 15 yards. Lamar Jackson fumbles (tackle by Dane Belton, recovered by Adoree' Jackson at NYG-12 (tackle by Lamar Jackson)",3.78,0.35,15.0,2024,216
1.0,14:05,1.0,10.0,NYG 12,0.0,0.0,Tyrone Tracy right guard for 4 yards (tackle by Roquan Smith),-0.35,-0.37,15.0,2024,216
1.0,13:32,2.0,6.0,NYG 16,0.0,0.0,Devin Singletary left guard for 4 yards (tackle by Nnamdi Madubuike and Travis Jones),-0.37,-0.48,15.0,2024,216
1.0,12:53,3.0,2.0,NYG 20,0.0,0.0,Tommy DeVito pass incomplete short right intended for Tyrone Tracy,-0.48,-2.03,15.0,2024,216
1.0,12:49,4.0,2.0,NYG 20,0.0,0.0,"Jamie Gillan punts 51 yards, fair catch by Desmond King at BAL-29",-2.03,-0.87,15.0,2024,216
1.0,12:42,1.0,10.0,BAL 29,0.0,0.0,Derrick Henry up the middle for 2 yards (tackle by Dane Belton and Micah McFadden),0.87,0.6,15.0,2024,216
1.0,12:05,2.0,8.0,BAL 31,0.0,0.0,Lamar Jackson pass complete short right to Zay Flowers for 5 yards (tackle by Greg Stroman),0.6,0.56,15.0,2024,216
1.0,11:29,3.0,3.0,BAL 36,0.0,0.0,Justice Hill left guard for 6 yards (tackle by Micah McFadden),0.56,1.73,15.0,2024,216
1.0,10:54,1.0,10.0,BAL 42,0.0,0.0,Lamar Jackson sacked by Micah McFadden for no gain,1.73,1.19,15.0,2024,216
1.0,10:06,2.0,10.0,BAL 42,0.0,0.0,Derrick Henry left tackle for 1 yard (tackle by Greg Stroman),1.19,0.63,15.0,2024,216
1.0,9:23,3.0,9.0,BAL 43,0.0,0.0,Lamar Jackson pass complete short right to Zay Flowers for 8 yards (tackle by Art Green),0.63,0.0,15.0,2024,216
1.0,8:40,4.0,1.0,NYG 49,0.0,0.0,"Penalty on Lamar Jackson: Delay of Game, 5 yards (accepted) (no play)",0.0,-0.32,15.0,2024,216
1.0,8:30,4.0,6.0,BAL 46,0.0,0.0,"Jordan Stout punts 42 yards, fair catch by Ihmir Smith-Marsette at NYG-12",-0.32,0.35,15.0,2024,216
1.0,8:21,1.0,10.0,NYG 12,0.0,0.0,Tommy DeVito pass complete short right to Malik Nabers for 5 yards (tackle by Ar'Darius Washington),-0.35,-0.23,15.0,2024,216
1.0,7:43,2.0,5.0,NYG 17,0.0,0.0,Tyrone Tracy left guard for 1 yard (tackle by Ar'Darius Washington and Roquan Smith),-0.23,-0.72,15.0,2024,216
1.0,7:06,3.0,4.0,NYG 18,0.0,0.0,Tommy DeVito pass incomplete deep right,-0.72,-2.24,15.0,2024,216
1.0,6:59,4.0,4.0,NYG 18,0.0,0.0,"Jamie Gillan punts 37 yards, returned by Desmond King for 22 yards (tackle by Dane Belton)",-2.24,-3.38,15.0,2024,216
1.0,6:47,1.0,10.0,NYG 33,0.0,0.0,Lamar Jackson left end for 15 yards (tackle by Greg Stroman),3.38,4.37,15.0,2024,216
1.0,6:06,1.0,10.0,NYG 18,0.0,0.0,Derrick Henry right end for 6 yards (tackle by Jason Pinnock and Cory Durden),4.37,4.81,15.0,2024,216
1.0,5:26,2.0,4.0,NYG 12,0.0,0.0,Derrick Henry left tackle for 9 yards (tackle by Dane Belton and Adoree' Jackson),4.81,6.51,15.0,2024,216
1.0,4:47,1.0,3.0,NYG 3,0.0,0.0,Derrick Henry left tackle for no gain (tackle by Dane Belton and Elijah Garcia),6.51,5.53,15.0,2024,216
1.0,4:09,2.0,3.0,NYG 3,0.0,0.0,Lamar Jackson sacked by Brian Burns for -10 yards,5.53,3.06,15.0,2024,216
1.0,3:23,3.0,13.0,NYG 13,6.0,0.0,"Lamar Jackson pass complete short middle to Mark Andrews for 13 yards, touchdown",3.06,7.0,15.0,2024,216
1.0,3:18,,,NYG 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,15.0,2024,216
1.0,3:18,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 63 yards, returned by Ihmir Smith-Marsette for 24 yards (tackle by Devontez Walker)",0.0,0.67,15.0,2024,216
1.0,3:12,1.0,10.0,NYG 26,7.0,0.0,Tommy DeVito pass complete short middle to Malik Nabers for 1 yard (tackle by Roquan Smith and Tavius Robinson),0.67,0.27,15.0,2024,216
1.0,2:35,2.0,9.0,NYG 27,7.0,0.0,Tyrone Tracy left guard for 12 yards (tackle by Tavius Robinson),0.27,1.53,15.0,2024,216
1.0,1:57,1.0,10.0,NYG 39,7.0,0.0,Tyrone Tracy left tackle for 6 yards (tackle by Malik Harrison and Tre'Davious White),1.53,1.8,15.0,2024,216
