Quarter,Time,Tm,Detail,NYJ,JAX,week,year,game_id
1.0,8:37,Jaguars,Brian Thomas 3 yard pass from Mac Jones (Cam Little kick),0,7,15.0,2024,214
,5:01,Jets,Garrett Wilson 22 yard pass from Aaron Rodgers (Anders Carlson kick),7,7,15.0,2024,214
2.0,2:41,Jaguars,Cam Little 28 yard field goal,7,10,15.0,2024,214
,0:00,Jaguars,Cam Little 23 yard field goal,7,13,15.0,2024,214
3.0,10:28,Jets,Anders Carlson 43 yard field goal,10,13,15.0,2024,214
,8:05,Jaguars,Cam Little 43 yard field goal,10,16,15.0,2024,214
,4:33,Jets,Davante Adams 1 yard pass from Aaron Rodgers (Anders Carlson kick),17,16,15.0,2024,214
4.0,10:58,Jaguars,Brian Thomas 19 yard pass from Mac Jones (pass failed),17,22,15.0,2024,214
,3:24,Jets,Davante Adams 71 yard pass from Aaron Rodgers (Davante Adams pass from Aaron Rodgers),25,22,15.0,2024,214
,1:51,Jaguars,Cam Little 43 yard field goal,25,25,15.0,2024,214
,1:05,Jets,Breece Hall 1 yard rush (Anders Carlson kick),32,25,15.0,2024,214
