Unnamed: 0,DAL,CAR,week,year,game_id
First Downs,24,16,15.0,2024,210
Rush-Yds-TDs,40-211-0,16-60-1,15.0,2024,210
Cmp-Att-Yd-TD-INT,18-29-214-3-0,19-28-219-1-2,15.0,2024,210
Sacked-Yards,1-15,6-44,15.0,2024,210
Net Pass Yards,199,175,15.0,2024,210
Total Yards,410,235,15.0,2024,210
Fumbles-Lost,2-1,2-2,15.0,2024,210
Turnovers,1,4,15.0,2024,210
Penalties-Yards,14-99,8-65,15.0,2024,210
Third Down Conv.,6-12,3-11,15.0,2024,210
Fourth Down Conv.,0-0,1-1,15.0,2024,210
Time of Possession,33:46,26:14,15.0,2024,210
