Player,Pos,home_team,team,week,year,game_id
Tua Tagovailoa,QB,0,Dolphins,15.0,2024,213
De'Von Achane,RB,0,Dolphins,15.0,2024,213
Alec Ingold,FB,0,Dolphins,15.0,2024,213
Jaylen Waddle,WR,0,Dolphins,15.0,2024,213
Tyreek Hill,WR,0,Dolphins,15.0,2024,213
Durham Smythe,TE,0,Dolphins,15.0,2024,213
Aaron Brewer,OL,0,Dolphins,15.0,2024,213
Liam Eichenberg,OL,0,Dolphins,15.0,2024,213
Robert Jones,OL,0,Dolphins,15.0,2024,213
Patrick Paul,OT,0,Dolphins,15.0,2024,213
Jackson Carman,T,0,Dolphins,15.0,2024,213
Benito Jones,DT,0,Dolphins,15.0,2024,213
Zach Sieler,DT,0,Dolphins,15.0,2024,213
Calais Campbell,DT,0,Dolphins,15.0,2024,213
Emmanuel Ogbah,LB,0,Dolphins,15.0,2024,213
Jordyn Brooks,LB,0,Dolphins,15.0,2024,213
Anthony Walker,LB,0,Dolphins,15.0,2024,213
Jalen Ramsey,CB,0,Dolphins,15.0,2024,213
Kendall Fuller,CB,0,Dolphins,15.0,2024,213
Elijah Campbell,DB,0,Dolphins,15.0,2024,213
Jevon Holland,S,0,Dolphins,15.0,2024,213
Jordan Poyer,S,0,Dolphins,15.0,2024,213
