Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Lions to receive the opening kickoff.",,,15.0,2024,217
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,217
1.0,15:00,1.0,10.0,DET 30,0.0,0.0,Jared Goff pass incomplete short right,0.94,0.39,15.0,2024,217
1.0,14:54,2.0,10.0,DET 30,0.0,0.0,David Montgomery left tackle for no gain (tackle by Matt Milano and Ed Oliver),0.39,-0.3,15.0,2024,217
1.0,14:19,3.0,10.0,DET 30,0.0,0.0,Jared Goff pass incomplete right intended for Jameson Williams,-0.3,-1.37,15.0,2024,217
1.0,14:15,4.0,10.0,DET 30,0.0,0.0,"Jack Fox punts 60 yards, returned by Brandon Codrington for 17 yards (tackle by Sione Vaki)",-1.37,-0.74,15.0,2024,217
1.0,14:02,1.0,10.0,BUF 27,0.0,0.0,James Cook left end for 5 yards (tackle by Terrion Arnold and Kwon Alexander),0.74,0.87,15.0,2024,217
1.0,13:25,2.0,5.0,BUF 32,0.0,0.0,Josh Allen pass complete deep left to Ty Johnson for 33 yards (tackle by Kwon Alexander),0.87,3.25,15.0,2024,217
1.0,12:44,1.0,10.0,DET 35,0.0,0.0,Ray Davis right tackle for 5 yards (tackle by Carlton Davis and Brian Branch),3.25,3.38,15.0,2024,217
1.0,11:59,2.0,5.0,DET 30,0.0,0.0,Josh Allen pass incomplete deep right intended for Khalil Shakir (defended by Kindle Vildor),3.38,2.68,15.0,2024,217
1.0,11:49,,,,,,Timeout #1 by Buffalo Bills,,,15.0,2024,217
1.0,11:49,3.0,5.0,DET 30,0.0,0.0,Josh Allen pass complete deep right to Ty Johnson for 24 yards (tackle by Kerby Joseph),2.68,5.83,15.0,2024,217
1.0,11:20,1.0,6.0,DET 6,0.0,0.0,Ty Johnson up the middle for 5 yards (tackle by Levi Onwuzurike),5.83,5.91,15.0,2024,217
1.0,10:58,2.0,1.0,DET 1,6.0,0.0,"Josh Allen up the middle for 1 yard, touchdown",5.91,7.0,15.0,2024,217
1.0,10:56,,,DET 15,7.0,0.0,Tyler Bass kicks extra point good,0.0,0.0,15.0,2024,217
1.0,10:56,,,BUF 35,7.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,217
1.0,10:56,1.0,10.0,DET 30,7.0,0.0,David Montgomery up the middle for 1 yard (tackle by Cole Bishop and Austin Johnson),0.94,0.53,15.0,2024,217
1.0,10:23,2.0,9.0,DET 31,7.0,0.0,Jared Goff pass complete short right to Tim Patrick for 10 yards (tackle by Matt Milano and Terrel Bernard),0.53,1.66,15.0,2024,217
1.0,9:52,1.0,10.0,DET 41,7.0,0.0,Jared Goff sacked by Christian Benford for -8 yards,1.66,0.04,15.0,2024,217
1.0,9:12,2.0,18.0,DET 33,7.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Kaiir Elam),0.04,0.04,15.0,2024,217
1.0,8:43,3.0,13.0,DET 38,7.0,0.0,"Jared Goff sacked by Ed Oliver for -5 yards. Jared Goff fumbles (forced by Ed Oliver), recovered by Kevin Zeitler at DET-33 (tackle by Dawuane Smoot)",0.04,-1.18,15.0,2024,217
1.0,8:00,4.0,18.0,DET 33,7.0,0.0,"Jack Fox punts 48 yards, returned by Brandon Codrington for 3 yards (tackle by Sione Vaki)",-1.18,-0.41,15.0,2024,217
