Unnamed: 0,IND,DEN,week,year,game_id
First Downs,18,13,15.0,2024,218
Rush-Yds-TDs,32-149-1,27-72-0,15.0,2024,218
Cmp-Att-Yd-TD-INT,17-38-172-0-2,20-33-130-3-3,15.0,2024,218
Sacked-Yards,2-11,1-9,15.0,2024,218
Net Pass Yards,161,121,15.0,2024,218
Total Yards,310,193,15.0,2024,218
Fumbles-Lost,3-3,0-0,15.0,2024,218
Turnovers,5,3,15.0,2024,218
Penalties-Yards,8-69,6-58,15.0,2024,218
Third Down Conv.,4-15,6-17,15.0,2024,218
Fourth Down Conv.,2-4,0-0,15.0,2024,218
Time of Possession,31:32,28:28,15.0,2024,218
