Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Steelers to receive the opening kickoff.",,,15.0,2024,220
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 67 yards, returned by Cordarrelle Patterson for 33 yards (tackle by Oren Burks and Jalyx Hunt)",0.0,1.0,15.0,2024,220
1.0,14:55,1.0,10.0,PIT 31,0.0,0.0,Najee Harris up the middle for 2 yards (tackle by Milton Williams and Nakobe Dean),1.0,0.73,15.0,2024,220
1.0,14:22,2.0,8.0,PIT 33,0.0,0.0,Russell Wilson pass complete short left to Pat Freiermuth for 1 yard (tackle by Zack Baun),0.73,0.17,15.0,2024,220
1.0,13:44,3.0,7.0,PIT 34,0.0,0.0,Russell Wilson pass incomplete deep middle intended for Van Jefferson,0.17,-1.11,15.0,2024,220
1.0,13:37,4.0,7.0,PIT 34,0.0,0.0,Corliss Waitman punts 36 yards downed by Ben Skowronek,-1.11,-0.94,15.0,2024,220
1.0,13:29,1.0,10.0,PHI 30,0.0,0.0,Jalen Hurts pass complete deep right to Grant Calcaterra for 22 yards (tackle by Elandon Roberts),0.94,2.39,15.0,2024,220
1.0,12:44,1.0,10.0,PIT 48,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 7 yards (tackle by Joey Porter),2.39,2.79,15.0,2024,220
1.0,12:21,2.0,3.0,PIT 41,0.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 21 yards (tackle by Donte Jackson),2.79,4.24,15.0,2024,220
1.0,11:55,1.0,10.0,PIT 20,0.0,0.0,Saquon Barkley right guard for no gain (tackle by T.J. Watt),4.24,3.69,15.0,2024,220
1.0,11:24,2.0,10.0,PIT 20,0.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Donte Jackson),3.69,3.36,15.0,2024,220
1.0,10:41,3.0,7.0,PIT 17,0.0,0.0,Jalen Hurts scrambles up the middle for 1 yard (tackle by Alex Highsmith and T.J. Watt),3.36,2.4,15.0,2024,220
1.0,10:00,4.0,6.0,PIT 16,0.0,3.0,Jake Elliott 34 yard field goal good,2.4,3.0,15.0,2024,220
1.0,9:56,,,PHI 35,0.0,3.0,"Braden Mann kicks off 65 yards, returned by Cordarrelle Patterson for 32 yards (tackle by Oren Burks)",0.0,1.07,15.0,2024,220
1.0,9:50,1.0,10.0,PIT 32,0.0,3.0,Najee Harris right tackle for 2 yards (tackle by Jalen Carter),1.07,0.8,15.0,2024,220
1.0,9:19,2.0,8.0,PIT 34,0.0,3.0,Najee Harris left tackle for no gain (tackle by Josh Sweat),0.8,0.1,15.0,2024,220
1.0,8:35,3.0,8.0,PIT 34,0.0,3.0,Russell Wilson pass incomplete short middle intended for Jaylen Warren (defended by Nolan Smith),0.1,-1.11,15.0,2024,220
1.0,8:28,4.0,8.0,PIT 34,0.0,3.0,"Corliss Waitman punts 47 yards, returned by Cooper DeJean for 2 yards (tackle by James Pierre and Miles Killebrew)",-1.11,-0.34,15.0,2024,220
1.0,8:19,1.0,10.0,PHI 21,0.0,3.0,Saquon Barkley right guard for 8 yards (tackle by Cameron Heyward),0.34,0.88,15.0,2024,220
1.0,7:43,2.0,2.0,PHI 29,0.0,3.0,Saquon Barkley up the middle for -2 yards (tackle by Alex Highsmith and Patrick Queen),0.88,-0.1,15.0,2024,220
1.0,7:03,3.0,4.0,PHI 27,0.0,3.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 10 yards (tackle by Beanie Bishop and Patrick Queen),-0.1,1.4,15.0,2024,220
1.0,6:32,1.0,10.0,PHI 37,0.0,3.0,Kenneth Gainwell left guard for 5 yards (tackle by Isaiahh Loudermilk and Preston Smith),1.4,1.53,15.0,2024,220
1.0,5:53,2.0,5.0,PHI 42,0.0,3.0,Kenneth Gainwell left end for 1 yard (tackle by Patrick Queen),1.53,0.96,15.0,2024,220
1.0,5:16,3.0,4.0,PHI 43,0.0,3.0,"Jalen Hurts scrambles left tackle for 2 yards. Jalen Hurts fumbles (forced by T.J. Watt), recovered by Beanie Bishop at PHI-45",0.96,-2.59,15.0,2024,220
1.0,5:06,1.0,10.0,PHI 45,0.0,3.0,Russell Wilson pass incomplete short right,2.59,2.04,15.0,2024,220
1.0,5:01,2.0,10.0,PHI 45,0.0,3.0,Russell Wilson pass incomplete short left intended for Mike Williams (defended by Milton Williams),2.04,1.36,15.0,2024,220
1.0,4:57,3.0,10.0,PHI 45,0.0,3.0,Russell Wilson sacked by Josh Sweat for -11 yards,1.36,-0.46,15.0,2024,220
1.0,4:23,4.0,21.0,PIT 44,0.0,3.0,"Corliss Waitman punts 49 yards, returned by Cooper DeJean for 4 yards. Cooper DeJean fumbles (forced by Mark Robinson), recovered by Nick Herbig at PHI-11",-0.46,4.84,15.0,2024,220
1.0,4:13,1.0,10.0,PHI 11,0.0,3.0,"Russell Wilson pass complete short right to Najee Harris for 7 yards (tackle by Nolan Smith). Penalty on Darnell Washington: Unnecessary Roughness / Offense, 15 yards (declined) . Penalty on Calvin Austin: Unnecessary Roughness / Offense, 15 yards (accepted)",4.84,3.15,15.0,2024,220
1.0,3:54,2.0,18.0,PHI 19,0.0,3.0,Russell Wilson pass incomplete short left intended for Scott Miller,3.15,2.55,15.0,2024,220
1.0,3:50,3.0,18.0,PHI 19,0.0,3.0,Russell Wilson pass incomplete deep middle intended for Pat Freiermuth,2.55,2.18,15.0,2024,220
1.0,3:46,4.0,18.0,PHI 19,3.0,3.0,Chris Boswell 37 yard field goal good,2.18,3.0,15.0,2024,220
1.0,3:42,,,PIT 35,3.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,220
1.0,3:42,1.0,10.0,PHI 30,3.0,3.0,Jalen Hurts pass complete short left to A.J. Brown for 16 yards (tackle by Donte Jackson),0.94,1.99,15.0,2024,220
1.0,3:17,1.0,10.0,PHI 46,3.0,3.0,Jalen Hurts pass complete deep left to A.J. Brown for 20 yards (tackle by Joey Porter),1.99,3.31,15.0,2024,220
1.0,2:49,1.0,10.0,PIT 34,3.0,3.0,Jalen Hurts right end for 7 yards (tackle by Elandon Roberts and Minkah Fitzpatrick),3.31,3.72,15.0,2024,220
1.0,2:19,2.0,3.0,PIT 27,3.0,3.0,Saquon Barkley left guard for 22 yards (tackle by Alex Highsmith),3.72,6.06,15.0,2024,220
1.0,1:48,1.0,5.0,PIT 5,3.0,3.0,Saquon Barkley up the middle for no gain (tackle by Minkah Fitzpatrick),6.06,5.15,15.0,2024,220
1.0,1:18,2.0,5.0,PIT 5,3.0,9.0,"Jalen Hurts pass complete short middle to A.J. Brown for 5 yards, touchdown",5.15,7.0,15.0,2024,220
1.0,1:13,,,PIT 15,3.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,15.0,2024,220
1.0,1:13,,,PHI 35,3.0,10.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,220
1.0,1:13,1.0,10.0,PIT 30,3.0,10.0,Jaylen Warren right tackle for 1 yard (tackle by Nakobe Dean),0.94,0.53,15.0,2024,220
1.0,0:34,2.0,9.0,PIT 31,3.0,10.0,"Jaylen Warren left guard for no gain (tackle by Zack Baun). Penalty on Van Jefferson: Illegal Motion, 5 yards (accepted) (no play)",0.53,-0.15,15.0,2024,220
1.0,0:14,2.0,14.0,PIT 26,3.0,10.0,"Russell Wilson pass complete short middle to Jaylen Warren for no gain (tackle by Nakobe Dean and Moro Ojomo). Penalty on Dan Moore: Offensive Holding, 10 yards (accepted) (no play)",-0.15,-1.65,15.0,2024,220
2.0,15:00,2.0,24.0,PIT 16,3.0,10.0,Russell Wilson pass complete short middle to Calvin Austin for 6 yards (tackle by Nakobe Dean),-1.65,-1.35,15.0,2024,220
2.0,14:29,3.0,18.0,PIT 22,3.0,10.0,Russell Wilson pass complete short left to Jaylen Warren for 3 yards (tackle by Zack Baun and Nakobe Dean),-1.35,-1.7,15.0,2024,220
2.0,13:53,4.0,15.0,PIT 25,3.0,10.0,"Corliss Waitman punts 43 yards, returned by Cooper DeJean for 23 yards (tackle by Jeremiah Moon and Payton Wilson)",-1.7,-2.59,15.0,2024,220
2.0,13:40,1.0,10.0,PIT 45,3.0,10.0,Saquon Barkley right tackle for no gain (tackle by Patrick Queen),2.59,2.04,15.0,2024,220
2.0,13:06,2.0,10.0,PIT 45,3.0,10.0,Saquon Barkley up the middle for 3 yards (tackle by Patrick Queen),2.04,1.75,15.0,2024,220
