Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Saints to receive the opening kickoff.",,,15.0,2024,215
1.0,15:00,,,WAS 35,0.0,0.0,"Greg Joseph kicks off 66 yards, returned by Kendre Miller for 35 yards (tackle by Quan Martin and Jeremy Reaves)",0.0,1.2,15.0,2024,215
1.0,14:54,1.0,10.0,NOR 34,0.0,0.0,Alvin Kamara right guard for 3 yards (tackle by Bobby Wagner),1.2,1.06,15.0,2024,215
1.0,14:16,2.0,7.0,NOR 37,0.0,0.0,Marquez Valdes-Scantling left end for 4 yards (tackle by Mykal Walker),1.06,0.89,15.0,2024,215
1.0,13:37,3.0,3.0,NOR 41,0.0,0.0,"Jake Haener pass complete short right to Cedrick Wilson for no gain (tackle by Mike Sainristil and Jeremy Chinn). Penalty on Lucas Patrick: Offensive Holding, 10 yards (accepted) (no play)",0.89,-0.43,15.0,2024,215
1.0,13:12,3.0,13.0,NOR 31,0.0,0.0,Jake Haener sacked by Daron Payne for -11 yards,-0.43,-2.03,15.0,2024,215
1.0,12:17,4.0,24.0,NOR 20,0.0,0.0,"Matthew Hayball punts 46 yards, returned by Jamison Crowder for 10 yards (tackle by Jaylan Ford)",-2.03,-1.86,15.0,2024,215
1.0,12:07,1.0,10.0,WAS 44,0.0,0.0,Jayden Daniels scrambles left end for 1 yard (tackle by Carl Granderson),1.86,1.45,15.0,2024,215
1.0,11:26,2.0,9.0,WAS 45,0.0,0.0,Jayden Daniels pass complete short right to Terry McLaurin for 8 yards (tackle by Alontae Taylor),1.45,1.82,15.0,2024,215
1.0,11:01,3.0,1.0,NOR 47,0.0,0.0,Brian Robinson left guard for 1 yard (tackle by Cameron Jordan and Carl Granderson),1.82,2.52,15.0,2024,215
1.0,10:25,1.0,10.0,NOR 46,0.0,0.0,Brian Robinson right end for 9 yards (tackle by Will Harris),2.52,3.19,15.0,2024,215
1.0,9:40,2.0,1.0,NOR 37,0.0,0.0,Brian Robinson left end for 5 yards (tackle by Demario Davis and Payton Turner),3.19,3.45,15.0,2024,215
1.0,9:15,1.0,10.0,NOR 32,0.0,0.0,Jayden Daniels left end for 1 yard (tackle by Kool-Aid McKinstry),3.45,3.04,15.0,2024,215
1.0,8:43,2.0,9.0,NOR 31,0.0,0.0,Jayden Daniels pass incomplete deep right intended for Jeremy McNichols,3.04,2.34,15.0,2024,215
1.0,8:35,3.0,9.0,NOR 31,0.0,0.0,Jayden Daniels pass complete short left to Jamison Crowder for 5 yards (tackle by Will Harris),2.34,1.81,15.0,2024,215
1.0,7:54,4.0,4.0,NOR 26,0.0,0.0,"Penalty on Payton Turner: Unnecessary Roughness / Defense, 13 yards (accepted) (no play)",1.81,4.71,15.0,2024,215
1.0,7:54,1.0,10.0,NOR 13,0.0,0.0,Jayden Daniels right end for 9 yards (tackle by Alontae Taylor),4.71,5.73,15.0,2024,215
1.0,7:14,2.0,1.0,NOR 4,0.0,0.0,Brian Robinson right guard for 1 yard (tackle by Demario Davis and Cameron Jordan),5.73,6.51,15.0,2024,215
1.0,6:37,1.0,3.0,NOR 3,0.0,0.0,"Jayden Daniels pass complete short right to Olamide Zaccheaus for no gain, touchdown. Penalty on Olamide Zaccheaus: Illegal Shift, 4 yards (accepted) (no play)",6.51,5.6,15.0,2024,215
1.0,6:33,1.0,7.0,NOR 7,0.0,0.0,"Jayden Daniels right end for 5 yards. Jayden Daniels fumbles (tackle by Ugo Amadi, recovered by Jeremy McNichols at NO-6 (tackle by Chase Young)",5.6,4.95,15.0,2024,215
1.0,5:57,2.0,6.0,NOR 6,0.0,0.0,"Jayden Daniels scrambles right end for no gain (tackle by Alontae Taylor). Penalty on Samuel Cosmi: Offensive Holding, 10 yards (accepted) (no play)",4.95,3.34,15.0,2024,215
1.0,5:39,2.0,16.0,NOR 16,6.0,0.0,"Jayden Daniels pass complete deep left to Terry McLaurin for 16 yards, touchdown",3.34,7.0,15.0,2024,215
1.0,5:28,,,NOR 15,7.0,0.0,Greg Joseph kicks extra point good,0.0,0.0,15.0,2024,215
1.0,5:28,,,WAS 35,7.0,0.0,"Greg Joseph kicks off 62 yards, returned by Kendre Miller for 25 yards (tackle by Jordan Magee and Nick Bellore)",0.0,0.81,15.0,2024,215
1.0,5:21,1.0,10.0,NOR 28,7.0,0.0,Kendre Miller left guard for -1 yards (tackle by Jeremy Chinn),0.81,0.13,15.0,2024,215
1.0,4:42,2.0,11.0,NOR 27,7.0,0.0,Jake Haener pass complete short left to Alvin Kamara for 29 yards (tackle by Mike Sainristil and Mykal Walker),0.13,2.65,15.0,2024,215
1.0,4:01,1.0,10.0,WAS 44,7.0,0.0,Jake Haener sacked by Dorance Armstrong for -9 yards,2.65,0.9,15.0,2024,215
1.0,3:17,,,,,,Timeout #1 by New Orleans Saints,,,15.0,2024,215
1.0,3:17,2.0,19.0,NOR 47,7.0,0.0,Alvin Kamara left guard for -3 yards (tackle by Bobby Wagner and Jer'Zhan Newton),0.9,-0.16,15.0,2024,215
1.0,2:36,3.0,22.0,NOR 44,7.0,0.0,Jake Haener scrambles left end for 7 yards (tackle by Noah Igbinoghene),-0.16,0.0,15.0,2024,215
1.0,1:53,4.0,15.0,WAS 49,7.0,0.0,"Matthew Hayball punts 41 yards, fair catch by Jamison Crowder at WAS-8",0.0,0.38,15.0,2024,215
1.0,1:47,1.0,10.0,WAS 8,7.0,0.0,Brian Robinson left guard for 2 yards (tackle by Carl Granderson),-0.38,-0.63,15.0,2024,215
1.0,1:07,2.0,8.0,WAS 10,7.0,0.0,Jayden Daniels pass complete short left to Zach Ertz for 6 yards (tackle by Will Harris),-0.63,-0.48,15.0,2024,215
1.0,0:28,3.0,2.0,WAS 16,7.0,0.0,Jayden Daniels pass complete short left to Terry McLaurin for 5 yards,-0.48,0.34,15.0,2024,215
2.0,15:00,1.0,10.0,WAS 21,7.0,0.0,Jayden Daniels pass complete short middle to Dyami Brown for 16 yards (tackle by Kool-Aid McKinstry),0.34,1.4,15.0,2024,215
2.0,14:35,1.0,10.0,WAS 37,7.0,0.0,Jayden Daniels sacked by Chase Young for -4 yards,1.4,0.32,15.0,2024,215
2.0,13:54,2.0,14.0,WAS 33,7.0,0.0,Jayden Daniels pass complete short right to Brian Robinson for 5 yards (tackle by Pete Werner and Alontae Taylor),0.32,0.3,15.0,2024,215
2.0,13:12,3.0,9.0,WAS 38,7.0,0.0,"Jayden Daniels pass complete short left to Terry McLaurin for 3 yards (tackle by Tyrann Mathieu). Penalty on Dyami Brown: Offensive Holding, 10 yards (accepted)",0.3,-0.62,15.0,2024,215
2.0,12:58,3.0,16.0,WAS 31,7.0,0.0,Jayden Daniels sacked by Cameron Jordan for -7 yards,-0.62,-1.77,15.0,2024,215
2.0,12:15,4.0,23.0,WAS 24,7.0,0.0,"Tress Way punts 51 yards, returned by Dante Pettis for 1 yard (tackle by Jordan Magee)",-1.77,-0.67,15.0,2024,215
2.0,12:02,1.0,10.0,NOR 26,7.0,0.0,Alvin Kamara left end for 6 yards (tackle by Quan Martin),0.67,0.94,15.0,2024,215
2.0,11:40,2.0,4.0,NOR 32,7.0,0.0,Jake Haener pass incomplete deep middle intended for Marquez Valdes-Scantling,0.94,0.23,15.0,2024,215
2.0,11:36,3.0,4.0,NOR 32,7.0,0.0,Jake Haener pass deep middle intended for Alvin Kamara is intercepted by Mike Sainristil at WAS-47 and returned for no gain (tackle by Alvin Kamara),0.23,-2.06,15.0,2024,215
2.0,11:25,1.0,10.0,WAS 47,7.0,0.0,Jayden Daniels sacked by Willie Gay for no gain,2.06,1.52,15.0,2024,215
2.0,10:43,2.0,10.0,WAS 47,7.0,0.0,"Jayden Daniels right end for no gain (tackle by Alontae Taylor). Penalty on Brian Robinson: Offensive Holding, 10 yards (accepted) (no play)",1.52,0.17,15.0,2024,215
2.0,10:25,2.0,20.0,WAS 37,7.0,0.0,Jayden Daniels pass complete short right to Dyami Brown for 12 yards (tackle by Alontae Taylor),0.17,1.09,15.0,2024,215
2.0,9:44,3.0,8.0,WAS 49,7.0,0.0,Jayden Daniels pass complete short left to Jamison Crowder for 12 yards (tackle by Demario Davis),1.09,2.98,15.0,2024,215
2.0,9:07,1.0,10.0,NOR 39,7.0,0.0,Jeremy McNichols left end for -1 yards (tackle by Kool-Aid McKinstry),2.98,2.3,15.0,2024,215
2.0,8:28,2.0,11.0,NOR 40,7.0,0.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Demario Davis),2.3,2.81,15.0,2024,215
2.0,7:42,3.0,2.0,NOR 31,7.0,0.0,Jayden Daniels scrambles right end for 2 yards (tackle by Pete Werner),2.81,3.64,15.0,2024,215
2.0,6:55,1.0,10.0,NOR 29,7.0,0.0,Brian Robinson left end for 7 yards (tackle by Demario Davis and Will Harris),3.64,4.05,15.0,2024,215
2.0,6:16,2.0,3.0,NOR 22,7.0,0.0,Jayden Daniels pass incomplete short left intended for Dyami Brown (defended by Ugo Amadi),4.05,3.34,15.0,2024,215
2.0,6:12,3.0,3.0,NOR 22,7.0,0.0,Jayden Daniels pass complete short middle to Zach Ertz for 19 yards (tackle by Will Harris),3.34,6.51,15.0,2024,215
2.0,5:43,1.0,3.0,NOR 3,13.0,0.0,"Jayden Daniels pass complete short left to Terry McLaurin for 3 yards, touchdown",6.51,7.0,15.0,2024,215
2.0,5:38,,,NOR 15,14.0,0.0,Greg Joseph kicks extra point good,0.0,0.0,15.0,2024,215
2.0,5:38,,,WAS 35,14.0,0.0,"Greg Joseph kicks off 65 yards, returned by Jamaal Williams for 30 yards (tackle by Jordan Magee)",0.0,0.94,15.0,2024,215
2.0,5:32,1.0,10.0,NOR 30,14.0,0.0,Jake Haener pass complete short right to Alvin Kamara for 3 yards (tackle by Jeremy Chinn),0.94,0.8,15.0,2024,215
2.0,4:58,2.0,7.0,NOR 33,14.0,0.0,Alvin Kamara right tackle for 2 yards (tackle by Jalyn Holmes),0.8,0.37,15.0,2024,215
2.0,4:25,3.0,5.0,NOR 35,14.0,0.0,Jake Haener sacked by Jeremy Chinn for -9 yards,0.37,-1.63,15.0,2024,215
2.0,3:46,4.0,14.0,NOR 26,14.0,0.0,"Matthew Hayball punts 47 yards, returned by Jamison Crowder for 2 yards (tackle by Rico Payton)",-1.63,-0.87,15.0,2024,215
2.0,3:38,1.0,10.0,WAS 29,14.0,0.0,Brian Robinson left guard for 1 yard (tackle by Khalen Saunders and Carl Granderson),0.87,0.46,15.0,2024,215
2.0,2:57,2.0,9.0,WAS 30,14.0,0.0,Jayden Daniels pass complete short middle to Brian Robinson for 8 yards (tackle by Pete Werner and Ugo Amadi),0.46,0.83,15.0,2024,215
2.0,2:10,,,,,,Timeout #1 by Washington Commanders,,,15.0,2024,215
2.0,2:10,3.0,1.0,WAS 38,14.0,0.0,Jayden Daniels right end for 2 yards (tackle by Demario Davis),0.83,1.6,15.0,2024,215
2.0,2:00,1.0,10.0,WAS 40,14.0,0.0,Jayden Daniels sacked by Demario Davis for no gain,1.6,1.05,15.0,2024,215
2.0,1:52,2.0,10.0,WAS 40,14.0,0.0,Jayden Daniels pass complete short left to Jeremy McNichols for no gain (tackle by Pete Werner),1.05,0.37,15.0,2024,215
2.0,1:48,3.0,10.0,WAS 40,14.0,0.0,Jayden Daniels sacked by Ugo Amadi for -14 yards,0.37,-1.63,15.0,2024,215
2.0,1:41,,,,,,Timeout #2 by New Orleans Saints,,,15.0,2024,215
2.0,1:41,4.0,24.0,WAS 26,14.0,0.0,"Tress Way punts 50 yards, returned by Dante Pettis for 5 yards (tackle by John Bates and Nick Bellore)",-1.63,-0.87,15.0,2024,215
2.0,1:31,1.0,10.0,NOR 29,14.0,0.0,Jake Haener pass incomplete short middle intended for Marquez Valdes-Scantling,0.87,0.33,15.0,2024,215
2.0,1:27,2.0,10.0,NOR 29,14.0,0.0,Jake Haener pass complete short right to Alvin Kamara for 5 yards (tackle by Dorance Armstrong),0.33,0.3,15.0,2024,215
2.0,1:21,,,,,,Timeout #2 by Washington Commanders,,,15.0,2024,215
2.0,1:21,3.0,5.0,NOR 34,14.0,0.0,Jake Haener pass complete short right to Dante Pettis for 12 yards (tackle by Mike Sainristil),0.3,1.99,15.0,2024,215
2.0,1:16,1.0,10.0,NOR 46,14.0,0.0,Jake Haener pass incomplete short right intended for Marquez Valdes-Scantling,1.99,1.45,15.0,2024,215
2.0,1:13,2.0,10.0,NOR 46,14.0,0.0,Jake Haener pass incomplete short right,1.45,0.76,15.0,2024,215
2.0,1:05,3.0,10.0,NOR 46,14.0,0.0,Jake Haener pass incomplete short left intended for Cedrick Wilson (defended by Mike Sainristil),0.76,-0.32,15.0,2024,215
2.0,1:00,4.0,10.0,NOR 46,14.0,0.0,Matthew Hayball punts 53 yards downed by J.T. Gray,-0.32,0.38,15.0,2024,215
2.0,0:50,1.0,10.0,WAS 2,14.0,0.0,Jeremy McNichols right tackle for 5 yards (tackle by Ugo Amadi),-0.38,-0.42,15.0,2024,215
2.0,0:43,,,,,,Timeout #3 by Washington Commanders,,,15.0,2024,215
2.0,0:43,2.0,5.0,WAS 7,14.0,0.0,Jayden Daniels pass complete short left to Terry McLaurin for 13 yards (tackle by Kool-Aid McKinstry and Tyrann Mathieu),-0.42,0.28,15.0,2024,215
2.0,0:24,1.0,10.0,WAS 20,14.0,0.0,Jayden Daniels pass complete short right to Luke McCaffrey for no gain (tackle by Ugo Amadi),0.28,-0.27,15.0,2024,215
3.0,15:00,,,NOR 35,14.0,0.0,"Blake Grupe kicks off 62 yards, returned by Luke McCaffrey for 29 yards (tackle by Adam Prentice)",0.0,1.07,15.0,2024,215
3.0,14:55,1.0,10.0,WAS 32,14.0,0.0,Brian Robinson left tackle for 3 yards (tackle by Demario Davis and Pete Werner),1.07,0.93,15.0,2024,215
3.0,14:11,2.0,7.0,WAS 35,14.0,0.0,Jayden Daniels scrambles up the middle for 6 yards (tackle by Demario Davis),0.93,1.03,15.0,2024,215
3.0,13:23,3.0,1.0,WAS 41,14.0,0.0,Jayden Daniels right end for 5 yards (tackle by Tyrann Mathieu),1.03,1.99,15.0,2024,215
3.0,12:45,1.0,10.0,WAS 46,14.0,0.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 14 yards (tackle by Demario Davis),1.99,2.92,15.0,2024,215
3.0,12:10,1.0,10.0,NOR 40,14.0,0.0,Brian Robinson left end for 20 yards (tackle by Ugo Amadi),2.92,4.24,15.0,2024,215
3.0,11:42,1.0,10.0,NOR 20,14.0,0.0,Brian Robinson left guard for 1 yard (tackle by Nathan Shepherd and Payton Turner),4.24,3.82,15.0,2024,215
3.0,11:02,2.0,9.0,NOR 19,14.0,0.0,Jayden Daniels scrambles right end for 10 yards (tackle by Will Harris),3.82,5.14,15.0,2024,215
3.0,10:17,1.0,9.0,NOR 9,14.0,0.0,Brian Robinson right guard for 4 yards (tackle by Cameron Jordan),5.14,5.15,15.0,2024,215
3.0,9:36,2.0,5.0,NOR 5,14.0,0.0,Brian Robinson right tackle for 4 yards (tackle by Demario Davis and Khalen Saunders),5.15,5.17,15.0,2024,215
3.0,8:53,3.0,1.0,NOR 1,14.0,0.0,Jayden Daniels sacked by Cameron Jordan for -4 yards,5.17,3.01,15.0,2024,215
3.0,8:15,4.0,5.0,NOR 5,17.0,0.0,Greg Joseph 23 yard field goal good,3.01,3.0,15.0,2024,215
3.0,8:12,,,WAS 35,17.0,0.0,"Greg Joseph kicks off 63 yards, returned by Jamaal Williams for 27 yards (tackle by Percy Butler and Tyler Owens)",0.0,0.87,15.0,2024,215
3.0,8:07,1.0,10.0,NOR 29,17.0,0.0,Spencer Rattler pass incomplete short right intended for Dante Pettis,0.87,0.33,15.0,2024,215
3.0,8:04,2.0,10.0,NOR 29,17.0,0.0,"Spencer Rattler pass incomplete short right intended for Kevin Austin. Penalty on Trevor Penning: Offensive Holding, 10 yards (declined)",0.33,-0.36,15.0,2024,215
3.0,8:00,3.0,10.0,NOR 29,17.0,0.0,Spencer Rattler pass complete short right to Dante Pettis for 12 yards (tackle by Noah Igbinoghene),-0.36,1.66,15.0,2024,215
3.0,7:27,1.0,10.0,NOR 41,17.0,0.0,Alvin Kamara right tackle for 4 yards (tackle by Jer'Zhan Newton),1.66,1.66,15.0,2024,215
3.0,6:43,2.0,6.0,NOR 45,17.0,0.0,"Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",1.66,0.99,15.0,2024,215
3.0,6:35,2.0,11.0,NOR 40,17.0,0.0,Spencer Rattler pass complete deep middle to Marquez Valdes-Scantling for 39 yards (tackle by Jeremy Chinn),0.99,4.17,15.0,2024,215
