Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Davante Adams,NYJ,12,9,198,2,6.0,84,9.3,114,12.7,13.0,0,,2,16.7,0,156.2,15.0,2024,214
Garrett Wilson,NYJ,6,3,56,1,3.0,43,14.3,13,4.3,16.7,0,,0,0.0,0,122.2,15.0,2024,214
Breece Hall,NYJ,2,2,21,0,0.0,1,0.5,20,10.0,0.5,0,,0,0.0,0,110.4,15.0,2024,214
Isaiah Davis,NYJ,1,1,2,0,0.0,-4,-4.0,6,6.0,-4.0,0,,0,0.0,0,79.2,15.0,2024,214
Jeremy Ruckert,NYJ,3,1,12,0,1.0,4,4.0,8,8.0,7.0,0,,0,0.0,0,46.5,15.0,2024,214
Allen Lazard,NYJ,4,0,0,0,,0,,0,,18.0,0,,0,0.0,0,39.6,15.0,2024,214
Brenton Strange,JAX,12,11,73,0,3.0,52,4.7,21,1.9,4.5,0,,0,0.0,0,92.0,15.0,2024,214
Brian Thomas,JAX,14,10,105,2,5.0,21,2.1,84,8.4,4.4,0,,0,0.0,0,132.4,15.0,2024,214
Travis Etienne,JAX,5,4,20,0,1.0,-7,-1.8,27,6.8,-1.8,0,,0,0.0,0,83.3,15.0,2024,214
Devin Duvernay,JAX,4,3,42,0,2.0,5,1.7,37,12.3,13.0,0,,0,0.0,1,68.7,15.0,2024,214
Parker Washington,JAX,6,3,54,0,2.0,26,8.7,28,9.3,16.2,1,3.0,0,0.0,1,41.7,15.0,2024,214
Tank Bigsby,JAX,1,0,0,0,0.0,0,,0,,-5.0,0,,1,100.0,0,39.6,15.0,2024,214
Josh Reynolds,JAX,1,0,0,0,,0,,0,,17.0,0,,0,0.0,0,39.6,15.0,2024,214
