Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Bengals to receive the opening kickoff.",,,15.0,2024,211
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.28,15.0,2024,211
1.0,15:00,1.0,10.0,CIN 20,0.0,0.0,"Penalty on Cam Grandy: False Start, 5 yards (accepted) (no play)",0.28,-0.31,15.0,2024,211
1.0,15:00,1.0,15.0,CIN 15,0.0,0.0,Joe Burrow pass complete short left to Mike Gesicki for 4 yards (tackle by Daryl Worley),-0.31,-0.46,15.0,2024,211
1.0,14:18,2.0,11.0,CIN 19,0.0,0.0,Joe Burrow pass short middle intended for Andrei Iosivas is intercepted by Luke Gifford at CIN-29 and returned for no gain (tackle by Andrei Iosivas),-0.46,-3.64,15.0,2024,211
1.0,14:18,1.0,10.0,CIN 29,0.0,0.0,Tony Pollard up the middle for 4 yards (tackle by B.J. Hill),3.64,3.64,15.0,2024,211
1.0,13:41,2.0,6.0,CIN 25,0.0,0.0,Will Levis pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),3.64,4.37,15.0,2024,211
1.0,13:01,1.0,10.0,CIN 18,0.0,0.0,Tony Pollard up the middle for 6 yards (tackle by Jordan Battle),4.37,4.81,15.0,2024,211
1.0,12:23,2.0,4.0,CIN 12,0.0,0.0,Tony Pollard left guard for 5 yards (tackle by Sam Hubbard),4.81,5.6,15.0,2024,211
1.0,11:36,1.0,7.0,CIN 7,0.0,0.0,Tony Pollard up the middle for 4 yards (tackle by Geno Stone),5.6,5.53,15.0,2024,211
1.0,10:55,2.0,3.0,CIN 3,0.0,6.0,"Tony Pollard up the middle for 3 yards, touchdown",5.53,7.0,15.0,2024,211
1.0,10:52,,,CIN 15,0.0,7.0,Nick Folk kicks extra point good,0.0,0.0,15.0,2024,211
1.0,10:52,,,TEN 35,0.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,211
1.0,10:52,1.0,10.0,CIN 30,0.0,7.0,Chase Brown up the middle for 3 yards (tackle by Luke Gifford),0.94,0.8,15.0,2024,211
1.0,10:16,2.0,7.0,CIN 33,0.0,7.0,Joe Burrow pass incomplete short right,0.8,0.1,15.0,2024,211
1.0,10:09,3.0,7.0,CIN 33,0.0,7.0,Joe Burrow pass complete short middle to Mike Gesicki for 17 yards (tackle by Darrell Baker),0.1,2.26,15.0,2024,211
1.0,9:28,1.0,10.0,CIN 50,0.0,7.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.26,1.71,15.0,2024,211
1.0,9:24,2.0,10.0,CIN 50,0.0,7.0,Joe Burrow pass complete short left to Ja'Marr Chase for 29 yards (tackle by Amani Hooker),1.71,4.17,15.0,2024,211
1.0,8:41,1.0,10.0,TEN 21,0.0,7.0,Chase Brown right guard for 3 yards (tackle by Kenneth Murray and Ali Gaye),4.17,4.04,15.0,2024,211
1.0,8:02,2.0,7.0,TEN 18,0.0,7.0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Chidobe Awuzie),4.04,4.49,15.0,2024,211
1.0,7:27,3.0,1.0,TEN 12,0.0,7.0,Chase Brown up the middle for 6 yards (tackle by Chidobe Awuzie and Amani Hooker),4.49,5.83,15.0,2024,211
1.0,6:46,1.0,6.0,TEN 6,6.0,7.0,"Joe Burrow pass complete short middle to Chase Brown for 6 yards, touchdown",5.83,7.0,15.0,2024,211
1.0,6:36,,,TEN 15,7.0,7.0,Cade York kicks extra point good,0.0,0.0,15.0,2024,211
1.0,6:36,,,CIN 35,7.0,7.0,"Penalty on Jaylen Harrell: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,15.0,2024,211
1.0,6:36,,,CIN 40,7.0,7.0,"Cade York kicks off 60 yards, touchback.",0.0,0.94,15.0,2024,211
1.0,6:36,1.0,10.0,TEN 30,7.0,7.0,Tony Pollard right guard for 2 yards (tackle by McKinnley Jackson and Akeem Davis-Gaither),0.94,0.66,15.0,2024,211
1.0,5:55,2.0,8.0,TEN 32,7.0,7.0,"Penalty on JC Latham: False Start, 5 yards (accepted) (no play)",0.66,-0.01,15.0,2024,211
1.0,5:38,2.0,13.0,TEN 27,7.0,7.0,Will Levis pass complete short right to Calvin Ridley for 4 yards (tackle by Jordan Battle and Germaine Pratt),-0.01,-0.16,15.0,2024,211
1.0,4:54,3.0,9.0,TEN 31,7.0,7.0,Will Levis pass complete short left to Tyler Boyd for 40 yards (tackle by Cam Taylor-Britt),-0.16,3.64,15.0,2024,211
1.0,4:09,1.0,10.0,CIN 29,7.0,7.0,"Will Levis pass incomplete deep left intended for Chigoziem Okonkwo. Penalty on Cam Taylor-Britt: Defensive Pass Interference, 27 yards (accepted) (no play)",3.64,6.74,15.0,2024,211
