Unnamed: 0,MIA,HOU,week,year,game_id
First Downs,18,12,15.0,2024,213
Rush-Yds-TDs,19-52-0,20-77-0,15.0,2024,213
Cmp-Att-Yd-TD-INT,29-40-196-1-3,18-26-131-2-0,15.0,2024,213
Sacked-Yards,3-24,4-27,15.0,2024,213
Net Pass Yards,172,104,15.0,2024,213
Total Yards,224,181,15.0,2024,213
Fumbles-Lost,2-1,2-1,15.0,2024,213
Turnovers,4,1,15.0,2024,213
Penalties-Yards,8-64,7-70,15.0,2024,213
Third Down Conv.,4-13,5-13,15.0,2024,213
Fourth Down Conv.,2-2,1-1,15.0,2024,213
Time of Possession,33:24,26:36,15.0,2024,213
