Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,15.0,2024,214
1.0,15:00,,,NYJ 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
1.0,15:00,1.0,10.0,JAX 30,0.0,0.0,Mac Jones pass complete short right to Travis Etienne for 8 yards (tackle by Jamien Sherwood),0.94,1.47,15.0,2024,214
1.0,14:28,2.0,2.0,JAX 38,0.0,0.0,Travis Etienne right end for 7 yards (tackle by Chuck Clark),1.47,1.93,15.0,2024,214
1.0,13:52,1.0,10.0,JAX 45,0.0,0.0,Mac Jones pass incomplete short middle intended for Travis Etienne,1.93,1.38,15.0,2024,214
1.0,13:47,2.0,10.0,JAX 45,0.0,0.0,Mac Jones pass complete short left to Brian Thomas for 3 yards (tackle by Qwan'tez Stiggers),1.38,1.09,15.0,2024,214
1.0,13:08,3.0,7.0,JAX 48,0.0,0.0,Mac Jones pass complete short right to Brian Thomas for 8 yards (tackle by Qwan'tez Stiggers),1.09,2.65,15.0,2024,214
1.0,12:37,1.0,10.0,NYJ 44,0.0,0.0,Mac Jones pass complete short left to Brenton Strange for 7 yards (tackle by Isaiah Oliver and Jalen Mills),2.65,3.06,15.0,2024,214
1.0,12:09,2.0,3.0,NYJ 37,0.0,0.0,Travis Etienne up the middle for 7 yards (tackle by Jamien Sherwood and Jalen Mills),3.06,3.58,15.0,2024,214
1.0,11:36,1.0,10.0,NYJ 30,0.0,0.0,Tank Bigsby up the middle for 5 yards (tackle by Leonard Taylor),3.58,3.71,15.0,2024,214
1.0,11:01,2.0,5.0,NYJ 25,0.0,0.0,Mac Jones pass complete short right to Brian Thomas for 4 yards (tackle by Sauce Gardner and Jalen Mills),3.71,3.53,15.0,2024,214
1.0,10:25,3.0,1.0,NYJ 21,0.0,0.0,"Mac Jones up the middle for 2 yards (tackle by Quinnen Williams). Penalty on Haason Reddick: Unnecessary Roughness / Defense, 10 yards (accepted)",3.53,5.14,15.0,2024,214
1.0,9:48,1.0,9.0,NYJ 9,0.0,0.0,Travis Etienne up the middle for 3 yards (tackle by Will McDonald and Jarrick Bernard-Converse),5.14,4.95,15.0,2024,214
1.0,9:21,2.0,6.0,NYJ 6,0.0,0.0,Mac Jones pass incomplete short right,4.95,4.04,15.0,2024,214
1.0,9:12,3.0,6.0,NYJ 6,0.0,0.0,"Mac Jones sacked by Will McDonald for no gain. Penalty on Sauce Gardner: Defensive Holding, 3 yards (accepted) (no play)",4.04,6.51,15.0,2024,214
