Quarter,Time,Down,ToGo,Location,TAM,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,15.0,2024,221
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,221
1.0,15:00,1.0,10.0,TAM 30,0.0,0.0,Rachaad White up the middle for 2 yards (tackle by Daiyan Henley and Troy Dye),0.94,0.66,15.0,2024,221
1.0,14:16,2.0,8.0,TAM 32,0.0,0.0,Baker Mayfield pass complete deep middle to Jalen McMillan for 19 yards (tackle by Elijah Molden and Tony Jefferson),0.66,2.32,15.0,2024,221
1.0,13:32,1.0,10.0,LAC 49,0.0,0.0,Rachaad White left tackle for 5 yards (tackle by Daiyan Henley),2.32,2.46,15.0,2024,221
1.0,12:53,2.0,5.0,LAC 44,0.0,0.0,Baker Mayfield pass complete short left to Cade Otton for 11 yards (tackle by Kristian Fulton),2.46,3.38,15.0,2024,221
1.0,12:08,1.0,10.0,LAC 33,0.0,0.0,Baker Mayfield pass incomplete deep left intended for Cade Otton,3.38,2.84,15.0,2024,221
1.0,12:01,2.0,10.0,LAC 33,0.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 7 yards (tackle by Troy Dye),2.84,3.07,15.0,2024,221
1.0,11:20,3.0,3.0,LAC 26,6.0,0.0,"Baker Mayfield pass complete deep left to Jalen McMillan for 26 yards, touchdown",3.07,7.0,15.0,2024,221
1.0,11:14,,,LAC 15,7.0,0.0,Chase McLaughlin kicks extra point good,0.0,0.0,15.0,2024,221
1.0,11:14,,,TAM 35,7.0,0.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,221
1.0,11:14,1.0,10.0,LAC 30,7.0,0.0,Justin Herbert pass complete short right to Ladd McConkey for 7 yards (tackle by Zyon McCollum),0.94,1.34,15.0,2024,221
1.0,10:44,2.0,3.0,LAC 37,7.0,0.0,Justin Herbert pass complete short middle to Ladd McConkey for 13 yards (tackle by Tykee Smith),1.34,2.26,15.0,2024,221
1.0,10:03,1.0,10.0,TAM 50,7.0,0.0,Justin Herbert pass complete short right to Kimani Vidal for 3 yards (tackle by Anthony Nelson and Ryan Neal),2.26,2.12,15.0,2024,221
1.0,9:21,2.0,7.0,TAM 47,7.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 13 yards (tackle by Lavonte David),2.12,3.31,15.0,2024,221
1.0,8:33,1.0,10.0,TAM 34,7.0,0.0,Gus Edwards left end for 8 yards (tackle by J.J. Russell),3.31,3.85,15.0,2024,221
1.0,7:54,2.0,2.0,TAM 26,7.0,0.0,Gus Edwards left end for 4 yards (tackle by Ryan Neal),3.85,4.11,15.0,2024,221
1.0,7:17,1.0,10.0,TAM 22,7.0,0.0,Justin Herbert pass incomplete short middle intended for Kimani Vidal,4.11,3.56,15.0,2024,221
1.0,7:09,2.0,10.0,TAM 22,7.0,0.0,Gus Edwards left guard for no gain (tackle by J.J. Russell),3.56,2.87,15.0,2024,221
1.0,6:34,3.0,10.0,TAM 22,7.0,0.0,"Justin Herbert pass incomplete short left intended for Stone Smartt. Penalty on Christian Izien: Defensive Pass Interference, 10 yards (accepted) (no play)",2.87,4.78,15.0,2024,221
1.0,6:28,1.0,10.0,TAM 12,7.0,0.0,Justin Herbert pass incomplete short left intended for Quentin Johnston,4.78,4.1,15.0,2024,221
1.0,6:25,2.0,10.0,TAM 12,7.0,0.0,"Penalty on Joe Tryon-Shoyinka: Encroachment, 5 yards (accepted) (no play)",4.1,5.02,15.0,2024,221
1.0,6:25,2.0,5.0,TAM 7,7.0,6.0,"Justin Herbert pass complete short right to Ladd McConkey for 7 yards, touchdown",5.02,7.0,15.0,2024,221
1.0,6:18,,,TAM 15,7.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,15.0,2024,221
1.0,6:18,,,LAC 35,7.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,221
