Unnamed: 0,BAL,NYG,week,year,game_id
First Downs,25,19,15.0,2024,216
Rush-Yds-TDs,31-170-0,20-55-1,15.0,2024,216
Cmp-Att-Yd-TD-INT,21-25-290-5-0,22-37-191-1-1,15.0,2024,216
Sacked-Yards,3-15,3-10,15.0,2024,216
Net Pass Yards,275,181,15.0,2024,216
Total Yards,445,236,15.0,2024,216
Fumbles-Lost,1-1,0-0,15.0,2024,216
Turnovers,1,1,15.0,2024,216
Penalties-Yards,12-112,6-44,15.0,2024,216
Third Down Conv.,9-11,2-12,15.0,2024,216
Fourth Down Conv.,0-0,3-5,15.0,2024,216
Time of Possession,28:58,31:02,15.0,2024,216
