Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,15.0,2024,213
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 62 yards, returned by Malik Washington for 23 yards (tackle by M.J. Stewart)",0.0,0.67,15.0,2024,213
1.0,14:56,1.0,10.0,MIA 26,0.0,0.0,Tua Tagovailoa pass complete short right to De'Von Achane for -3 yards (tackle by Derek Stingley),0.67,-0.28,15.0,2024,213
1.0,14:24,2.0,13.0,MIA 23,0.0,0.0,De'Von Achane left tackle for 6 yards (tackle by Calen Bullock and Henry To'oTo'o),-0.28,-0.16,15.0,2024,213
1.0,13:42,3.0,7.0,MIA 29,0.0,0.0,Tua Tagovailoa pass complete short right to Malik Washington for 8 yards (tackle by Kamari Lassiter),-0.16,1.4,15.0,2024,213
1.0,13:02,1.0,10.0,MIA 37,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,1.4,0.86,15.0,2024,213
1.0,12:58,2.0,10.0,MIA 37,0.0,0.0,De'Von Achane right guard for 1 yard (tackle by Folorunso Fatukasi),0.86,0.3,15.0,2024,213
1.0,12:18,3.0,9.0,MIA 38,0.0,0.0,Tua Tagovailoa sacked by and Danielle Hunter for -1 yards and Henry To'oTo'o for -1 yards,0.3,-0.91,15.0,2024,213
1.0,11:33,4.0,10.0,MIA 37,0.0,0.0,"Jake Bailey punts 58 yards, returned by Tank Dell for 14 yards (tackle by Channing Tindall)",-0.91,-0.15,15.0,2024,213
1.0,11:20,1.0,10.0,HOU 19,0.0,0.0,C.J. Stroud pass complete short right to Joe Mixon for 15 yards (tackle by Jordyn Brooks),0.15,1.2,15.0,2024,213
1.0,10:43,1.0,10.0,HOU 34,0.0,0.0,Joe Mixon left end for 5 yards (tackle by Quinton Bell),1.2,1.33,15.0,2024,213
1.0,10:09,2.0,5.0,HOU 39,0.0,0.0,Tank Dell right end for 15 yards (tackle by Kader Kohou and Kendall Fuller),1.33,2.52,15.0,2024,213
1.0,9:24,1.0,10.0,MIA 46,0.0,0.0,C.J. Stroud pass complete short left to Robert Woods for 12 yards (tackle by Jevon Holland),2.52,3.31,15.0,2024,213
1.0,8:45,1.0,10.0,MIA 34,0.0,0.0,"C.J. Stroud pass complete short right to Robert Woods for no gain. Robert Woods fumbles (forced by Kader Kohou), recovered by Blake Fisher at MIA-34",3.31,2.77,15.0,2024,213
