Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
D'Andre Swift,CHI,19,79,0,5.0,45,2.4,34,1.8,0,,15.0,2024,223
Caleb Williams,CHI,4,3,0,0.0,-1,-0.3,4,1.0,0,,15.0,2024,223
Travis Homer,CHI,3,7,0,1.0,4,1.3,3,1.0,0,,15.0,2024,223
D.J. Moore,CHI,3,24,0,1.0,18,6.0,6,2.0,0,,15.0,2024,223
Aaron Jones,MIN,18,86,1,5.0,55,3.1,31,1.7,0,,15.0,2024,223
Cam Akers,MIN,10,24,1,3.0,6,0.6,18,1.8,0,,15.0,2024,223
Ty Chandler,MIN,1,4,0,,2,2.0,2,2.0,0,,15.0,2024,223
