Unnamed: 0,ATL,LVR,week,year,game_id
First Downs,14,16,15.0,2024,224
Rush-Yds-TDs,37-168-0,22-65-0,15.0,2024,224
Cmp-Att-Yd-TD-INT,11-17-112-1-1,23-39-208-1-2,15.0,2024,224
Sacked-Yards,3-19,4-24,15.0,2024,224
Net Pass Yards,93,184,15.0,2024,224
Total Yards,261,249,15.0,2024,224
Fumbles-Lost,1-0,1-1,15.0,2024,224
Turnovers,1,3,15.0,2024,224
Penalties-Yards,6-30,7-55,15.0,2024,224
Third Down Conv.,4-13,4-14,15.0,2024,224
Fourth Down Conv.,0-0,2-2,15.0,2024,224
Time of Possession,33:52,26:08,15.0,2024,224
