Quarter,Time,Tm,Detail,MIA,HOU,week,year,game_id
1.0,7:09,Texans,Ka'imi Fairbairn 44 yard field goal,0,3,15.0,2024,213
2.0,11:35,Dolphins,Jason Sanders 55 yard field goal,3,3,15.0,2024,213
,6:45,Texans,Nico Collins 6 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),3,10,15.0,2024,213
,1:57,Dolphins,Jason Sanders 36 yard field goal,6,10,15.0,2024,213
,0:00,Texans,Ka'imi Fairbairn 23 yard field goal,6,13,15.0,2024,213
3.0,11:02,Texans,Nico Collins 6 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),6,20,15.0,2024,213
,4:30,Dolphins,Jonnu Smith 7 yard pass from Tua Tagovailoa (Jason Sanders kick failed),12,20,15.0,2024,213
