Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,15.0,2024,210
1.0,15:00,,,CAR 35,0.0,0.0,"Johnny Hekker kicks off 59 yards, returned by KaVontae Turpin for 18 yards (tackle by Sam Franklin)",0.0,0.54,15.0,2024,210
1.0,14:56,1.0,10.0,DAL 24,0.0,0.0,Rico Dowdle up the middle for 4 yards (tackle by D.J. Wonnum),0.54,0.54,15.0,2024,210
1.0,14:23,2.0,6.0,DAL 28,0.0,0.0,Rico Dowdle up the middle for 12 yards (tackle by Jordan Fuller),0.54,1.6,15.0,2024,210
1.0,13:40,1.0,10.0,DAL 40,0.0,0.0,Rico Dowdle left end for 3 yards (tackle by Jaycee Horn),1.6,1.46,15.0,2024,210
1.0,13:01,2.0,7.0,DAL 43,0.0,0.0,"Cooper Rush pass complete short right to CeeDee Lamb for no gain (tackle by Xavier Woods and Michael Jackson). Penalty on Chuma Edoga: Illegal Formation, 5 yards (accepted) (no play)",1.46,0.78,15.0,2024,210
1.0,12:44,2.0,12.0,DAL 38,0.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 8 yards (tackle by LaBryan Ray and Josey Jewell),0.78,1.16,15.0,2024,210
1.0,12:05,3.0,4.0,DAL 46,0.0,0.0,Cooper Rush sacked by Jaycee Horn for -15 yards,1.16,-1.31,15.0,2024,210
1.0,11:20,4.0,19.0,DAL 31,0.0,0.0,"Bryan Anger punts 56 yards, returned by Deven Thompkins for no gain",-1.31,0.32,15.0,2024,210
1.0,11:05,1.0,10.0,CAR 13,0.0,0.0,Chuba Hubbard left end for 6 yards (tackle by Osa Odighizuwa and Eric Kendricks),-0.32,0.03,15.0,2024,210
1.0,10:24,2.0,4.0,CAR 19,0.0,0.0,Bryce Young pass complete short middle to Chuba Hubbard for 6 yards (tackle by Amani Oruwariye),0.03,0.61,15.0,2024,210
1.0,9:46,1.0,10.0,CAR 25,0.0,0.0,Bryce Young scrambles left end for 3 yards (tackle by Israel Mukuamu),0.61,0.47,15.0,2024,210
1.0,9:05,2.0,7.0,CAR 28,0.0,0.0,Bryce Young pass complete short left to Xavier Legette for 2 yards (tackle by Donovan Wilson),0.47,0.04,15.0,2024,210
1.0,8:25,3.0,5.0,CAR 30,0.0,0.0,Bryce Young pass complete short middle to Jalen Coker for 15 yards (tackle by Amani Oruwariye),0.04,1.93,15.0,2024,210
