Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Rico Dowdle,DAL,25,149,0,7.0,69,2.8,80,3.2,2,12.5,15.0,2024,210
Ezekiel Elliott,DAL,9,30,0,3.0,11,1.2,19,2.1,1,9.0,15.0,2024,210
Cooper Rush,DAL,4,5,0,0.0,5,1.3,0,0.0,0,,15.0,2024,210
KaVontae Turpin,DAL,2,27,0,2.0,12,6.0,15,7.5,2,1.0,15.0,2024,210
Chuba Hubbard,CAR,10,32,0,2.0,13,1.3,19,1.9,1,10.0,15.0,2024,210
Bryce Young,CAR,3,12,1,1.0,12,4.0,0,0.0,0,,15.0,2024,210
Mike Boone,CAR,2,14,0,1.0,8,4.0,6,3.0,0,,15.0,2024,210
Xavier Legette,CAR,1,2,0,,2,2.0,0,0.0,0,,15.0,2024,210
