Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Passing,Passing,Air Yards,Air Yards,Air Yards,Air Yards,Air Yards,Air Yards,Air Yards,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,RPO,RPO,RPO,RPO,RPO,RPO,PlayAction,PlayAction,Unnamed: 41_level_0
Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
12.0,Bryce Young,24.0,CAR,QB,1.0,1.0,18.0,35.0,269.0,7.7,94.0,5.2,2.7,60.0,3.3,1.0,0.0,0.0,1.0,2.9,3.0,8.6,14.0,40.0,2.2,4.0,0.0,3.0,4.0,10.0,4.0,10.3,3.0,10.0,3.0,10.0,0.0,0.0,2.0,3.0,
13.0,Justin Herbert,27.0,LAC,QB,1.0,1.0,25.0,34.0,342.0,10.1,184.0,7.4,5.4,134.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.3,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,Dak Prescott,32.0,DAL,QB,1.0,1.0,21.0,34.0,331.0,9.7,113.0,5.4,3.3,75.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.9,2.3,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,
15.0,Geno Smith,35.0,LVR,QB,1.0,1.0,24.0,34.0,351.0,10.3,222.0,9.3,6.5,140.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.3,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,Baker Mayfield,30.0,TAM,QB,1.0,1.0,17.0,32.0,327.0,10.2,122.0,7.2,3.8,45.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,1.0,2.7,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,45.0,
17.0,Trevor Lawrence,26.0,JAX,QB,1.0,1.0,19.0,31.0,223.0,7.2,98.0,5.2,3.2,80.0,4.2,0.0,1.0,1.0,2.0,6.9,2.0,6.9,17.0,58.6,2.3,4.0,0.0,1.0,1.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,
18.0,Jayden Daniels,25.0,WAS,QB,1.0,1.0,19.0,30.0,279.0,9.3,136.0,7.2,4.5,97.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.0,7.9,5.0,9.2,1.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,
19.0,Aaron Rodgers,42.0,PIT,QB,1.0,1.0,22.0,30.0,139.0,4.6,71.0,3.2,2.4,173.0,7.9,0.0,1.0,0.0,1.0,3.4,2.0,6.9,23.0,79.3,2.2,12.0,0.0,3.0,7.0,20.6,0.0,,2.0,32.0,2.0,32.0,0.0,0.0,11.0,102.0,
20.0,Daniel Jones,28.0,IND,QB,1.0,1.0,22.0,29.0,196.0,6.8,160.0,7.3,5.5,112.0,5.1,0.0,0.0,0.0,0.0,0.0,3.0,10.3,23.0,79.3,2.2,16.0,4.0,1.0,6.0,18.2,3.0,6.7,6.0,47.0,6.0,47.0,0.0,0.0,12.0,121.0,
21.0,Kyler Murray,28.0,ARI,QB,1.0,1.0,21.0,29.0,158.0,5.4,63.0,3.0,2.2,100.0,4.8,0.0,0.0,0.0,0.0,0.0,5.0,17.2,14.0,48.3,2.1,4.0,3.0,0.0,8.0,21.6,3.0,9.3,2.0,47.0,1.0,45.0,1.0,2.0,3.0,4.0,
22.0,Matthew Stafford,37.0,LAR,QB,1.0,1.0,21.0,29.0,234.0,8.1,177.0,8.4,6.1,68.0,3.2,0.0,0.0,0.0,0.0,0.0,2.0,6.9,4.0,13.8,2.3,3.0,0.0,1.0,4.0,12.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,108.0,
23.0,Cam Ward,23.0,TEN,QB,1.0,1.0,12.0,28.0,294.0,10.5,48.0,4.0,1.7,64.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24.0,C.J. Stroud,24.0,HOU,QB,1.0,1.0,19.0,27.0,154.0,5.7,115.0,6.1,4.3,73.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,3.7,4.0,14.8,2.3,1.0,0.0,0.0,3.0,8.8,4.0,7.5,2.0,17.0,2.0,17.0,0.0,0.0,1.0,14.0,
25.0,Joe Burrow,29.0,CIN,QB,1.0,1.0,14.0,23.0,169.0,7.3,64.0,4.6,2.8,49.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,3.0,10.7,2.0,1.5,3.0,0.0,2.0,0.0,0.0,0.0,3.0,18.0,
26.0,Sam Darnold,28.0,SEA,QB,1.0,1.0,16.0,23.0,197.0,8.6,103.0,6.4,4.5,47.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.7,2.2,1.0,0.0,1.0,2.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,
27.0,Jalen Hurts,27.0,PHI,QB,1.0,1.0,19.0,23.0,113.0,4.9,91.0,4.8,4.0,61.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.7,2.4,0.0,0.0,0.0,1.0,3.0,9.0,7.0,1.0,5.0,1.0,5.0,0.0,0.0,2.0,6.0,
28.0,Tua Tagovailoa,27.0,MIA,QB,1.0,1.0,14.0,23.0,159.0,6.9,55.0,3.9,2.4,59.0,4.2,0.0,0.0,0.0,2.0,8.7,4.0,17.4,16.0,69.6,2.2,8.0,3.0,1.0,7.0,25.9,1.0,7.0,2.0,11.0,2.0,11.0,0.0,0.0,4.0,16.0,
29.0,Justin Fields,26.0,NYJ,QB,1.0,1.0,16.0,22.0,169.0,7.7,142.0,8.9,6.5,76.0,4.8,2.0,0.0,0.0,0.0,0.0,1.0,4.5,16.0,72.7,3.1,9.0,0.0,5.0,6.0,23.1,3.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,
30.0,Jordan Love,27.0,GNB,QB,1.0,1.0,16.0,22.0,253.0,11.5,149.0,9.3,6.8,39.0,2.4,0.0,0.0,0.0,0.0,0.0,2.0,9.1,5.0,22.7,2.6,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,25.0,3.0,22.0,1.0,3.0,5.0,71.0,
31.0,J.J. McCarthy,22.0,MIN,QB,1.0,1.0,13.0,20.0,137.0,6.9,75.0,5.8,3.8,68.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.5,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32.0,Lamar Jackson,28.0,BAL,QB,1.0,1.0,14.0,19.0,173.0,9.1,100.0,7.1,5.3,109.0,7.8,1.0,0.0,0.0,0.0,0.0,4.0,21.1,14.0,73.7,2.2,9.0,1.0,1.0,4.0,18.2,1.0,19.0,6.0,74.0,1.0,23.0,5.0,51.0,2.0,36.0,
33.0,Zach Wilson,26.0,MIA,QB,1.0,0.0,5.0,8.0,56.0,7.0,12.0,2.4,1.5,20.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,25.0,5.0,62.5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,League Average,,,,,,,,,7.4,,5.7,3.7,,4.5,,,,,0.8,,3.7,,20.3,1.6,,,,,8.7,,7.7,,,,,,,,,
