Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Josh Allen,29.0,BUF,QB,1.0,1.0,1-0-0,33.0,46.0,71.7,394.0,2.0,4.3,0.0,0.0,18.0,51.1,51.0,8.6,9.43,11.9,394.0,112.0,78.7,1.0,5.0,2.13,8.28,9.13,1.0,1.0,
2.0,Geno Smith,35.0,LVR,QB,1.0,1.0,1-0-0,24.0,34.0,70.6,362.0,1.0,2.9,1.0,2.9,17.0,50.0,38.0,10.6,9.91,15.1,362.0,102.8,62.8,4.0,29.0,10.53,8.76,8.11,0.0,0.0,
3.0,Justin Herbert,27.0,LAC,QB,1.0,1.0,1-0-0,25.0,34.0,73.5,318.0,3.0,8.8,0.0,0.0,16.0,56.8,33.0,9.4,11.12,12.7,318.0,131.7,88.9,3.0,14.0,8.11,8.22,9.84,0.0,0.0,
4.0,Michael Penix,25.0,ATL,QB,1.0,1.0,0-1-0,27.0,42.0,64.3,298.0,1.0,2.4,0.0,0.0,16.0,51.2,50.0,7.1,7.57,11.0,298.0,93.2,83.7,1.0,9.0,2.33,6.72,7.19,0.0,0.0,
5.0,Joe Flacco,40.0,CLE,QB,1.0,1.0,0-1-0,31.0,45.0,68.9,290.0,1.0,2.2,2.0,4.4,13.0,48.9,25.0,6.4,4.89,9.4,290.0,75.2,32.7,2.0,12.0,4.26,5.91,4.43,0.0,0.0,
6.0,Drake Maye,23.0,NWE,QB,1.0,1.0,0-1-0,30.0,46.0,65.2,287.0,1.0,2.2,1.0,2.2,15.0,42.0,27.0,6.2,5.7,9.6,287.0,80.6,39.2,4.0,11.0,8.0,5.52,5.02,0.0,0.0,
7.0,Brock Purdy,26.0,SFO,QB,1.0,1.0,1-0-0,26.0,35.0,74.3,277.0,2.0,5.7,2.0,5.7,15.0,61.1,45.0,7.9,6.49,10.7,277.0,92.2,80.3,1.0,12.0,2.78,7.36,5.97,1.0,1.0,
8.0,Daniel Jones,28.0,IND,QB,1.0,1.0,1-0-0,22.0,29.0,75.9,272.0,1.0,3.4,0.0,0.0,14.0,60.0,36.0,9.4,10.07,12.4,272.0,115.9,87.5,1.0,10.0,3.33,8.73,9.4,0.0,0.0,
9.0,Patrick Mahomes,30.0,KAN,QB,1.0,1.0,0-1-0,24.0,39.0,61.5,258.0,1.0,2.6,0.0,0.0,9.0,41.5,49.0,6.6,7.13,10.8,258.0,89.5,81.8,2.0,9.0,4.88,6.07,6.56,0.0,0.0,
10.0,Matthew Stafford,37.0,LAR,QB,1.0,1.0,1-0-0,21.0,29.0,72.4,245.0,1.0,3.4,0.0,0.0,13.0,53.1,36.0,8.4,9.14,11.7,245.0,109.1,62.0,3.0,21.0,9.38,7.0,7.63,0.0,0.0,
11.0,Aaron Rodgers,42.0,PIT,QB,1.0,1.0,1-0-0,22.0,30.0,73.3,244.0,4.0,13.3,0.0,0.0,14.0,44.1,31.0,8.1,10.8,11.1,244.0,136.7,62.6,4.0,26.0,11.76,6.41,8.76,1.0,1.0,
12.0,Jayden Daniels,25.0,WAS,QB,1.0,1.0,1-0-0,19.0,30.0,63.3,233.0,1.0,3.3,0.0,0.0,11.0,48.5,34.0,7.8,8.43,12.3,233.0,98.3,54.9,3.0,21.0,9.09,6.42,7.03,0.0,0.0,
13.0,Jared Goff,31.0,DET,QB,1.0,1.0,0-1-0,31.0,39.0,79.5,225.0,1.0,2.6,1.0,2.6,13.0,44.2,32.0,5.8,5.13,7.3,225.0,88.6,52.8,4.0,25.0,9.3,4.65,4.07,0.0,0.0,
14.0,Justin Fields,26.0,NYJ,QB,1.0,1.0,0-1-0,16.0,22.0,72.7,218.0,1.0,4.5,0.0,0.0,9.0,65.2,33.0,9.9,10.82,13.6,218.0,119.1,79.4,1.0,6.0,4.35,9.22,10.09,0.0,0.0,
15.0,Spencer Rattler,25.0,NOR,QB,1.0,1.0,0-1-0,27.0,46.0,58.7,214.0,0.0,0.0,0.0,0.0,12.0,44.7,21.0,4.7,4.65,7.9,214.0,70.4,49.7,1.0,6.0,2.13,4.43,4.43,0.0,0.0,
16.0,Caleb Williams,24.0,CHI,QB,1.0,1.0,0-1-0,21.0,35.0,60.0,210.0,1.0,2.9,0.0,0.0,10.0,37.8,31.0,6.0,6.57,10.0,210.0,86.6,63.8,2.0,12.0,5.41,5.35,5.89,0.0,0.0,
17.0,Lamar Jackson,28.0,BAL,QB,1.0,1.0,0-1-0,14.0,19.0,73.7,209.0,2.0,10.5,0.0,0.0,8.0,52.4,39.0,11.0,13.11,14.9,209.0,144.4,94.0,2.0,15.0,9.52,9.24,11.14,0.0,0.0,
18.0,Jordan Love,27.0,GNB,QB,1.0,1.0,1-0-0,16.0,22.0,72.7,188.0,2.0,9.1,0.0,0.0,8.0,50.0,48.0,8.5,10.36,11.8,188.0,128.6,92.1,0.0,0.0,0.0,8.55,10.36,0.0,0.0,
19.0,Dak Prescott,32.0,DAL,QB,1.0,1.0,0-1-0,21.0,34.0,61.8,188.0,0.0,0.0,0.0,0.0,9.0,41.2,32.0,5.5,5.53,9.0,188.0,76.6,60.1,0.0,0.0,0.0,5.53,5.53,0.0,0.0,
20.0,C.J. Stroud,24.0,HOU,QB,1.0,1.0,0-1-0,19.0,27.0,70.4,188.0,0.0,0.0,1.0,3.7,7.0,40.0,23.0,7.0,5.3,9.9,188.0,74.3,43.2,3.0,37.0,10.0,5.03,3.53,0.0,0.0,
21.0,Trevor Lawrence,26.0,JAX,QB,1.0,1.0,1-0-0,19.0,31.0,61.3,178.0,1.0,3.2,1.0,3.2,9.0,38.7,24.0,5.7,4.94,9.4,178.0,74.4,68.8,0.0,0.0,0.0,5.74,4.94,0.0,0.0,
22.0,Bo Nix,25.0,DEN,QB,1.0,1.0,1-0-0,25.0,40.0,62.5,176.0,1.0,2.5,2.0,5.0,9.0,39.0,22.0,4.4,2.65,7.0,176.0,60.0,19.2,1.0,10.0,2.44,4.05,2.34,0.0,0.0,
23.0,Russell Wilson,37.0,NYG,QB,1.0,1.0,0-1-0,17.0,37.0,45.9,168.0,0.0,0.0,0.0,0.0,9.0,28.2,25.0,4.5,4.54,9.9,168.0,59.3,25.5,2.0,11.0,5.13,4.03,4.03,0.0,0.0,
