Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,,14.0,2022,202
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 61 yards, returned by Gary Brightwell for 20 yards (tackle by Zach Pascal)",0.0,0.54,14.0,2022,202
1.0,14:55,1.0,10.0,NYG 24,0.0,0.0,Saquon Barkley left guard for 4 yards (tackle by Linval Joseph and Haason Reddick),0.54,0.54,14.0,2022,202
1.0,14:23,2.0,6.0,NYG 28,0.0,0.0,Daniel Jones pass complete short right to Isaiah Hodgins for 14 yards (tackle by Marcus Epps),0.54,1.73,14.0,2022,202
1.0,13:50,1.0,10.0,NYG 42,0.0,0.0,Daniel Jones sacked by Josh Sweat for -7 yards,1.73,0.24,14.0,2022,202
1.0,13:11,2.0,17.0,NYG 35,0.0,0.0,Daniel Jones pass incomplete short left intended for Matt Breida,0.24,-0.43,14.0,2022,202
1.0,13:04,3.0,17.0,NYG 35,0.0,0.0,Daniel Jones sacked by Haason Reddick for -2 yards,-0.43,-1.18,14.0,2022,202
1.0,12:27,4.0,19.0,NYG 33,0.0,0.0,"Jamie Gillan punts 52 yards, returned by Britain Covey for 1 yard (tackle by Zyon Gilbert)",-1.18,0.14,14.0,2022,202
1.0,12:19,1.0,10.0,PHI 16,0.0,0.0,Jalen Hurts pass complete short right to Grant Calcaterra for 13 yards (tackle by Nick McCloud),-0.14,0.87,14.0,2022,202
1.0,11:42,1.0,10.0,PHI 29,0.0,0.0,Miles Sanders right guard for 4 yards (tackle by Henry Mondeaux and Tony Jefferson),0.87,0.87,14.0,2022,202
1.0,11:02,2.0,6.0,PHI 33,0.0,0.0,Jalen Hurts pass complete short left to Miles Sanders for 11 yards (tackle by Micah McFadden and Julian Love),0.87,1.86,14.0,2022,202
1.0,10:21,1.0,10.0,PHI 44,0.0,0.0,Jalen Hurts right guard for 9 yards (tackle by Henry Mondeaux),1.86,2.53,14.0,2022,202
1.0,9:39,2.0,1.0,NYG 47,0.0,0.0,Jalen Hurts pass complete short middle to Zach Pascal for 5 yards (tackle by Jaylon Smith),2.53,2.79,14.0,2022,202
1.0,8:56,1.0,10.0,NYG 42,0.0,0.0,Jalen Hurts pass incomplete short left intended for A.J. Brown,2.79,2.24,14.0,2022,202
1.0,8:51,2.0,10.0,NYG 42,0.0,0.0,Jalen Hurts pass complete short right to Boston Scott for 4 yards (tackle by Julian Love and Azeez Ojulari),2.24,2.08,14.0,2022,202
1.0,8:08,3.0,6.0,NYG 38,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 7 yards (tackle by Fabian Moreau),2.08,3.51,14.0,2022,202
1.0,7:39,1.0,10.0,NYG 31,0.0,0.0,Jalen Hurts pass complete short left to Quez Watkins for 3 yards (tackle by Julian Love),3.51,3.37,14.0,2022,202
1.0,7:04,2.0,7.0,NYG 28,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 1 yard (tackle by Jaylon Smith),3.37,2.81,14.0,2022,202
1.0,6:18,3.0,6.0,NYG 27,0.0,0.0,"Jalen Hurts pass complete short right to A.J. Brown for no gain. Penalty on Fabian Moreau: Illegal Use of Hands / Defense, 4 yards (accepted) (no play)",2.81,4.04,14.0,2022,202
1.0,5:52,1.0,10.0,NYG 23,0.0,0.0,Jalen Hurts pass complete short middle to Grant Calcaterra for 11 yards (tackle by Julian Love),4.04,4.78,14.0,2022,202
1.0,5:26,1.0,10.0,NYG 12,0.0,0.0,Miles Sanders left end for no gain (tackle by Micah McFadden and Julian Love),4.78,4.1,14.0,2022,202
1.0,4:41,2.0,10.0,NYG 12,0.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 9 yards (tackle by Nick McCloud),4.1,5.06,14.0,2022,202
1.0,4:20,3.0,1.0,NYG 3,6.0,0.0,"Miles Sanders right guard for 3 yards, touchdown",5.06,7.0,14.0,2022,202
1.0,4:14,,,NYG 15,7.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,14.0,2022,202
1.0,4:14,,,PHI 35,7.0,0.0,"Jake Elliott kicks off 63 yards, returned by Gary Brightwell for 19 yards (tackle by Christian Elliss)",0.0,0.34,14.0,2022,202
1.0,4:09,1.0,10.0,NYG 21,7.0,0.0,Gary Brightwell up the middle for 13 yards (tackle by Marcus Epps),0.34,1.2,14.0,2022,202
1.0,3:39,1.0,10.0,NYG 34,7.0,0.0,Gary Brightwell right guard for 4 yards (tackle by Fletcher Cox),1.2,1.2,14.0,2022,202
1.0,3:05,2.0,6.0,NYG 38,7.0,0.0,Daniel Jones pass complete short left to Richie James for -1 yards (tackle by T.J. Edwards),1.2,0.37,14.0,2022,202
1.0,2:21,3.0,7.0,NYG 37,7.0,0.0,Daniel Jones pass incomplete deep middle intended for Isaiah Hodgins,0.37,-0.91,14.0,2022,202
