Unnamed: 0,PHI,NYG,week,year,game_id
First Downs,27,18,14.0,2022,202
Rush-Yds-TDs,31-253-4,24-123-1,14.0,2022,202
Cmp-Att-Yd-TD-INT,21-31-217-2-0,23-32-216-2-0,14.0,2022,202
Sacked-Yards,4-33,7-35,14.0,2022,202
Net Pass Yards,184,181,14.0,2022,202
Total Yards,437,304,14.0,2022,202
Fumbles-Lost,0-0,2-1,14.0,2022,202
Turnovers,0,1,14.0,2022,202
Penalties-Yards,2-9,5-34,14.0,2022,202
Third Down Conv.,6-11,4-13,14.0,2022,202
Fourth Down Conv.,1-1,2-4,14.0,2022,202
Time of Possession,32:30,27:30,14.0,2022,202
