Quarter,Time,Tm,Detail,BAL,PIT,week,year,game_id
1.0,4:46,Ravens,Justin Tucker 42 yard field goal,3,0,14.0,2022,203
,2:31,Ravens,J.K. Dobbins 4 yard rush (Justin Tucker kick),10,0,14.0,2022,203
,0:13,Steelers,Najee Harris 1 yard rush (Chris Boswell kick),10,7,14.0,2022,203
2.0,1:03,Ravens,Justin Tucker 35 yard field goal,13,7,14.0,2022,203
4.0,3:19,Ravens,Justin Tucker 30 yard field goal,16,7,14.0,2022,203
,2:30,Steelers,Pat Freiermuth 10 yard pass from Mitchell Trubisky (Chris Boswell kick),16,14,14.0,2022,203
