Unnamed: 0,CLE,CIN,week,year,game_id
First Downs,18,23,14.0,2022,198
Rush-Yds-TDs,25-71-0,26-136-1,14.0,2022,198
Cmp-Att-Yd-TD-INT,26-43-276-1-1,18-33-239-2-1,14.0,2022,198
Sacked-Yards,2-3,2-12,14.0,2022,198
Net Pass Yards,273,227,14.0,2022,198
Total Yards,344,363,14.0,2022,198
Fumbles-Lost,0-0,0-0,14.0,2022,198
Turnovers,1,1,14.0,2022,198
Penalties-Yards,9-98,4-36,14.0,2022,198
Third Down Conv.,4-15,6-15,14.0,2022,198
Fourth Down Conv.,3-6,0-0,14.0,2022,198
Time of Possession,31:52,28:08,14.0,2022,198
