Quarter,Time,Down,ToGo,Location,CAR,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Panthers to receive the opening kickoff.",,,14.0,2022,205
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 61 yards, returned by Raheem Blackshear for 24 yards (tackle by Joey Blount and Boye Mafe)",0.0,0.81,14.0,2022,205
1.0,14:53,1.0,10.0,CAR 28,0.0,0.0,"Penalty on Austin Corbett: False Start, 5 yards (accepted) (no play)",0.81,0.48,14.0,2022,205
1.0,14:53,1.0,15.0,CAR 23,0.0,0.0,D'Onta Foreman right tackle for 2 yards (tackle by Quinton Jefferson),0.48,-0.14,14.0,2022,205
1.0,14:16,2.0,13.0,CAR 25,0.0,0.0,D'Onta Foreman left guard for 3 yards (tackle by Jordyn Brooks and Bruce Irvin),-0.14,-0.43,14.0,2022,205
1.0,13:37,3.0,10.0,CAR 28,0.0,0.0,Chuba Hubbard left end for 12 yards (tackle by Teez Tabor),-0.43,1.6,14.0,2022,205
1.0,12:54,1.0,10.0,CAR 40,0.0,0.0,Sam Darnold pass complete short right to D'Onta Foreman for 1 yard (tackle by Jordyn Brooks),1.6,1.19,14.0,2022,205
1.0,12:12,2.0,9.0,CAR 41,0.0,0.0,Chuba Hubbard up the middle for 4 yards (tackle by Jordyn Brooks),1.19,1.03,14.0,2022,205
1.0,11:32,3.0,5.0,CAR 45,0.0,0.0,Sam Darnold pass complete short middle to Laviska Shenault for 11 yards (tackle by Michael Jackson),1.03,2.65,14.0,2022,205
1.0,10:49,1.0,10.0,SEA 44,0.0,0.0,D'Onta Foreman left tackle for 4 yards (tackle by L.J. Collier),2.65,2.65,14.0,2022,205
1.0,10:10,2.0,6.0,SEA 40,0.0,0.0,D.J. Moore left end for 5 yards (tackle by Bruce Irvin),2.65,2.61,14.0,2022,205
1.0,9:33,3.0,1.0,SEA 35,0.0,0.0,Sam Darnold pass complete short right to Chuba Hubbard for 2 yards (tackle by Coby Bryant),2.61,3.38,14.0,2022,205
1.0,8:49,1.0,10.0,SEA 33,0.0,0.0,"Penalty on Tommy Tremble: False Start, 5 yards (accepted) (no play)",3.38,3.05,14.0,2022,205
1.0,8:31,1.0,15.0,SEA 38,0.0,0.0,Sam Darnold pass incomplete deep left intended for D.J. Moore (defended by Tariq Woolen),3.05,2.16,14.0,2022,205
1.0,8:26,2.0,15.0,SEA 38,0.0,0.0,Laviska Shenault left end for 7 yards (tackle by Ryan Neal and Tariq Woolen),2.16,2.41,14.0,2022,205
1.0,7:48,3.0,8.0,SEA 31,0.0,0.0,Chuba Hubbard left guard for 2 yards (tackle by Cody Barton and Bruce Irvin),2.41,1.52,14.0,2022,205
1.0,7:10,4.0,6.0,SEA 29,3.0,0.0,Eddy Pineiro 47 yard field goal good,1.52,3.0,14.0,2022,205
1.0,7:05,,,CAR 35,3.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,205
1.0,7:05,1.0,10.0,SEA 25,3.0,0.0,Geno Smith pass deep left intended for Tyler Lockett is intercepted by Jaycee Horn at SEA-44 and returned for 31 yards (tackle by Tyler Lockett),0.61,-4.71,14.0,2022,205
1.0,6:49,1.0,10.0,SEA 13,9.0,0.0,"Sam Darnold pass complete short right to Shi Smith for 13 yards, touchdown",4.71,7.0,14.0,2022,205
1.0,6:44,,,SEA 15,10.0,0.0,Eddy Pineiro kicks extra point good,0.0,0.0,14.0,2022,205
1.0,6:44,,,CAR 35,10.0,0.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,205
1.0,6:44,1.0,10.0,SEA 25,10.0,0.0,Marquise Goodwin right end for -2 yards (tackle by Frankie Luvu),0.61,-0.21,14.0,2022,205
1.0,6:12,2.0,12.0,SEA 23,10.0,0.0,Geno Smith pass complete short left to D.K. Metcalf for 7 yards (tackle by Jaycee Horn),-0.21,0.04,14.0,2022,205
1.0,5:29,3.0,5.0,SEA 30,10.0,0.0,"Geno Smith pass incomplete deep left intended for Noah Fant (defended by Jeremy Chinn). Penalty on Derrick Brown: Defensive Offside, 5 yards (accepted) (no play)",0.04,1.27,14.0,2022,205
1.0,5:23,1.0,10.0,SEA 35,10.0,0.0,Travis Homer up the middle for 2 yards (tackle by Yetur Gross-Matos),1.27,0.99,14.0,2022,205
1.0,4:50,2.0,8.0,SEA 37,10.0,0.0,Geno Smith pass incomplete deep middle intended for D.K. Metcalf,0.99,0.3,14.0,2022,205
1.0,4:43,3.0,8.0,SEA 37,10.0,0.0,Geno Smith pass incomplete short left intended for Marquise Goodwin,0.3,-0.91,14.0,2022,205
1.0,4:37,4.0,8.0,SEA 37,10.0,0.0,"Michael Dickson punts 42 yards, returned by Shi Smith for 5 yards (tackle by Travis Homer and Nick Bellore)",-0.91,-0.67,14.0,2022,205
1.0,4:27,1.0,10.0,CAR 26,10.0,0.0,D'Onta Foreman up the middle for 3 yards (tackle by Boye Mafe and Cody Barton),0.67,0.54,14.0,2022,205
1.0,3:49,2.0,7.0,CAR 29,10.0,0.0,Sam Darnold pass complete short left to Laviska Shenault for 9 yards (tackle by Quandre Diggs),0.54,1.47,14.0,2022,205
1.0,3:11,1.0,10.0,CAR 38,10.0,0.0,D'Onta Foreman left end for 2 yards (tackle by Jordyn Brooks and Al Woods),1.47,1.19,14.0,2022,205
1.0,2:28,2.0,8.0,CAR 40,10.0,0.0,Sam Darnold pass complete short right to Raheem Blackshear for 17 yards (tackle by Michael Jackson),1.19,2.72,14.0,2022,205
1.0,1:47,1.0,10.0,SEA 43,10.0,0.0,Sam Darnold pass complete short left to Chuba Hubbard for 17 yards (tackle by Jordyn Brooks),2.72,3.84,14.0,2022,205
1.0,1:09,1.0,10.0,SEA 26,10.0,0.0,Chuba Hubbard up the middle for 3 yards (tackle by Myles Adams and Poona Ford),3.84,3.7,14.0,2022,205
1.0,0:27,2.0,7.0,SEA 23,10.0,0.0,Sam Darnold pass complete short right to Ian Thomas for 8 yards (tackle by Ryan Neal and Cody Barton),3.7,4.58,14.0,2022,205
2.0,15:00,1.0,10.0,SEA 15,10.0,0.0,Chuba Hubbard up the middle for 7 yards (tackle by Ryan Neal and Cody Barton),4.58,5.22,14.0,2022,205
2.0,14:20,2.0,3.0,SEA 8,10.0,0.0,D'Onta Foreman right guard for 5 yards (tackle by Bryan Mone and Cody Barton),5.22,6.51,14.0,2022,205
2.0,13:41,1.0,3.0,SEA 3,10.0,0.0,D'Onta Foreman left guard for 2 yards (tackle by Cody Barton),6.51,5.91,14.0,2022,205
2.0,13:21,2.0,1.0,SEA 1,10.0,0.0,D'Onta Foreman right guard for -1 yards (tackle by Bryan Mone),5.91,4.95,14.0,2022,205
2.0,12:39,3.0,2.0,SEA 2,16.0,0.0,"Chuba Hubbard up the middle for 2 yards, touchdown",4.95,7.0,14.0,2022,205
2.0,12:35,,,SEA 15,17.0,0.0,Eddy Pineiro kicks extra point good,0.0,0.0,14.0,2022,205
2.0,12:35,,,CAR 35,17.0,0.0,"Eddy Pineiro kicks off 56 yards, returned by Godwin Igwebuike for 19 yards (tackle by Damien Wilson). Penalty on Joel Iyiegbuniwe: Illegal Formation, 5 yards (accepted)",0.0,1.14,14.0,2022,205
2.0,12:29,1.0,10.0,SEA 33,17.0,0.0,Travis Homer up the middle for 5 yards (tackle by Bravvion Roy and Shaq Thompson),1.14,1.27,14.0,2022,205
2.0,11:51,2.0,5.0,SEA 38,17.0,0.0,Geno Smith pass incomplete short right intended for Tyler Lockett,1.27,0.56,14.0,2022,205
2.0,11:48,3.0,5.0,SEA 38,17.0,0.0,Geno Smith pass complete deep right to Marquise Goodwin for 38 yards (tackle by Jeremy Chinn),0.56,3.97,14.0,2022,205
2.0,11:15,1.0,10.0,CAR 24,17.0,0.0,Geno Smith pass complete deep right to Tyler Lockett for 17 yards (tackle by Jaycee Horn),3.97,5.6,14.0,2022,205
2.0,10:52,1.0,7.0,CAR 7,17.0,0.0,Travis Homer left guard for no gain (tackle by Derrick Brown and Jeremy Chinn),5.6,4.76,14.0,2022,205
2.0,10:08,2.0,7.0,CAR 7,17.0,0.0,Travis Homer up the middle for 3 yards (tackle by Shaq Thompson),4.76,4.49,14.0,2022,205
2.0,9:33,3.0,4.0,CAR 4,17.0,6.0,"Geno Smith pass complete short left to Tyler Lockett for 4 yards, touchdown",4.49,7.0,14.0,2022,205
2.0,9:26,,,CAR 15,17.0,7.0,Jason Myers kicks extra point good,0.0,0.0,14.0,2022,205
2.0,9:26,,,SEA 35,17.0,7.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,205
2.0,9:26,1.0,10.0,CAR 25,17.0,7.0,D'Onta Foreman right guard for 3 yards (tackle by Bryan Mone),0.61,0.47,14.0,2022,205
2.0,8:46,2.0,7.0,CAR 28,17.0,7.0,Sam Darnold pass incomplete short right,0.47,-0.23,14.0,2022,205
2.0,8:40,3.0,7.0,CAR 28,17.0,7.0,Sam Darnold sacked by Darrell Taylor for -10 yards,-0.23,-2.24,14.0,2022,205
2.0,8:03,4.0,17.0,CAR 18,17.0,7.0,"Johnny Hekker punts 40 yards, fair catch by Tyler Lockett at SEA-42",-2.24,-1.73,14.0,2022,205
2.0,7:57,1.0,10.0,SEA 42,17.0,7.0,"Penalty on Noah Fant: False Start, 5 yards (accepted) (no play)",1.73,1.4,14.0,2022,205
2.0,7:57,1.0,15.0,SEA 37,17.0,7.0,Travis Homer right end for -2 yards (tackle by Jeremy Chinn and Brian Burns),1.4,0.24,14.0,2022,205
2.0,7:14,2.0,17.0,SEA 35,17.0,7.0,Geno Smith pass complete short right to Will Dissly for 8 yards (tackle by Shaq Thompson),0.24,0.63,14.0,2022,205
2.0,6:26,3.0,9.0,SEA 43,17.0,7.0,Geno Smith pass deep left intended for D.K. Metcalf is intercepted by C.J. Henderson at CAR-41 and returned for 20 yards (tackle by Abraham Lucas and Travis Homer),0.63,-2.98,14.0,2022,205
2.0,6:18,1.0,10.0,SEA 39,17.0,7.0,"Sam Darnold scrambles right end for 3 yards (tackle by Uchenna Nwosu). Penalty on Uchenna Nwosu: Unnecessary Roughness / Defense, 15 yards (accepted)",2.98,4.17,14.0,2022,205
2.0,5:51,1.0,10.0,SEA 21,17.0,7.0,D'Onta Foreman right tackle for 7 yards (tackle by Bruce Irvin),4.17,4.74,14.0,2022,205
2.0,5:13,2.0,3.0,SEA 14,17.0,7.0,Raheem Blackshear up the middle for 2 yards (tackle by Al Woods),4.74,4.49,14.0,2022,205
2.0,4:30,3.0,1.0,SEA 12,17.0,7.0,D.J. Moore right end for 1 yard (tackle by Quandre Diggs),4.49,4.84,14.0,2022,205
2.0,3:52,1.0,10.0,SEA 11,17.0,7.0,"D'Onta Foreman for no gain. Penalty on D.J. Moore: False Start, 4 yards (accepted) (no play)",4.84,4.37,14.0,2022,205
2.0,3:44,1.0,15.0,SEA 15,17.0,7.0,Sam Darnold pass incomplete short right intended for D.J. Moore,4.37,3.56,14.0,2022,205
2.0,3:39,2.0,14.0,SEA 15,17.0,7.0,Sam Darnold sacked by Bruce Irvin for -5 yards,3.56,2.41,14.0,2022,205
2.0,2:52,3.0,19.0,SEA 20,17.0,7.0,Sam Darnold pass complete short middle to Chuba Hubbard for 6 yards (tackle by Ryan Neal),2.41,2.51,14.0,2022,205
2.0,2:13,4.0,14.0,SEA 14,20.0,7.0,Eddy Pineiro 32 yard field goal good,2.51,3.0,14.0,2022,205
2.0,2:09,,,CAR 35,20.0,7.0,"Eddy Pineiro kicks off 61 yards, returned by Godwin Igwebuike for 50 yards (tackle by T.J. Carrie and Eddy Pineiro)",0.0,2.52,14.0,2022,205
2.0,2:01,1.0,10.0,CAR 46,20.0,7.0,Geno Smith scrambles right end for 5 yards (tackle by Juston Burris),2.52,2.65,14.0,2022,205
2.0,1:53,2.0,5.0,CAR 41,20.0,7.0,Geno Smith pass complete short right to Travis Homer for 2 yards (tackle by Frankie Luvu),2.65,2.21,14.0,2022,205
