Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Ravens to receive the opening kickoff.",,,14.0,2022,203
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 59 yards, returned by Devin Duvernay for 19 yards (tackle by Miles Boykin and Damontae Kazee)",0.0,0.61,14.0,2022,203
1.0,14:56,1.0,10.0,BAL 25,0.0,0.0,J.K. Dobbins left end for no gain (tackle by Cameron Sutton),0.61,0.06,14.0,2022,203
1.0,14:20,2.0,10.0,BAL 25,0.0,0.0,Tyler Huntley pass incomplete short left intended for Mark Andrews (defended by Cameron Sutton),0.06,-0.62,14.0,2022,203
1.0,14:16,3.0,10.0,BAL 25,0.0,0.0,Tyler Huntley pass complete short right to Demarcus Robinson for 9 yards (tackle by Levi Wallace),-0.62,-1.11,14.0,2022,203
1.0,13:39,4.0,1.0,BAL 34,0.0,0.0,"Jordan Stout punts 43 yards, returned by Steven Sims for no gain (tackle by Kyle Hamilton)",-1.11,-0.48,14.0,2022,203
1.0,13:31,1.0,10.0,PIT 23,0.0,0.0,Kenny Pickett scrambles right tackle for 3 yards (tackle by Roquan Smith),0.48,0.34,14.0,2022,203
1.0,12:55,2.0,7.0,PIT 26,0.0,0.0,Kenny Pickett scrambles right end for 13 yards (tackle by Chuck Clark),0.34,1.53,14.0,2022,203
1.0,12:16,1.0,10.0,PIT 39,0.0,0.0,Najee Harris right tackle for 3 yards (tackle by Jason Pierre-Paul),1.53,1.39,14.0,2022,203
1.0,11:41,2.0,7.0,PIT 42,0.0,0.0,Najee Harris left guard for 3 yards (tackle by Calais Campbell),1.39,1.09,14.0,2022,203
1.0,11:05,3.0,4.0,PIT 45,0.0,0.0,Kenny Pickett sacked by Roquan Smith for -7 yards,1.09,-0.85,14.0,2022,203
1.0,10:33,4.0,11.0,PIT 38,0.0,0.0,"Pressley Harvin punts 46 yards, returned by Devin Duvernay for 9 yards (tackle by Marcus Allen)",-0.85,-0.61,14.0,2022,203
1.0,10:24,1.0,10.0,BAL 25,0.0,0.0,J.K. Dobbins right guard for 4 yards (tackle by Cameron Heyward and Larry Ogunjobi),0.61,0.6,14.0,2022,203
1.0,9:50,2.0,6.0,BAL 29,0.0,0.0,J.K. Dobbins left tackle for 4 yards (tackle by Alex Highsmith and Larry Ogunjobi),0.6,0.43,14.0,2022,203
1.0,9:05,3.0,2.0,BAL 33,0.0,0.0,"Tyler Huntley scrambles right end for 1 yard (tackle by T.J. Watt) BAL challenged the short of the line to gain ruling, and the play was upheld.",0.43,-1.11,14.0,2022,203
1.0,8:20,4.0,1.0,BAL 34,0.0,0.0,Tyler Huntley up the middle for 2 yards (tackle by Montravius Adams),-1.11,1.33,14.0,2022,203
1.0,7:42,1.0,10.0,BAL 36,0.0,0.0,Gus Edwards right tackle for 2 yards (tackle by Alex Highsmith and Minkah Fitzpatrick),1.33,1.06,14.0,2022,203
1.0,6:57,2.0,8.0,BAL 38,0.0,0.0,Tyler Huntley pass complete short left to Demarcus Robinson for 11 yards (tackle by Minkah Fitzpatrick and James Pierre),1.06,2.19,14.0,2022,203
1.0,6:16,1.0,10.0,BAL 49,0.0,0.0,Tyler Huntley pass complete short right to Demarcus Robinson for 23 yards (tackle by Terrell Edmunds and Devin Bush),2.19,3.71,14.0,2022,203
1.0,5:38,1.0,10.0,PIT 28,0.0,0.0,Gus Edwards up the middle for 4 yards (tackle by Jamir Jones and Terrell Edmunds),3.71,3.71,14.0,2022,203
