Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Lions to receive the opening kickoff.",,,14.0,2022,200
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, returned by Justin Jackson for 21 yards (tackle by Myles Dorn)",0.0,0.34,14.0,2022,200
1.0,14:56,1.0,10.0,DET 21,0.0,0.0,Jamaal Williams right end for 1 yard (tackle by Danielle Hunter and Eric Kendricks),0.34,-0.07,14.0,2022,200
1.0,14:24,2.0,9.0,DET 22,0.0,0.0,Jared Goff pass incomplete short left intended for Jamaal Williams,-0.07,-0.76,14.0,2022,200
1.0,14:19,3.0,9.0,DET 22,0.0,0.0,Jared Goff pass incomplete intended for Amon-Ra St. Brown,-0.76,-1.9,14.0,2022,200
1.0,14:14,4.0,9.0,DET 22,0.0,0.0,"Jack Fox punts 66 yards, returned by Jalen Reagor for 9 yards (tackle by Jason Cabinda)",-1.9,-0.34,14.0,2022,200
1.0,13:59,1.0,10.0,MIN 21,0.0,0.0,Dalvin Cook up the middle for 3 yards (tackle by Jeff Okudah and Alim McNeill),0.34,0.21,14.0,2022,200
1.0,13:22,2.0,7.0,MIN 24,0.0,0.0,Kirk Cousins pass complete short right to T.J. Hockenson for 13 yards (tackle by Alex Anzalone),0.21,1.4,14.0,2022,200
1.0,12:56,1.0,10.0,MIN 37,0.0,0.0,Kirk Cousins pass complete short right to T.J. Hockenson for 6 yards (tackle by DeShon Elliott),1.4,1.67,14.0,2022,200
1.0,12:19,2.0,4.0,MIN 43,0.0,0.0,Dalvin Cook up the middle for -2 yards (tackle by Aidan Hutchinson),1.67,0.7,14.0,2022,200
1.0,11:36,3.0,6.0,MIN 41,0.0,0.0,Kirk Cousins pass incomplete short middle intended for T.J. Hockenson (defended by Chris Board) (defended by John Cominsky),0.7,-0.65,14.0,2022,200
1.0,11:25,4.0,6.0,MIN 41,0.0,0.0,"Penalty on Chris Board: Defensive Offside, 5 yards (accepted) (no play)",-0.65,-0.32,14.0,2022,200
1.0,11:25,4.0,1.0,MIN 46,0.0,0.0,Dalvin Cook left tackle for no gain (tackle by Jeff Okudah and Malcolm Rodriguez),-0.32,-2.52,14.0,2022,200
1.0,11:18,1.0,10.0,MIN 46,0.0,0.0,Jamaal Williams up the middle for 5 yards (tackle by Eric Kendricks and Dalvin Tomlinson),2.52,2.65,14.0,2022,200
1.0,10:34,2.0,5.0,MIN 41,0.0,6.0,"Jared Goff pass complete deep middle to Jameson Williams for 41 yards, touchdown",2.65,7.0,14.0,2022,200
1.0,10:27,,,MIN 15,0.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,14.0,2022,200
1.0,10:27,,,DET 35,0.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,200
1.0,10:27,1.0,10.0,MIN 25,0.0,7.0,Kirk Cousins pass complete short left to Justin Jefferson for 13 yards (tackle by Mike Hughes),0.61,1.47,14.0,2022,200
1.0,9:40,1.0,10.0,MIN 38,0.0,7.0,Dalvin Cook left tackle for 4 yards (tackle by Alex Anzalone),1.47,1.46,14.0,2022,200
1.0,9:00,2.0,6.0,MIN 42,0.0,7.0,Dalvin Cook right tackle for -1 yards (tackle by Mike Hughes),1.46,0.63,14.0,2022,200
1.0,8:14,3.0,7.0,MIN 41,0.0,7.0,"Kirk Cousins sacked by. Penalty on Kerby Joseph: Defensive Holding, 5 yards (accepted) (no play)",0.63,1.99,14.0,2022,200
1.0,7:47,1.0,10.0,MIN 46,0.0,7.0,Dalvin Cook left end for 5 yards (tackle by Alex Anzalone),1.99,2.13,14.0,2022,200
1.0,7:12,2.0,5.0,DET 49,0.0,7.0,Kirk Cousins pass complete short left to Dalvin Cook for 13 yards (tackle by Jeff Okudah),2.13,3.18,14.0,2022,200
1.0,6:38,1.0,10.0,DET 36,0.0,7.0,Kirk Cousins pass complete short right to Justin Jefferson for 14 yards (tackle by Jerry Jacobs),3.18,4.11,14.0,2022,200
