Quarter,Time,Tm,Detail,KAN,DEN,week,year,game_id
1.0,10:56,Chiefs,Harrison Butker 35 yard field goal,3,0,14.0,2022,204
,2:53,Chiefs,Harrison Butker 45 yard field goal,6,0,14.0,2022,204
2.0,14:16,Chiefs,Jerick McKinnon 56 yard pass from Patrick Mahomes (Harrison Butker kick),13,0,14.0,2022,204
,7:16,Chiefs,Jerick McKinnon 10 yard pass from Patrick Mahomes (Harrison Butker kick),20,0,14.0,2022,204
,4:32,Chiefs,Willie Gay Jr. 47 yard interception return (Harrison Butker kick),27,0,14.0,2022,204
,1:35,Broncos,Jerry Jeudy 18 yard pass from Russell Wilson (Brandon McManus kick),27,7,14.0,2022,204
,0:09,Broncos,Jerry Jeudy 5 yard pass from Russell Wilson (Brandon McManus kick),27,14,14.0,2022,204
3.0,13:03,Broncos,Marlon Mack 66 yard pass from Russell Wilson (Brandon McManus kick),27,21,14.0,2022,204
,0:38,Chiefs,JuJu Smith-Schuster 4 yard pass from Patrick Mahomes (Harrison Butker kick),34,21,14.0,2022,204
4.0,10:49,Broncos,Jerry Jeudy 7 yard pass from Brett Rypien (Brandon McManus kick),34,28,14.0,2022,204
