Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Bills to receive the opening kickoff.",,,14.0,2022,197
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 63 yards, returned by Nyheim Hines for 21 yards (tackle by Tony Adams)",0.0,0.48,14.0,2022,197
1.0,14:55,1.0,10.0,BUF 23,0.0,0.0,Josh Allen pass complete short left to Dawson Knox for 6 yards (tackle by Michael Carter),0.48,0.74,14.0,2022,197
1.0,14:23,2.0,4.0,BUF 29,0.0,0.0,Devin Singletary up the middle for 2 yards (tackle by Sheldon Rankins and D.J. Reed),0.74,0.3,14.0,2022,197
1.0,13:41,3.0,2.0,BUF 31,0.0,0.0,Josh Allen pass incomplete short middle intended for Stefon Diggs,0.3,-1.31,14.0,2022,197
1.0,13:39,4.0,2.0,BUF 31,0.0,0.0,Sam Martin punts 67 yards,-1.31,0.38,14.0,2022,197
1.0,13:29,1.0,10.0,NYJ 2,0.0,0.0,Zonovan Knight up the middle for 2 yards (tackle by Ed Oliver and Tremaine Edmunds),-0.38,-0.63,14.0,2022,197
1.0,12:46,2.0,8.0,NYJ 4,0.0,0.0,Mike White pass incomplete short middle intended for Tyler Conklin,-0.63,-1.19,14.0,2022,197
1.0,12:42,3.0,8.0,NYJ 4,0.0,0.0,Mike White pass complete short right to Garrett Wilson for 10 yards (tackle by Tre'Davious White),-1.19,-0.28,14.0,2022,197
1.0,12:04,1.0,10.0,NYJ 14,0.0,0.0,Zonovan Knight left guard for 10 yards (tackle by Jordan Poyer),-0.28,0.54,14.0,2022,197
1.0,11:17,1.0,10.0,NYJ 24,0.0,0.0,"Penalty on Corey Davis: False Start, 5 yards (accepted) (no play)",0.54,0.13,14.0,2022,197
1.0,10:56,1.0,15.0,NYJ 19,0.0,0.0,Zonovan Knight up the middle for -2 yards (tackle by DaQuan Jones and Matt Milano),0.13,-1.08,14.0,2022,197
1.0,10:11,2.0,17.0,NYJ 17,0.0,0.0,Mike White pass complete short right to Michael Carter for 3 yards (tackle by Taron Johnson),-1.08,-1.22,14.0,2022,197
1.0,9:28,3.0,14.0,NYJ 20,0.0,0.0,Mike White pass complete short right to Tyler Conklin for 7 yards (tackle by Matt Milano and Dane Jackson),-1.22,-1.57,14.0,2022,197
1.0,8:42,4.0,7.0,NYJ 27,0.0,0.0,Braden Mann punts 40 yards downed by Justin Hardee,-1.57,-1.14,14.0,2022,197
1.0,8:27,1.0,10.0,BUF 33,0.0,0.0,Isaiah McKenzie left end for 7 yards (tackle by Sauce Gardner),1.14,1.54,14.0,2022,197
1.0,7:50,2.0,3.0,BUF 40,0.0,0.0,Devin Singletary left guard for 11 yards (tackle by C.J. Mosley),1.54,2.32,14.0,2022,197
1.0,7:10,1.0,10.0,NYJ 49,0.0,0.0,Josh Allen pass incomplete deep right intended for John Brown (defended by Sauce Gardner),2.32,1.78,14.0,2022,197
1.0,7:01,2.0,10.0,NYJ 49,0.0,0.0,Josh Allen pass incomplete short left intended for Khalil Shakir,1.78,1.09,14.0,2022,197
1.0,6:56,3.0,10.0,NYJ 49,0.0,0.0,Josh Allen sacked by Quinnen Williams for -2 yards,1.09,-0.13,14.0,2022,197
1.0,6:15,4.0,12.0,BUF 49,0.0,0.0,"Sam Martin punts 51 yards, touchback.",-0.13,-0.28,14.0,2022,197
1.0,6:03,1.0,10.0,NYJ 20,0.0,0.0,"Penalty on Nate Herbig: False Start, 5 yards (accepted) (no play)",0.28,-0.31,14.0,2022,197
1.0,6:03,1.0,15.0,NYJ 15,0.0,0.0,Mike White pass incomplete short right intended for Elijah Moore,-0.31,-1.07,14.0,2022,197
1.0,5:59,2.0,15.0,NYJ 15,0.0,0.0,Mike White pass complete short right to Elijah Moore for 5 yards (tackle by Taron Johnson),-1.07,-0.96,14.0,2022,197
1.0,5:22,3.0,10.0,NYJ 20,0.0,0.0,Mike White pass complete short right to Corey Davis for 15 yards (tackle by Dane Jackson),-0.96,1.27,14.0,2022,197
1.0,4:50,1.0,10.0,NYJ 35,0.0,0.0,Zonovan Knight right tackle for 6 yards (tackle by Tremaine Edmunds),1.27,1.53,14.0,2022,197
1.0,4:19,2.0,4.0,NYJ 41,0.0,0.0,Zonovan Knight right guard for no gain (tackle by Boogie Basham and Matt Milano),1.53,0.83,14.0,2022,197
1.0,3:38,3.0,4.0,NYJ 41,0.0,0.0,Mike White pass incomplete short left intended for C.J. Uzomah,0.83,-0.65,14.0,2022,197
1.0,3:31,4.0,4.0,NYJ 41,0.0,0.0,Braden Mann punts 41 yards downed by Justin Hardee,-0.65,-0.04,14.0,2022,197
1.0,3:19,1.0,10.0,BUF 18,0.0,0.0,"Josh Allen pass incomplete short right intended for Dawson Knox. Penalty on Mitch Morse: Ineligible Downfield Pass, 5 yards (accepted) . Penalty on Josh Allen: Ineligible Downfield Pass, 5 yards (accepted) . Penalty on Mitch Morse: Ineligible Downfield Pass, 5 yards (accepted) . Penalty on Josh Allen: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.04,-0.45,14.0,2022,197
1.0,3:16,1.0,15.0,BUF 13,0.0,0.0,"Penalty on Dion Dawkins: False Start, 5 yards (accepted) (no play)",-0.45,-0.76,14.0,2022,197
1.0,3:16,1.0,20.0,BUF 8,0.0,0.0,Josh Allen pass incomplete short left intended for Gabriel Davis,-0.76,-1.51,14.0,2022,197
1.0,2:53,2.0,20.0,BUF 8,0.0,0.0,"Josh Allen up the middle for 4 yards (tackle by Quinnen Williams). Penalty on Rodger Saffold: Offensive Holding, 10 yards (declined)",-1.51,-2.12,14.0,2022,197
1.0,2:44,3.0,16.0,BUF 12,0.0,0.0,Josh Allen pass incomplete short left intended for Isaiah McKenzie,-2.12,-2.49,14.0,2022,197
1.0,2:36,4.0,16.0,BUF 12,0.0,0.0,"Sam Martin punts 46 yards, returned by Braxton Berrios for 10 yards (tackle by Jaquan Johnson)",-2.49,-2.39,14.0,2022,197
1.0,2:26,1.0,10.0,BUF 48,0.0,0.0,Mike White sacked by Gregory Rousseau for -9 yards,2.39,0.63,14.0,2022,197
1.0,1:48,2.0,19.0,NYJ 43,0.0,0.0,Mike White pass incomplete short right intended for Michael Carter (defended by Gregory Rousseau),0.63,-0.03,14.0,2022,197
1.0,1:44,3.0,19.0,NYJ 43,0.0,0.0,Mike White pass incomplete short right intended for Michael Carter (defended by Taron Johnson),-0.03,-0.52,14.0,2022,197
1.0,1:39,4.0,19.0,NYJ 43,0.0,0.0,"Braden Mann punts 39 yards, returned by Nyheim Hines for 2 yards (tackle by Kenny Yeboah)",-0.52,-0.28,14.0,2022,197
1.0,1:29,1.0,10.0,BUF 20,0.0,0.0,Josh Allen right end for no gain (tackle by Sauce Gardner),0.28,-0.27,14.0,2022,197
1.0,0:53,2.0,10.0,BUF 20,0.0,0.0,Josh Allen pass complete short left to Stefon Diggs for 4 yards (tackle by Jordan Whitehead),-0.27,-0.43,14.0,2022,197
1.0,0:31,,,,,,Timeout #1 by New York Jets,,,14.0,2022,197
1.0,0:31,3.0,6.0,BUF 24,0.0,0.0,Josh Allen pass complete short right to Isaiah McKenzie for 6 yards (tackle by Tony Adams),-0.43,0.94,14.0,2022,197
1.0,0:03,1.0,10.0,BUF 30,0.0,0.0,Josh Allen sacked by Quinnen Williams for -9 yards,0.94,-0.82,14.0,2022,197
