Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
D'Onta Foreman,CAR,21,74,0,4.0,48,2.3,26,1.2,2,10.5,14.0,2022,205
Chuba Hubbard,CAR,14,74,1,6.0,41,2.9,33,2.4,2,7.0,14.0,2022,205
Raheem Blackshear,CAR,4,32,1,2.0,11,2.8,21,5.3,0,,14.0,2022,205
Sam Darnold,CAR,4,30,0,1.0,30,7.5,0,0.0,0,,14.0,2022,205
D.J. Moore,CAR,2,6,0,1.0,6,3.0,0,0.0,0,,14.0,2022,205
Laviska Shenault Jr.,CAR,1,7,0,0.0,7,7.0,0,0.0,0,,14.0,2022,205
Travis Homer,SEA,9,26,0,1.0,12,1.3,14,1.6,1,9.0,14.0,2022,205
Geno Smith,SEA,3,20,0,1.0,20,6.7,0,0.0,0,,14.0,2022,205
Marquise Goodwin,SEA,1,-2,0,0.0,-2,-2.0,0,0.0,0,,14.0,2022,205
Tony Jones,SEA,1,2,0,,1,1.0,1,1.0,0,,14.0,2022,205
