Unnamed: 0,KAN,DEN,week,year,game_id
First Downs,20,17,14.0,2022,204
Rush-Yds-TDs,23-89-0,19-106-0,14.0,2022,204
Cmp-Att-Yd-TD-INT,28-42-352-3-3,27-44-263-4-2,14.0,2022,204
Sacked-Yards,2-10,6-49,14.0,2022,204
Net Pass Yards,342,214,14.0,2022,204
Total Yards,431,320,14.0,2022,204
Fumbles-Lost,0-0,1-0,14.0,2022,204
Turnovers,3,2,14.0,2022,204
Penalties-Yards,4-70,6-38,14.0,2022,204
Third Down Conv.,6-12,6-17,14.0,2022,204
Fourth Down Conv.,0-0,1-2,14.0,2022,204
Time of Possession,30:13,29:47,14.0,2022,204
