Unnamed: 0,MIN,DET,week,year,game_id
First Downs,23,23,14.0,2022,200
Rush-Yds-TDs,17-22-1,30-134-1,14.0,2022,200
Cmp-Att-Yd-TD-INT,31-41-425-2-0,27-39-330-3-0,14.0,2022,200
Sacked-Yards,4-31,0-0,14.0,2022,200
Net Pass Yards,394,330,14.0,2022,200
Total Yards,416,464,14.0,2022,200
Fumbles-Lost,2-2,0-0,14.0,2022,200
Turnovers,2,0,14.0,2022,200
Penalties-Yards,3-25,7-51,14.0,2022,200
Third Down Conv.,4-10,7-15,14.0,2022,200
Fourth Down Conv.,1-2,1-2,14.0,2022,200
Time of Possession,28:06,31:54,14.0,2022,200
