Quarter,Time,Down,ToGo,Location,MIA,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,14.0,2022,207
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,207
1.0,15:00,1.0,10.0,MIA 25,0.0,0.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill (defended by Alohi Gilman),0.61,0.06,14.0,2022,207
1.0,14:56,2.0,10.0,MIA 25,0.0,0.0,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle (defended by Michael Davis),0.06,-0.62,14.0,2022,207
1.0,14:50,3.0,10.0,MIA 25,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,-0.62,-1.7,14.0,2022,207
1.0,14:46,4.0,10.0,MIA 25,0.0,0.0,"Thomas Morstead punts 55 yards, returned by DeAndre Carter for no gain (tackle by Elijah Campbell)",-1.7,-0.28,14.0,2022,207
1.0,14:37,1.0,10.0,LAC 20,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Eric Rowe),0.28,1.0,14.0,2022,207
1.0,14:08,1.0,10.0,LAC 31,0.0,0.0,Austin Ekeler left end for 11 yards (tackle by Zach Sieler),1.0,1.73,14.0,2022,207
1.0,13:30,1.0,10.0,LAC 42,0.0,0.0,Austin Ekeler up the middle for no gain (tackle by Elandon Roberts),1.73,1.19,14.0,2022,207
1.0,12:56,2.0,10.0,LAC 42,0.0,0.0,Justin Herbert pass incomplete short left intended for Joshua Kelley,1.19,0.5,14.0,2022,207
1.0,12:47,3.0,10.0,LAC 42,0.0,0.0,"Justin Herbert pass incomplete short right intended for Tre' McKitty (defended by Eric Rowe). Penalty on Kader Kohou: Defensive Holding, 5 yards (accepted) (no play)",0.5,2.06,14.0,2022,207
1.0,12:39,1.0,10.0,LAC 47,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 11 yards (tackle by Elandon Roberts and Xavien Howard),2.06,2.79,14.0,2022,207
1.0,12:04,1.0,10.0,MIA 42,0.0,0.0,Austin Ekeler left guard for -1 yards (tackle by Christian Wilkins),2.79,2.11,14.0,2022,207
1.0,11:28,2.0,11.0,MIA 43,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Christian Wilkins and Kader Kohou),2.11,1.68,14.0,2022,207
1.0,10:49,3.0,9.0,MIA 41,0.0,0.0,Justin Herbert pass complete deep right to Mike Williams for 23 yards (tackle by Xavien Howard),1.68,4.37,14.0,2022,207
1.0,10:09,1.0,10.0,MIA 18,0.0,0.0,Joshua Kelley left tackle for 1 yard (tackle by Raekwon Davis),4.37,3.94,14.0,2022,207
1.0,9:35,2.0,9.0,MIA 17,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 5 yards,3.94,4.03,14.0,2022,207
1.0,8:55,3.0,4.0,MIA 12,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Eric Rowe and Keion Crossen),4.03,6.06,14.0,2022,207
1.0,8:15,1.0,5.0,MIA 5,0.0,0.0,Austin Ekeler right guard for no gain (tackle by John Jenkins and Zach Sieler),6.06,5.15,14.0,2022,207
1.0,7:30,2.0,5.0,MIA 5,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for -1 yards (tackle by Andrew Van Ginkel),5.15,4.04,14.0,2022,207
1.0,6:46,3.0,6.0,MIA 6,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Kader Kohou and Xavien Howard),4.04,3.25,14.0,2022,207
1.0,6:04,4.0,2.0,MIA 2,0.0,0.0,Justin Herbert pass complete short left to DeAndre Carter for no gain (tackle by Kader Kohou),3.25,0.38,14.0,2022,207
1.0,5:58,1.0,10.0,MIA 2,0.0,0.0,Raheem Mostert up the middle for 1 yard (tackle by Breiden Fehoko),-0.38,-0.71,14.0,2022,207
1.0,5:25,2.0,9.0,MIA 3,0.0,0.0,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill (defended by Michael Davis),-0.71,-1.3,14.0,2022,207
1.0,5:20,3.0,9.0,MIA 3,0.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 13 yards (tackle by Drue Tranquill),-1.3,-0.14,14.0,2022,207
1.0,4:42,1.0,10.0,MIA 16,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for no gain (tackle by Kenneth Murray),-0.14,-0.66,14.0,2022,207
1.0,3:58,2.0,10.0,MIA 16,0.0,0.0,Raheem Mostert left guard for no gain (tackle by Kenneth Murray),-0.66,-1.32,14.0,2022,207
