Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,14.0,2022,199
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 68 yards, returned by KaVontae Turpin for 27 yards (tackle by Neville Hewitt)",0.0,0.54,14.0,2022,199
1.0,14:55,1.0,10.0,DAL 24,0.0,0.0,Dak Prescott pass complete short right to Ezekiel Elliott for 8 yards (tackle by Jake Hansen),0.54,1.08,14.0,2022,199
1.0,14:22,2.0,2.0,DAL 32,0.0,0.0,Dak Prescott pass incomplete short middle intended for Michael Gallup,1.08,0.37,14.0,2022,199
1.0,14:16,3.0,2.0,DAL 32,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 13 yards (tackle by Christian Kirksey),0.37,1.93,14.0,2022,199
1.0,13:46,1.0,10.0,DAL 45,0.0,0.0,Tony Pollard right end for 11 yards (tackle by Roy Lopez and Jalen Pitre),1.93,2.65,14.0,2022,199
1.0,13:24,1.0,10.0,HOU 44,0.0,0.0,Dak Prescott pass incomplete deep right intended for Dalton Schultz,2.65,2.11,14.0,2022,199
1.0,13:18,2.0,10.0,HOU 44,0.0,0.0,Ezekiel Elliott up the middle for 7 yards (tackle by Tavierre Thomas and Mario Addison),2.11,2.35,14.0,2022,199
1.0,12:45,3.0,3.0,HOU 37,0.0,0.0,Ezekiel Elliott up the middle for 25 yards (tackle by Desmond King and Tavierre Thomas),2.35,4.78,14.0,2022,199
1.0,12:05,1.0,10.0,HOU 12,0.0,0.0,Ezekiel Elliott left tackle for 1 yard (tackle by Maliek Collins),4.78,4.27,14.0,2022,199
1.0,11:25,2.0,9.0,HOU 11,0.0,6.0,"Tony Pollard right end for 11 yards, touchdown",4.27,7.0,14.0,2022,199
1.0,11:20,,,HOU 15,0.0,7.0,Brett Maher kicks extra point good,0.0,0.0,14.0,2022,199
1.0,11:20,,,DAL 35,0.0,7.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,199
1.0,11:20,1.0,10.0,HOU 25,0.0,7.0,Dameon Pierce right tackle for no gain (tackle by Donovan Wilson),0.61,0.06,14.0,2022,199
1.0,10:39,2.0,10.0,HOU 25,0.0,7.0,Dameon Pierce up the middle for 2 yards (tackle by Osa Odighizuwa),0.06,-0.36,14.0,2022,199
1.0,9:57,3.0,8.0,HOU 27,0.0,7.0,Davis Mills pass complete short left to Chris Moore for 1 yard (tackle by DeMarcus Lawrence),-0.36,-1.5,14.0,2022,199
1.0,9:11,4.0,7.0,HOU 28,0.0,7.0,"Cameron Johnston punts 48 yards, recovered by Blake Cashman at DAL-24",-1.5,3.97,14.0,2022,199
1.0,9:01,1.0,10.0,DAL 24,0.0,7.0,Jeff Driskel right end for 3 yards (tackle by Leighton Vander Esch),3.97,3.84,14.0,2022,199
1.0,8:23,2.0,7.0,DAL 21,0.0,7.0,Jeff Driskel pass complete short right to Chris Moore for 5 yards (tackle by Donovan Wilson),3.84,3.95,14.0,2022,199
1.0,7:36,3.0,2.0,DAL 16,0.0,7.0,Dameon Pierce left tackle for 8 yards (tackle by Micah Parsons),3.95,5.37,14.0,2022,199
1.0,6:49,1.0,8.0,DAL 8,0.0,7.0,Dameon Pierce left tackle for 3 yards (tackle by Micah Parsons and Leighton Vander Esch),5.37,5.15,14.0,2022,199
1.0,6:07,2.0,5.0,DAL 5,0.0,7.0,Dameon Pierce right guard for 4 yards (tackle by Leighton Vander Esch and DaRon Bland),5.15,5.17,14.0,2022,199
1.0,5:47,3.0,1.0,DAL 1,0.0,7.0,Jeff Driskel up the middle for no gain (tackle by Anthony Barr). Penalty on Micah Parsons: Defensive Offside (accepted) (no play),5.17,5.17,14.0,2022,199
1.0,5:36,3.0,1.0,DAL 1,6.0,7.0,"Dameon Pierce right tackle for 1 yard, touchdown",5.17,7.0,14.0,2022,199
1.0,5:33,,,DAL 15,7.0,7.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,14.0,2022,199
1.0,5:33,,,HOU 35,7.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,199
1.0,5:33,1.0,10.0,DAL 25,7.0,7.0,Tony Pollard right tackle for no gain (tackle by Maliek Collins),0.61,0.06,14.0,2022,199
1.0,4:53,2.0,10.0,DAL 25,7.0,7.0,Tony Pollard left end for -3 yards (tackle by Maliek Collins),0.06,-1.02,14.0,2022,199
1.0,4:20,3.0,13.0,DAL 22,7.0,7.0,Dak Prescott pass complete short left to Noah Brown for 9 yards (tackle by Desmond King and Jonathan Owens),-1.02,-1.31,14.0,2022,199
1.0,3:39,4.0,4.0,DAL 31,7.0,7.0,"Bryan Anger punts 53 yards, returned by Desmond King for 12 yards (tackle by Damone Clark)",-1.31,-0.81,14.0,2022,199
1.0,3:27,1.0,10.0,HOU 28,7.0,7.0,Davis Mills pass complete short left to Phillip Dorsett for 9 yards (tackle by Dante Fowler),0.81,1.48,14.0,2022,199
1.0,2:49,2.0,1.0,HOU 37,7.0,7.0,"Davis Mills pass complete deep right to Chris Moore for 36 yards DAL challenged the pass completion ruling, and the play was upheld.",1.48,3.78,14.0,2022,199
1.0,2:16,1.0,10.0,DAL 27,7.0,7.0,Dameon Pierce up the middle for 2 yards (tackle by Dorance Armstrong and Micah Parsons),3.78,3.5,14.0,2022,199
1.0,1:38,2.0,8.0,DAL 25,7.0,7.0,Dameon Pierce right guard for 3 yards (tackle by Leighton Vander Esch and Neville Gallimore),3.5,3.2,14.0,2022,199
1.0,1:06,3.0,5.0,DAL 22,7.0,7.0,Dare Ogunbowale left end for -3 yards (tackle by Osa Odighizuwa),3.2,1.8,14.0,2022,199
1.0,0:22,4.0,8.0,DAL 25,10.0,7.0,Ka'imi Fairbairn 43 yard field goal good,1.8,3.0,14.0,2022,199
1.0,0:18,,,HOU 35,10.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,199
1.0,0:18,1.0,10.0,DAL 25,10.0,7.0,Dak Prescott pass complete short left to Tony Pollard for -2 yards (tackle by Desmond King),0.61,-0.21,14.0,2022,199
2.0,15:00,2.0,12.0,DAL 23,10.0,7.0,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Thomas Booker),-0.21,-0.89,14.0,2022,199
2.0,14:56,3.0,12.0,DAL 23,10.0,7.0,"Dak Prescott pass complete deep right to Noah Brown for 51 yards (tackle by Jalen Pitre). Penalty on Tavierre Thomas: Defensive Holding, 5 yards (declined)",-0.89,3.84,14.0,2022,199
2.0,14:37,1.0,10.0,HOU 26,10.0,7.0,Dak Prescott pass complete short left to CeeDee Lamb for 3 yards (tackle by Christian Kirksey and Tavierre Thomas),3.84,3.7,14.0,2022,199
2.0,14:00,2.0,7.0,HOU 23,10.0,7.0,Tony Pollard right end for 18 yards (tackle by Jonathan Owens),3.7,6.06,14.0,2022,199
2.0,13:27,1.0,5.0,HOU 5,10.0,7.0,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",6.06,4.91,14.0,2022,199
2.0,13:09,1.0,10.0,HOU 10,10.0,7.0,Tony Pollard right tackle for no gain (tackle by Maliek Collins),4.91,4.19,14.0,2022,199
2.0,12:34,2.0,10.0,HOU 10,10.0,13.0,"Dak Prescott pass complete short left to Tony Pollard for 10 yards, touchdown",4.19,7.0,14.0,2022,199
2.0,12:28,,,HOU 15,10.0,14.0,Brett Maher kicks extra point good,0.0,0.0,14.0,2022,199
2.0,12:28,,,DAL 35,10.0,14.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,199
2.0,12:28,1.0,10.0,HOU 25,10.0,14.0,Dameon Pierce left end for 2 yards (tackle by DeMarcus Lawrence and Leighton Vander Esch),0.61,0.33,14.0,2022,199
2.0,11:49,2.0,8.0,HOU 27,10.0,14.0,Davis Mills pass complete short left to Jordan Akins for 5 yards (tackle by Trevon Diggs),0.33,0.3,14.0,2022,199
2.0,11:07,3.0,3.0,HOU 32,10.0,14.0,Davis Mills pass complete short left to Chris Moore for 4 yards (tackle by Trevon Diggs),0.3,1.33,14.0,2022,199
2.0,10:28,1.0,10.0,HOU 36,10.0,14.0,Amari Rodgers right end for 3 yards (tackle by Leighton Vander Esch and Damone Clark),1.33,1.2,14.0,2022,199
2.0,9:50,2.0,7.0,HOU 39,10.0,14.0,Jeff Driskel left end for 5 yards (tackle by Trevon Diggs),1.2,1.16,14.0,2022,199
2.0,9:09,3.0,2.0,HOU 44,10.0,14.0,Jeff Driskel right end for 7 yards (tackle by Malik Hooker),1.16,2.32,14.0,2022,199
2.0,8:32,1.0,10.0,DAL 49,10.0,14.0,Dameon Pierce left guard for 7 yards (tackle by Leighton Vander Esch),2.32,2.73,14.0,2022,199
2.0,7:52,2.0,3.0,DAL 42,10.0,14.0,Dameon Pierce right end for no gain (tackle by Damone Clark),2.73,2.02,14.0,2022,199
2.0,7:07,3.0,3.0,DAL 42,10.0,14.0,Dameon Pierce up the middle for no gain (tackle by Leighton Vander Esch),2.02,0.46,14.0,2022,199
2.0,6:22,4.0,3.0,DAL 42,10.0,14.0,Dameon Pierce up the middle for 2 yards (tackle by Johnathan Hankins),0.46,-1.6,14.0,2022,199
2.0,6:13,1.0,10.0,DAL 40,10.0,14.0,Ezekiel Elliott left end for no gain (tackle by Taylor Stallworth and Jake Hansen),1.6,1.05,14.0,2022,199
2.0,5:36,2.0,10.0,DAL 40,10.0,14.0,Dak Prescott pass incomplete short right intended for Ezekiel Elliott,1.05,0.37,14.0,2022,199
2.0,5:28,3.0,10.0,DAL 40,10.0,14.0,Dak Prescott pass complete short left to Tony Pollard for 6 yards (tackle by Desmond King and Christian Harris),0.37,-0.32,14.0,2022,199
2.0,4:47,4.0,4.0,DAL 46,10.0,14.0,"Bryan Anger punts 42 yards, returned by Desmond King for 9 yards (tackle by Matt Overton and Luke Gifford)",-0.32,-0.34,14.0,2022,199
2.0,4:36,1.0,10.0,HOU 21,10.0,14.0,Dameon Pierce left tackle for 2 yards (tackle by Leighton Vander Esch),0.34,0.07,14.0,2022,199
2.0,4:01,2.0,8.0,HOU 23,10.0,14.0,Davis Mills pass incomplete short left,0.07,-0.63,14.0,2022,199
2.0,3:57,3.0,8.0,HOU 23,10.0,14.0,Davis Mills pass incomplete short right intended for Phillip Dorsett,-0.63,-1.83,14.0,2022,199
2.0,3:52,4.0,8.0,HOU 23,10.0,14.0,"Cameron Johnston punts 50 yards, returned by KaVontae Turpin for 9 yards (tackle by Chris Moore)",-1.83,-1.33,14.0,2022,199
2.0,3:42,1.0,10.0,DAL 36,10.0,14.0,Ezekiel Elliott right guard for 2 yards (tackle by Tremon Smith and Jalen Pitre),1.33,1.06,14.0,2022,199
