Quarter,Time,Tm,Detail,CAR,SEA,week,year,game_id
1.0,7:05,Panthers,Eddy Piñeiro 47 yard field goal,3,0,14.0,2022,205
,6:44,Panthers,Shi Smith 13 yard pass from Sam Darnold (Eddy Piñeiro kick),10,0,14.0,2022,205
2.0,12:35,Panthers,Chuba Hubbard 2 yard rush (Eddy Piñeiro kick),17,0,14.0,2022,205
,9:26,Seahawks,Tyler Lockett 4 yard pass from Geno Smith (Jason Myers kick),17,7,14.0,2022,205
,2:09,Panthers,Eddy Piñeiro 32 yard field goal,20,7,14.0,2022,205
,0:16,Seahawks,D.K. Metcalf 12 yard pass from Geno Smith (Jason Myers kick),20,14,14.0,2022,205
3.0,10:00,Seahawks,Jason Myers 27 yard field goal,20,17,14.0,2022,205
4.0,6:57,Panthers,Raheem Blackshear 8 yard rush (Eddy Piñeiro kick),27,17,14.0,2022,205
,1:56,Panthers,Eddy Piñeiro 39 yard field goal,30,17,14.0,2022,205
,0:16,Seahawks,Marquise Goodwin 24 yard pass from Geno Smith (Jason Myers kick),30,24,14.0,2022,205
