Unnamed: 0,CAR,SEA,week,year,game_id
First Downs,24,16,14.0,2022,205
Rush-Yds-TDs,46-223-2,14-46-0,14.0,2022,205
Cmp-Att-Yd-TD-INT,14-24-120-1-0,21-36-264-3-2,14.0,2022,205
Sacked-Yards,2-15,3-23,14.0,2022,205
Net Pass Yards,105,241,14.0,2022,205
Total Yards,328,287,14.0,2022,205
Fumbles-Lost,1-0,0-0,14.0,2022,205
Turnovers,0,2,14.0,2022,205
Penalties-Yards,6-29,3-35,14.0,2022,205
Third Down Conv.,6-13,6-13,14.0,2022,205
Fourth Down Conv.,1-2,1-1,14.0,2022,205
Time of Possession,39:16,20:44,14.0,2022,205
