Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Titans to receive the opening kickoff.",,,14.0,2022,201
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 64 yards, returned by Dontrell Hilliard for 23 yards (tackle by Rayshawn Jenkins)",0.0,0.54,14.0,2022,201
1.0,14:55,1.0,10.0,TEN 24,0.0,0.0,Ryan Tannehill pass incomplete deep left intended for Nick Westbrook-Ikhine (defended by Tyson Campbell),0.54,0.0,14.0,2022,201
1.0,14:47,2.0,10.0,TEN 24,0.0,0.0,Derrick Henry right tackle for no gain (tackle by Foyesade Oluokun and Roy Robertson-Harris),0.0,-0.69,14.0,2022,201
1.0,14:04,3.0,10.0,TEN 24,0.0,0.0,"Ryan Tannehill pass incomplete deep left intended for Nick Westbrook-Ikhine (defended by Tyson Campbell). Penalty on Travon Walker: Defensive Offside, 5 yards (accepted) (no play)",-0.69,-0.03,14.0,2022,201
1.0,13:56,3.0,5.0,TEN 29,0.0,0.0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 13 yards (tackle by Andrew Wingard),-0.03,1.73,14.0,2022,201
1.0,13:36,1.0,10.0,TEN 42,0.0,0.0,Derrick Henry right tackle for 3 yards (tackle by Foyesade Oluokun),1.73,1.59,14.0,2022,201
1.0,12:57,2.0,7.0,TEN 45,0.0,0.0,"Ryan Tannehill pass complete short left to Austin Hooper for no gain (tackle by Travon Walker). Penalty on Darious Williams: Illegal Contact, 5 yards (accepted) (no play)",1.59,2.26,14.0,2022,201
1.0,12:32,1.0,10.0,TEN 50,0.0,0.0,Derrick Henry right tackle for 9 yards (tackle by Rayshawn Jenkins and Daniel Thomas),2.26,2.93,14.0,2022,201
1.0,11:56,2.0,1.0,JAX 41,0.0,0.0,Derrick Henry right end for 4 yards (tackle by Devin Lloyd),2.93,3.12,14.0,2022,201
1.0,11:28,1.0,10.0,JAX 37,0.0,0.0,Ryan Tannehill pass complete short middle to Robert Woods for 18 yards (tackle by Daniel Thomas),3.12,4.31,14.0,2022,201
1.0,10:45,1.0,10.0,JAX 19,0.0,0.0,Derrick Henry left end for 6 yards (tackle by Foyesade Oluokun),4.31,4.72,14.0,2022,201
1.0,10:03,2.0,4.0,JAX 13,0.0,0.0,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 10 yards (tackle by Daniel Thomas and Devin Lloyd),4.72,6.51,14.0,2022,201
1.0,9:13,1.0,3.0,JAX 3,0.0,6.0,"Derrick Henry up the middle for 3 yards, touchdown",6.51,7.0,14.0,2022,201
1.0,9:09,,,JAX 15,0.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,14.0,2022,201
1.0,9:09,,,TEN 35,0.0,7.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,201
1.0,9:09,1.0,10.0,JAX 25,0.0,7.0,Trevor Lawrence pass incomplete short right intended for Evan Engram (defended by Kevin Byard),0.61,0.06,14.0,2022,201
1.0,9:06,2.0,10.0,JAX 25,0.0,7.0,Travis Etienne right tackle for 5 yards (tackle by Roger McCreary),0.06,0.04,14.0,2022,201
1.0,8:28,3.0,5.0,JAX 30,0.0,7.0,Trevor Lawrence pass incomplete short middle intended for Evan Engram (defended by Jeffery Simmons),0.04,-1.37,14.0,2022,201
1.0,8:22,4.0,5.0,JAX 30,0.0,7.0,"Logan Cooke punts 46 yards, returned by Dontrell Hilliard for no gain (tackle by Chris Claybrooks)",-1.37,-0.54,14.0,2022,201
1.0,8:13,1.0,10.0,TEN 24,0.0,7.0,Derrick Henry left guard for -1 yards (tackle by Andrew Wingard),0.54,-0.14,14.0,2022,201
1.0,7:36,2.0,11.0,TEN 23,0.0,7.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 5 yards (tackle by Travon Walker),-0.14,-0.16,14.0,2022,201
1.0,6:54,3.0,6.0,TEN 28,0.0,7.0,"Ryan Tannehill sacked by Travon Walker for -9 yards. Ryan Tannehill fumbles (forced by Travon Walker), recovered by Dawuane Smoot at TEN-20 (tackle by Travon Walker)",-0.16,-4.24,14.0,2022,201
1.0,6:46,1.0,10.0,TEN 20,0.0,7.0,Jamal Agnew left end for 8 yards (tackle by Monty Rice and Andrew Adams),4.24,5.04,14.0,2022,201
1.0,6:12,2.0,2.0,TEN 12,0.0,7.0,Trevor Lawrence pass incomplete short middle intended for Evan Engram (defended by Kevin Byard),5.04,4.34,14.0,2022,201
1.0,6:07,3.0,2.0,TEN 12,6.0,7.0,"Trevor Lawrence pass complete short right to Evan Engram for 12 yards, touchdown. Penalty on Mario Edwards: Illegal Use of Hands / Defense, 5 yards (declined)",4.34,7.0,14.0,2022,201
1.0,6:01,,,TEN 15,7.0,7.0,Riley Patterson kicks extra point good,0.0,0.0,14.0,2022,201
1.0,6:01,,,JAX 35,7.0,7.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,201
1.0,6:01,1.0,10.0,TEN 25,7.0,7.0,Ryan Tannehill pass incomplete short left intended for Derrick Henry (defended by Roy Robertson-Harris),0.61,0.06,14.0,2022,201
1.0,5:56,2.0,10.0,TEN 25,7.0,7.0,Derrick Henry left tackle for 50 yards (tackle by Andrew Wingard and Darious Williams),0.06,3.91,14.0,2022,201
1.0,5:07,1.0,10.0,JAX 25,7.0,7.0,Ryan Tannehill pass complete short left to Robert Woods for 5 yards (tackle by Foyesade Oluokun),3.91,4.04,14.0,2022,201
1.0,4:33,2.0,5.0,JAX 20,7.0,7.0,Derrick Henry right guard for 7 yards (tackle by Devin Lloyd and Travon Walker),4.04,4.71,14.0,2022,201
1.0,3:55,1.0,10.0,JAX 13,7.0,7.0,Derrick Henry right guard for 3 yards (tackle by Foyesade Oluokun),4.71,4.58,14.0,2022,201
1.0,3:09,2.0,7.0,JAX 10,7.0,13.0,"Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 10 yards, touchdown",4.58,7.0,14.0,2022,201
1.0,3:03,,,JAX 15,7.0,14.0,Randy Bullock kicks extra point good,0.0,0.0,14.0,2022,201
1.0,3:03,,,TEN 35,7.0,14.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,201
1.0,3:03,1.0,10.0,JAX 25,7.0,14.0,Travis Etienne left end for 5 yards (tackle by Monty Rice),0.61,0.74,14.0,2022,201
1.0,2:26,2.0,5.0,JAX 30,7.0,14.0,Trevor Lawrence pass complete short middle to Zay Jones for 6 yards (tackle by Monty Rice),0.74,1.33,14.0,2022,201
1.0,1:51,1.0,10.0,JAX 36,7.0,14.0,Travis Etienne left tackle for -6 yards (tackle by Bud Dupree),1.33,-0.02,14.0,2022,201
1.0,1:08,2.0,16.0,JAX 30,7.0,14.0,Trevor Lawrence pass incomplete short left intended for Dan Arnold (defended by Rashad Weaver),-0.02,-0.69,14.0,2022,201
1.0,1:05,3.0,16.0,JAX 30,7.0,14.0,Trevor Lawrence pass complete short middle to Jamal Agnew for 7 yards (tackle by Amani Hooker),-0.69,-0.91,14.0,2022,201
1.0,0:31,4.0,9.0,JAX 37,7.0,14.0,"Logan Cooke punts 38 yards, returned by Dontrell Hilliard for 4 yards (tackle by Shaquille Quarterman and Ross Matiscik)",-0.91,-0.87,14.0,2022,201
1.0,0:22,1.0,10.0,TEN 29,7.0,14.0,Derrick Henry up the middle for 12 yards (tackle by Rayshawn Jenkins and Arden Key),0.87,1.66,14.0,2022,201
2.0,15:00,1.0,10.0,TEN 41,7.0,14.0,Ryan Tannehill pass complete short right to Robert Woods for 4 yards (tackle by Rayshawn Jenkins),1.66,1.66,14.0,2022,201
2.0,14:25,2.0,6.0,TEN 45,7.0,14.0,Derrick Henry up the middle for no gain (tackle by Roy Robertson-Harris and Foyesade Oluokun),1.66,0.96,14.0,2022,201
2.0,13:45,3.0,6.0,TEN 45,7.0,14.0,Ryan Tannehill pass complete deep left to Robert Woods for 17 yards (tackle by Tre Herndon),0.96,3.05,14.0,2022,201
2.0,13:05,1.0,10.0,JAX 38,7.0,14.0,Ryan Tannehill pass short left intended for Nick Westbrook-Ikhine is intercepted by Andrew Wingard at JAC-33 and returned for 13 yards (tackle by Ryan Tannehill),3.05,-1.99,14.0,2022,201
2.0,12:56,1.0,10.0,JAX 46,7.0,14.0,Trevor Lawrence pass complete short right to Evan Engram for 12 yards (tackle by Roger McCreary),1.99,2.79,14.0,2022,201
2.0,12:12,1.0,10.0,TEN 42,7.0,14.0,"Travis Etienne left tackle for no gain (tackle by Dylan Cole). Penalty on Chris Manhertz: Offensive Holding, 10 yards (accepted) (no play)",2.79,2.13,14.0,2022,201
2.0,11:50,1.0,20.0,JAX 48,7.0,14.0,Trevor Lawrence pass complete short left to Evan Engram for 13 yards (tackle by Amani Hooker),2.13,2.65,14.0,2022,201
2.0,11:11,2.0,7.0,TEN 39,7.0,14.0,Trevor Lawrence pass complete short left to Evan Engram for 25 yards (tackle by Kevin Byard),2.65,4.65,14.0,2022,201
2.0,10:36,1.0,10.0,TEN 14,7.0,14.0,Travis Etienne up the middle for 4 yards (tackle by Monty Rice),4.65,4.84,14.0,2022,201
2.0,9:58,2.0,5.0,TEN 10,7.0,14.0,"Travis Etienne right end for no gain (tackle by Roger McCreary). Penalty on Evan Engram: Offensive Holding, 10 yards (accepted) (no play)",4.84,3.35,14.0,2022,201
2.0,9:27,2.0,15.0,TEN 20,7.0,14.0,Trevor Lawrence pass complete short left to Christian Kirk for 1 yard (tackle by Dylan Cole),3.35,2.79,14.0,2022,201
