Unnamed: 0,MIA,LAC,week,year,game_id
First Downs,14,24,14.0,2022,207
Rush-Yds-TDs,19-92-0,23-82-1,14.0,2022,207
Cmp-Att-Yd-TD-INT,10-28-145-1-0,39-51-367-1-0,14.0,2022,207
Sacked-Yards,2-18,4-17,14.0,2022,207
Net Pass Yards,127,350,14.0,2022,207
Total Yards,219,432,14.0,2022,207
Fumbles-Lost,1-0,1-0,14.0,2022,207
Turnovers,0,0,14.0,2022,207
Penalties-Yards,6-50,6-40,14.0,2022,207
Third Down Conv.,3-11,9-18,14.0,2022,207
Fourth Down Conv.,0-0,1-2,14.0,2022,207
Time of Possession,20:22,39:38,14.0,2022,207
