Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, 49ers to receive the opening kickoff.",,,14.0,2022,206
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 56 yards, returned by Ray-Ray McCloud for 24 yards (tackle by Ko Kieft and Olakunle Fatukasi)",0.0,1.14,14.0,2022,206
1.0,14:56,1.0,10.0,SFO 33,0.0,0.0,"Brock Purdy sacked by Keanu Neal for no gain. Penalty on Keanu Neal: Roughing the Passer, 15 yards (accepted) (no play)",1.14,2.13,14.0,2022,206
1.0,14:37,1.0,10.0,SFO 48,0.0,0.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,2.13,1.58,14.0,2022,206
1.0,14:34,2.0,10.0,SFO 48,0.0,0.0,Brock Purdy pass complete short right to George Kittle for 3 yards (tackle by Dee Delaney),1.58,1.29,14.0,2022,206
1.0,13:55,3.0,7.0,TAM 49,0.0,0.0,Brock Purdy pass complete short middle to George Kittle for 15 yards (tackle by Logan Ryan),1.29,3.31,14.0,2022,206
1.0,13:15,1.0,10.0,TAM 34,0.0,0.0,Christian McCaffrey left guard for 21 yards (tackle by Logan Ryan),3.31,4.71,14.0,2022,206
1.0,12:33,1.0,10.0,TAM 13,0.0,6.0,"Deebo Samuel right end for 13 yards, touchdown",4.71,7.0,14.0,2022,206
1.0,12:26,,,TAM 15,0.0,7.0,Robbie Gould kicks extra point good,0.0,0.0,14.0,2022,206
1.0,12:26,,,SFO 35,0.0,7.0,"Robbie Gould kicks off 65 yards, returned by Deven Thompkins for 23 yards (tackle by Ambry Thomas)",0.0,0.48,14.0,2022,206
1.0,12:21,1.0,10.0,TAM 23,0.0,7.0,Rachaad White right tackle for 9 yards (tackle by Tashaun Gipson),0.48,1.15,14.0,2022,206
1.0,11:46,2.0,1.0,TAM 32,0.0,7.0,Tom Brady pass complete short right to Leonard Fournette for 9 yards (tackle by Dre Greenlaw),1.15,1.66,14.0,2022,206
1.0,11:08,1.0,10.0,TAM 41,0.0,7.0,Tom Brady pass incomplete short left,1.66,1.12,14.0,2022,206
