Quarter,Time,Down,ToGo,Location,KAN,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,14.0,2022,204
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 12 yards (tackle by Justin Simmons),0.61,1.4,14.0,2022,204
1.0,14:32,1.0,10.0,KAN 37,0.0,0.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 17 yards (tackle by Kareem Jackson),1.4,2.52,14.0,2022,204
1.0,14:01,1.0,10.0,DEN 46,0.0,0.0,Isiah Pacheco left tackle for 6 yards (tackle by Dre'Mont Jones and Alex Singleton),2.52,2.79,14.0,2022,204
1.0,13:23,2.0,4.0,DEN 40,0.0,0.0,Patrick Mahomes pass complete short left to Noah Gray for 17 yards (tackle by Kareem Jackson),2.79,4.04,14.0,2022,204
1.0,12:42,1.0,10.0,DEN 23,0.0,0.0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",4.04,3.71,14.0,2022,204
1.0,12:26,1.0,15.0,DEN 28,0.0,0.0,Patrick Mahomes pass complete to Jerick McKinnon for -1 yards (tackle by Justin Simmons),3.71,2.69,14.0,2022,204
1.0,11:48,2.0,16.0,DEN 29,0.0,0.0,Patrick Mahomes pass incomplete deep right intended for Jerick McKinnon,2.69,2.01,14.0,2022,204
1.0,11:44,3.0,16.0,DEN 29,0.0,0.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 12 yards (tackle by Patrick Surtain),2.01,2.39,14.0,2022,204
1.0,11:00,4.0,4.0,DEN 17,3.0,0.0,Harrison Butker 35 yard field goal good,2.39,3.0,14.0,2022,204
1.0,10:56,,,KAN 35,3.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
1.0,10:56,1.0,10.0,DEN 25,3.0,0.0,Russell Wilson pass incomplete deep middle intended for Greg Dulcich,0.61,0.06,14.0,2022,204
1.0,10:48,2.0,10.0,DEN 25,3.0,0.0,Mike Boone right guard for 1 yard (tackle by Juan Thornhill and George Karlaftis),0.06,-0.49,14.0,2022,204
1.0,10:13,3.0,9.0,DEN 26,3.0,0.0,Russell Wilson pass complete short right to Kendall Hinton for 10 yards (tackle by Juan Thornhill),-0.49,1.33,14.0,2022,204
1.0,9:30,1.0,10.0,DEN 36,3.0,0.0,Russell Wilson pass incomplete short right intended for Eric Saubert,1.33,0.79,14.0,2022,204
1.0,9:24,2.0,10.0,DEN 36,3.0,0.0,Russell Wilson pass incomplete short middle intended for Greg Dulcich (defended by Juan Thornhill),0.79,0.1,14.0,2022,204
1.0,9:19,3.0,10.0,DEN 36,3.0,0.0,Russell Wilson pass complete short right to Kendall Hinton for 11 yards (tackle by Nick Bolton),0.1,2.06,14.0,2022,204
1.0,8:28,1.0,10.0,DEN 47,3.0,0.0,Latavius Murray right guard for 4 yards (tackle by Carlos Dunlap),2.06,2.06,14.0,2022,204
1.0,8:07,2.0,6.0,KAN 49,3.0,0.0,Russell Wilson pass complete short left to Latavius Murray for 2 yards (tackle by Willie Gay),2.06,1.62,14.0,2022,204
1.0,7:30,3.0,4.0,KAN 47,3.0,0.0,Latavius Murray left guard for 5 yards (tackle by Justin Reid and Joshua Williams),1.62,2.79,14.0,2022,204
1.0,6:50,1.0,10.0,KAN 42,3.0,0.0,Russell Wilson sacked by Juan Thornhill for -8 yards,2.79,1.16,14.0,2022,204
1.0,6:05,2.0,18.0,KAN 50,3.0,0.0,Russell Wilson pass complete short middle to Mike Boone for 7 yards (tackle by Willie Gay),1.16,1.42,14.0,2022,204
1.0,5:25,3.0,11.0,KAN 43,3.0,0.0,Russell Wilson pass incomplete short middle intended for Greg Dulcich,1.42,0.4,14.0,2022,204
1.0,5:18,4.0,11.0,KAN 43,3.0,0.0,"Corliss Waitman punts 43 yards, touchback.",0.4,-0.28,14.0,2022,204
1.0,5:11,1.0,10.0,KAN 20,3.0,0.0,Isiah Pacheco right tackle for 9 yards (tackle by K'Waun Williams and Alex Singleton),0.28,0.95,14.0,2022,204
1.0,4:31,2.0,1.0,KAN 29,3.0,0.0,Patrick Mahomes pass complete deep middle to Travis Kelce for 37 yards (tackle by Josey Jewell),0.95,3.31,14.0,2022,204
1.0,3:47,1.0,10.0,DEN 34,3.0,0.0,Patrick Mahomes pass incomplete deep left intended for Justin Watson (defended by Damarri Mathis),3.31,2.77,14.0,2022,204
1.0,3:40,2.0,10.0,DEN 34,3.0,0.0,Patrick Mahomes pass complete short left to Skyy Moore for 7 yards (tackle by Damarri Mathis),2.77,3.01,14.0,2022,204
1.0,3:02,3.0,3.0,DEN 27,3.0,0.0,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling,3.01,1.77,14.0,2022,204
1.0,2:57,4.0,3.0,DEN 27,6.0,0.0,Harrison Butker 45 yard field goal good,1.77,3.0,14.0,2022,204
1.0,2:53,,,KAN 35,6.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,204
1.0,2:53,1.0,10.0,DEN 25,6.0,0.0,Russell Wilson sacked by Michael Danna for -9 yards,0.61,-1.29,14.0,2022,204
1.0,2:14,2.0,19.0,DEN 16,6.0,0.0,Russell Wilson pass complete short left to Jerry Jeudy for 3 yards (tackle by Michael Danna and Nick Bolton),-1.29,-1.51,14.0,2022,204
1.0,1:38,3.0,16.0,DEN 19,6.0,0.0,Russell Wilson scrambles right end for 11 yards (tackle by L'Jarius Sneed),-1.51,-1.37,14.0,2022,204
1.0,1:07,4.0,5.0,DEN 30,6.0,0.0,Corliss Waitman punts 48 yards out of bounds,-1.37,-0.41,14.0,2022,204
1.0,0:57,1.0,10.0,KAN 22,6.0,0.0,Patrick Mahomes pass complete short middle to Travis Kelce for 14 yards (tackle by Josey Jewell),0.41,1.33,14.0,2022,204
1.0,0:24,1.0,10.0,KAN 36,6.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Josey Jewell),1.33,1.87,14.0,2022,204
2.0,15:00,2.0,2.0,KAN 44,6.0,0.0,Isiah Pacheco right end for no gain (tackle by Dre'Mont Jones and Alex Singleton),1.87,1.16,14.0,2022,204
2.0,14:28,3.0,2.0,KAN 44,12.0,0.0,"Patrick Mahomes pass complete short right to Jerick McKinnon for 56 yards, touchdown",1.16,7.0,14.0,2022,204
2.0,14:16,,,DEN 15,13.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,14.0,2022,204
2.0,14:16,,,KAN 35,13.0,0.0,"Harrison Butker kicks off 65 yards, returned by Montrell Washington for 29 yards (tackle by Nazeeh Johnson)",0.0,0.87,14.0,2022,204
2.0,14:11,1.0,10.0,DEN 29,13.0,0.0,Latavius Murray right tackle for 5 yards (tackle by Chris Jones and Juan Thornhill),0.87,1.0,14.0,2022,204
2.0,13:32,2.0,5.0,DEN 34,13.0,0.0,Mike Boone left tackle for no gain (tackle by Chris Jones and Darius Harris),1.0,0.3,14.0,2022,204
2.0,12:52,3.0,5.0,DEN 34,13.0,0.0,Russell Wilson sacked by Chris Jones for -8 yards,0.3,-1.63,14.0,2022,204
2.0,12:20,4.0,13.0,DEN 26,13.0,0.0,"Corliss Waitman punts 51 yards, returned by Justin Watson for 1 yard (tackle by P.J. Locke)",-1.63,-0.54,14.0,2022,204
2.0,12:09,1.0,10.0,KAN 24,13.0,0.0,Isiah Pacheco left tackle for 5 yards (tackle by Kareem Jackson),0.54,0.67,14.0,2022,204
2.0,11:37,2.0,5.0,KAN 29,13.0,0.0,Isiah Pacheco left tackle for 7 yards (tackle by Damarri Mathis),0.67,1.33,14.0,2022,204
2.0,10:59,1.0,10.0,KAN 36,13.0,0.0,Patrick Mahomes pass incomplete deep left intended for Travis Kelce,1.33,0.79,14.0,2022,204
2.0,10:53,2.0,10.0,KAN 36,13.0,0.0,"Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster (defended by K'Waun Williams) KAN challenged the pass completion ruling, and the play was upheld.",0.79,0.1,14.0,2022,204
2.0,10:47,3.0,10.0,KAN 36,13.0,0.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 24 yards (tackle by Kareem Jackson),0.1,2.92,14.0,2022,204
