Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,14.0,2022,208
1.0,15:00,,,NWE 35,0.0,0.0,"Nick Folk kicks off 68 yards, returned by Pharoh Cooper for 29 yards (tackle by Jahlani Tavai and Matthew Slater)",0.0,0.67,14.0,2022,208
1.0,14:54,1.0,10.0,ARI 26,0.0,0.0,Kyler Murray pass complete short middle to James Conner for 9 yards (tackle by Ja'Whaun Bentley and Myles Bryant),0.67,1.35,14.0,2022,208
1.0,14:12,2.0,1.0,ARI 35,0.0,0.0,James Conner up the middle for 6 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),1.35,1.66,14.0,2022,208
1.0,13:50,1.0,10.0,ARI 41,0.0,0.0,Kyler Murray scrambles right end for 3 yards (tackle by Matt Judon),1.66,1.53,14.0,2022,208
1.0,13:35,2.0,7.0,ARI 44,0.0,0.0,Colt McCoy pass complete short right to James Conner for 1 yard (tackle by Jahlani Tavai and Lawrence Guy),1.53,0.96,14.0,2022,208
1.0,12:48,3.0,6.0,ARI 45,0.0,0.0,Colt McCoy pass complete short left to Corey Clement for 21 yards (tackle by Devin McCourty),0.96,3.31,14.0,2022,208
1.0,12:03,1.0,10.0,NWE 34,0.0,0.0,"Colt McCoy aborted snap, recovered by James Conner at NE-36 (tackle by Lawrence Guy)",3.31,2.5,14.0,2022,208
1.0,11:22,2.0,12.0,NWE 36,0.0,0.0,Colt McCoy pass incomplete short left intended for DeAndre Hopkins (defended by Jack Jones),2.5,1.82,14.0,2022,208
1.0,11:15,3.0,12.0,NWE 36,0.0,0.0,Colt McCoy pass complete short middle to James Conner for 5 yards (tackle by Adrian Phillips and Myles Bryant),1.82,1.32,14.0,2022,208
1.0,10:39,4.0,7.0,NWE 31,0.0,0.0,Matt Prater 50 yard field goal no good,1.32,-1.6,14.0,2022,208
1.0,10:34,1.0,10.0,NWE 40,0.0,0.0,Mac Jones pass complete short middle to DeVante Parker for 14 yards (tackle by Marco Wilson),1.6,2.52,14.0,2022,208
1.0,10:04,1.0,10.0,ARI 46,0.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Myjai Sanders),2.52,2.11,14.0,2022,208
1.0,9:27,2.0,9.0,ARI 45,0.0,0.0,Mac Jones pass incomplete short right intended for Jonnu Smith,2.11,1.42,14.0,2022,208
