Unnamed: 0,TAM,SFO,week,year,game_id
First Downs,18,24,14.0,2022,206
Rush-Yds-TDs,19-69-0,36-209-3,14.0,2022,206
Cmp-Att-Yd-TD-INT,34-55-253-1-2,17-23-195-2-0,14.0,2022,206
Sacked-Yards,0-0,0-0,14.0,2022,206
Net Pass Yards,253,195,14.0,2022,206
Total Yards,322,404,14.0,2022,206
Fumbles-Lost,2-1,1-1,14.0,2022,206
Turnovers,3,1,14.0,2022,206
Penalties-Yards,8-62,2-15,14.0,2022,206
Third Down Conv.,4-16,4-9,14.0,2022,206
Fourth Down Conv.,4-7,1-2,14.0,2022,206
Time of Possession,27:20,32:40,14.0,2022,206
