Unnamed: 0,NYJ,BUF,week,year,game_id
First Downs,19,14,14.0,2022,197
Rush-Yds-TDs,22-76-1,24-102-1,14.0,2022,197
Cmp-Att-Yd-TD-INT,28-47-269-0-0,16-27-147-1-0,14.0,2022,197
Sacked-Yards,4-36,3-17,14.0,2022,197
Net Pass Yards,233,130,14.0,2022,197
Total Yards,309,232,14.0,2022,197
Fumbles-Lost,3-2,0-0,14.0,2022,197
Turnovers,2,0,14.0,2022,197
Penalties-Yards,7-61,5-35,14.0,2022,197
Third Down Conv.,8-17,2-13,14.0,2022,197
Fourth Down Conv.,0-1,0-0,14.0,2022,197
Time of Possession,34:25,25:35,14.0,2022,197
