Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Josh Jacobs,LVR,27,99,1,5.0,38,1.4,61,2.3,0,,14.0,2022,196
Derek Carr,LVR,4,11,0,1.0,10,2.5,1,0.3,0,,14.0,2022,196
Mack Hollins,LVR,3,40,0,2.0,38,12.7,2,0.7,0,,14.0,2022,196
Zamir White,LVR,3,9,0,,4,1.3,5,1.7,0,,14.0,2022,196
DJ Turner,LVR,1,6,0,,3,3.0,3,3.0,0,,14.0,2022,196
Cam Akers,LAR,12,42,1,2.0,22,1.8,20,1.7,0,,14.0,2022,196
Baker Mayfield,LAR,4,10,0,0.0,10,2.5,0,0.0,0,,14.0,2022,196
Kyren Williams,LAR,3,19,0,1.0,10,3.3,9,3.0,0,,14.0,2022,196
Tutu Atwell,LAR,2,-5,0,0.0,-6,-3.0,1,0.5,0,,14.0,2022,196
Malcolm Brown,LAR,1,5,0,,5,5.0,0,0.0,0,,14.0,2022,196
