Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Raiders to receive the opening kickoff.",,,14.0,2022,196
1.0,15:00,,,LAR 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,14.0,2022,196
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs up the middle for 4 yards (tackle by Michael Hoecht),0.61,0.6,14.0,2022,196
1.0,14:24,2.0,6.0,LVR 29,0.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Greg Gaines and Leonard Floyd),0.6,0.04,14.0,2022,196
1.0,13:42,3.0,5.0,LVR 30,0.0,0.0,"Derek Carr pass complete deep right to Davante Adams for 32 yards (tackle by Jalen Ramsey). Penalty on Jalen Ramsey: Defensive Pass Interference, 15 yards (declined)",0.04,3.05,14.0,2022,196
1.0,13:14,1.0,10.0,LAR 38,0.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Greg Gaines),3.05,2.64,14.0,2022,196
1.0,12:50,2.0,9.0,LAR 37,0.0,0.0,Derek Carr pass incomplete short right intended for Mack Hollins,2.64,1.95,14.0,2022,196
1.0,12:46,3.0,9.0,LAR 37,0.0,0.0,Derek Carr pass complete short left to Ameer Abdullah for 13 yards (tackle by Bobby Wagner),1.95,3.97,14.0,2022,196
1.0,12:09,1.0,10.0,LAR 24,0.0,0.0,"Zamir White right tackle for 1 yard (tackle by Troy Hill and Bobby Wagner). Penalty on Marquise Copeland: Illegal Use of Hands / Defense, 5 yards (accepted)",3.97,4.37,14.0,2022,196
1.0,11:46,1.0,10.0,LAR 18,0.0,0.0,Josh Jacobs left end for 2 yards (tackle by Marquise Copeland),4.37,4.09,14.0,2022,196
1.0,11:04,2.0,8.0,LAR 16,0.0,0.0,Derek Carr scrambles right end for 3 yards (tackle by Troy Hill),4.09,3.82,14.0,2022,196
1.0,10:29,3.0,5.0,LAR 13,0.0,0.0,Josh Jacobs left end for 11 yards (tackle by Cobie Durant and Jalen Ramsey),3.82,6.74,14.0,2022,196
1.0,9:55,1.0,2.0,LAR 2,0.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Jalen Ramsey and Bobby Wagner),6.74,5.91,14.0,2022,196
1.0,9:17,2.0,1.0,LAR 1,6.0,0.0,"Josh Jacobs right tackle for 1 yard, touchdown",5.91,7.0,14.0,2022,196
1.0,9:13,,,LAR 15,7.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,14.0,2022,196
1.0,9:13,,,LVR 35,7.0,0.0,"Daniel Carlson kicks off 57 yards, returned by Brandon Powell for 19 yards (tackle by Isaiah Pola-Mao and Roderic Teamer)",0.0,1.07,14.0,2022,196
1.0,9:09,1.0,10.0,LAR 32,7.0,0.0,Cam Akers left tackle for 9 yards (tackle by Clelin Ferrell and Sam Webb),1.07,1.74,14.0,2022,196
1.0,8:30,2.0,1.0,LAR 41,7.0,0.0,Cam Akers right tackle for no gain (tackle by Jerry Tillery),1.74,1.03,14.0,2022,196
1.0,7:50,3.0,1.0,LAR 41,7.0,0.0,Tutu Atwell right end for -6 yards (tackle by Maxx Crosby),1.03,-1.04,14.0,2022,196
1.0,7:11,4.0,7.0,LAR 35,7.0,0.0,"Riley Dixon punts 65 yards, touchback.",-1.04,-0.28,14.0,2022,196
1.0,7:03,1.0,10.0,LVR 20,7.0,0.0,"Derek Carr pass complete to Josh Jacobs for no gain. Penalty on Bobby Wagner: Defensive Holding, 5 yards (accepted) (no play)",0.28,0.61,14.0,2022,196
1.0,6:37,1.0,10.0,LVR 25,7.0,0.0,Derek Carr pass incomplete short middle intended for Davante Adams (defended by Jalen Ramsey),0.61,0.06,14.0,2022,196
1.0,6:32,2.0,10.0,LVR 25,7.0,0.0,Mack Hollins left end for 17 yards (tackle by Nick Scott),0.06,1.73,14.0,2022,196
1.0,5:53,1.0,10.0,LVR 42,7.0,0.0,Josh Jacobs left tackle for 3 yards (tackle by Greg Gaines and Daniel Hardy),1.73,1.59,14.0,2022,196
1.0,5:12,2.0,7.0,LVR 45,7.0,0.0,Derek Carr pass complete short right to Mack Hollins for 15 yards (tackle by Nick Scott),1.59,2.92,14.0,2022,196
1.0,4:28,1.0,10.0,LAR 40,7.0,0.0,Josh Jacobs right guard for 4 yards (tackle by Bobby Brown and Bobby Wagner),2.92,2.91,14.0,2022,196
1.0,3:44,2.0,6.0,LAR 36,7.0,0.0,Derek Carr pass complete short left to Jakob Johnson for 1 yard (tackle by Nick Scott),2.91,2.34,14.0,2022,196
1.0,3:06,,,,,,Timeout #1 by Las Vegas Raiders,,,14.0,2022,196
1.0,3:06,3.0,5.0,LAR 35,7.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Bobby Wagner),2.34,1.08,14.0,2022,196
1.0,2:27,4.0,4.0,LAR 34,10.0,0.0,Daniel Carlson 52 yard field goal good,1.08,3.0,14.0,2022,196
1.0,2:22,,,LVR 35,10.0,0.0,"Daniel Carlson kicks off 55 yards, returned by Brandon Powell for 24 yards (tackle by Isaiah Pola-Mao)",0.0,1.2,14.0,2022,196
1.0,2:17,1.0,10.0,LAR 34,10.0,0.0,Baker Mayfield pass complete deep right to Van Jefferson for 21 yards (tackle by Duron Harmon),1.2,2.59,14.0,2022,196
