Unnamed: 0,JAX,TEN,week,year,game_id
First Downs,22,22,14.0,2022,201
Rush-Yds-TDs,25-60-1,20-137-1,14.0,2022,201
Cmp-Att-Yd-TD-INT,30-42-368-3-0,25-38-254-2-1,14.0,2022,201
Sacked-Yards,0-0,4-27,14.0,2022,201
Net Pass Yards,368,227,14.0,2022,201
Total Yards,428,364,14.0,2022,201
Fumbles-Lost,0-0,4-3,14.0,2022,201
Turnovers,0,4,14.0,2022,201
Penalties-Yards,9-70,5-50,14.0,2022,201
Third Down Conv.,6-13,5-10,14.0,2022,201
Fourth Down Conv.,0-1,0-1,14.0,2022,201
Time of Possession,32:52,27:08,14.0,2022,201
