Quarter,Time,Tm,Detail,TAM,SFO,week,year,game_id
1.0,12:26,49ers,Deebo Samuel 13 yard rush (Robbie Gould kick),0,7,14.0,2022,206
2.0,14:55,49ers,Brock Purdy 2 yard rush (Robbie Gould kick),0,14,14.0,2022,206
,7:49,49ers,Christian McCaffrey 27 yard pass from Brock Purdy (Robbie Gould kick),0,21,14.0,2022,206
,0:15,49ers,Brandon Aiyuk 32 yard pass from Brock Purdy (Robbie Gould kick),0,28,14.0,2022,206
3.0,14:01,49ers,Christian McCaffrey 38 yard rush (Robbie Gould kick),0,35,14.0,2022,206
,2:48,Buccaneers,Russell Gage 8 yard pass from Tom Brady (Ryan Succop kick),7,35,14.0,2022,206
