Unnamed: 0,BAL,PIT,week,year,game_id
First Downs,18,23,14.0,2022,203
Rush-Yds-TDs,42-215-1,20-65-1,14.0,2022,203
Cmp-Att-Yd-TD-INT,11-17-104-0-0,22-31-276-1-3,14.0,2022,203
Sacked-Yards,2-10,2-12,14.0,2022,203
Net Pass Yards,94,264,14.0,2022,203
Total Yards,309,329,14.0,2022,203
Fumbles-Lost,2-0,0-0,14.0,2022,203
Turnovers,0,3,14.0,2022,203
Penalties-Yards,5-46,2-15,14.0,2022,203
Third Down Conv.,4-13,4-8,14.0,2022,203
Fourth Down Conv.,1-2,0-0,14.0,2022,203
Time of Possession,32:59,27:01,14.0,2022,203
