Unnamed: 0,NWE,ARI,week,year,game_id
First Downs,18,19,14.0,2022,208
Rush-Yds-TDs,21-103-2,22-113-1,14.0,2022,208
Cmp-Att-Yd-TD-INT,24-35-235-0-1,28-41-255-0-1,14.0,2022,208
Sacked-Yards,1-10,6-45,14.0,2022,208
Net Pass Yards,225,210,14.0,2022,208
Total Yards,328,323,14.0,2022,208
Fumbles-Lost,1-0,2-1,14.0,2022,208
Turnovers,1,2,14.0,2022,208
Penalties-Yards,8-80,8-48,14.0,2022,208
Third Down Conv.,3-11,4-14,14.0,2022,208
Fourth Down Conv.,0-0,1-5,14.0,2022,208
Time of Possession,26:29,33:31,14.0,2022,208
