Unnamed: 0,LVR,LAR,week,year,game_id
First Downs,17,20,14.0,2022,196
Rush-Yds-TDs,38-165-1,22-71-1,14.0,2022,196
Cmp-Att-Yd-TD-INT,11-20-137-0-2,22-35-230-1-0,14.0,2022,196
Sacked-Yards,0-0,4-19,14.0,2022,196
Net Pass Yards,137,211,14.0,2022,196
Total Yards,302,282,14.0,2022,196
Fumbles-Lost,0-0,1-1,14.0,2022,196
Turnovers,2,1,14.0,2022,196
Penalties-Yards,7-94,7-60,14.0,2022,196
Third Down Conv.,5-13,4-12,14.0,2022,196
Fourth Down Conv.,1-1,1-1,14.0,2022,196
Time of Possession,30:21,29:39,14.0,2022,196
