Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Tua Tagovailoa,MIA,3,28,0,14,14.0,2022,207
Raheem Mostert,MIA,11,37,0,13,14.0,2022,207
Jeff Wilson,MIA,4,26,0,20,14.0,2022,207
Salvon Ahmed,MIA,1,1,0,1,14.0,2022,207
Tyreek Hill,MIA,0,0,0,0,14.0,2022,207
Jaylen Waddle,MIA,0,0,0,0,14.0,2022,207
Cedrick Wilson Jr.,MIA,0,0,0,0,14.0,2022,207
Trent Sherfield,MIA,0,0,0,0,14.0,2022,207
Mike Gesicki,MIA,0,0,0,0,14.0,2022,207
Alec Ingold,MIA,0,0,0,0,14.0,2022,207
Justin Herbert,LAC,4,8,0,10,14.0,2022,207
Austin Ekeler,LAC,15,45,1,12,14.0,2022,207
Joshua Kelley,LAC,4,29,0,22,14.0,2022,207
Mike Williams,LAC,0,0,0,0,14.0,2022,207
Keenan Allen,LAC,0,0,0,0,14.0,2022,207
Josh Palmer,LAC,0,0,0,0,14.0,2022,207
Gerald Everett,LAC,0,0,0,0,14.0,2022,207
Stone Smartt,LAC,0,0,0,0,14.0,2022,207
Tre' McKitty,LAC,0,0,0,0,14.0,2022,207
DeAndre Carter,LAC,0,0,0,0,14.0,2022,207
