Unnamed: 0,HOU,DAL,week,year,game_id
First Downs,16,21,14.0,2022,199
Rush-Yds-TDs,37-114-1,31-127-2,14.0,2022,199
Cmp-Att-Yd-TD-INT,20-27-213-1-1,24-39-284-1-2,14.0,2022,199
Sacked-Yards,0-0,1-7,14.0,2022,199
Net Pass Yards,213,277,14.0,2022,199
Total Yards,327,404,14.0,2022,199
Fumbles-Lost,1-1,2-1,14.0,2022,199
Turnovers,2,3,14.0,2022,199
Penalties-Yards,4-25,3-10,14.0,2022,199
Third Down Conv.,7-15,8-15,14.0,2022,199
Fourth Down Conv.,0-2,1-2,14.0,2022,199
Time of Possession,33:14,26:46,14.0,2022,199
